Topic,Count,Name,Representation,Representative_Docs
-1,1409,-1_catholic_日本_教_統一教会,"['catholic', '日本', '教', '統一教会', 'https', 'キリスト教', 'カトリック', 'だけ', 'catholics', 'ユダヤ']","['ヤハウェ は どの よう に し て ローマ を 征服 し た の か   キリスト 教 と 大きな 嘘   https :// www . unz . com /... hweh - conquered - rome /   歴史 上 最大 の ユダヤ 人 の 嘘 は 何 です か ? 議論 の 余地 なく 、   この 地球 に 住む すべて の 国々 の 中 で 、 ユダヤ 人 は かつて 全能 の 創造 主 によって 人類 を 啓発 し 、   支配 する ため に 「 選ば れ た 」 という 主張 です 。   本当に 当惑 し て いる の は 、 嘘 の 巨大 さ で は あり ませ ん   : 多く の 個人 が 神 に 選ば れ て いる と 感じ て いる かも しれ ませ ん し 、 国 で さえ そう し て い ます 。   しかし 、 何 十 億 も の 非 ユダヤ 人 ( キリスト教徒 と イスラム 教徒 ) に   自分 たち が 選ば れ た こと を 納得 さ せる こと に 成功 し た の は ユダヤ 人 だけ です 。   彼ら は どう やっ て それ を し た の でしょ う か ?   ローマ の ユダヤ 人 嫌悪 が 蔓延 し て い た 時期 に 、 神 が ユダヤ 人 を 選ん だ と 主張 する 教義 と 本 を 、   どの よう に し て ローマ が その 霊的 基盤 として 採用 する こと に なっ た の か という こと です 。   そして 、 エルサレム を ユダヤ 人 の 立ち入り を 禁じ られ て い た アエリア・カピトリーナ という ギリシャ の 都市 に 変え て から 2 世紀 も 経た ない うち に 、   ローマ が ローマ の 崩壊 と 新しい エルサレム を 宣言 する 宗教 を 公式 に 採用 し た こと が どうして 可能 でしょ う か ?   その 競争 相手 で ある 十字架 に つけ られ た 人々 の 崇拝 と は 何 と 対照 的 でしょ う 。   では 、 なぜ キリスト は 最終 的 に オシ リス に 取っ て 代わり 、 イシス の 崇拝 を 吸収 し た の か 、 という 疑問 が 生じ ます 。   栄光 と 自信 に 満ち た ローマ帝国 が 、   扇動 罪 で ローマ 当局 によって 拷問 さ れ 処刑 さ れ た ユダヤ 人 ヒーラー の 崇拝 に 改宗 し た の は なぜ でしょ う か ?   これ は 、 ほとんど の 人 が 尋ね た がら ない ユダヤ 人 の 質問 です 。   キリスト 教 が 人間 の 創造 物 で ある と 仮定 する と 、 それ が 私 の 前提 です が 、   それ は 明らか に 大 部分 が ユダヤ 人 の 創造 物 です 。   ユダヤ 人 は どの よう に し て 異 邦人 の ため の 宗教 を 作り 、 帝   国 の カルト から 始め て 帝国 内 の 他 の すべて の 宗教 を 最終 的 に 根絶 する こと に 成功 し た の でしょ う か ?', 'おっ と 、 失敗 し まし た 。   人 の 心理 は どの よう な モノ か 規定 出来 ない と 離れ た に 成ら ない 。   ん で 、 未だ 人類 は この 問題 を 解け ず に い ます 。   心理 学 とか 哲学 とか で は 色々 言わ れ て ます が 、 西洋 の ベース に は キリスト教 的 な 価値 観 が ある 、 と 自分 は 考える 訳 です 。   基本 的 に 権力 構造 という の は 縦 型 社会 です ので 、 多分 キリスト 教 的 な 価値 観 の 人 は 、 「 また イチャモン 付け てる 」 くらい に しか 思わ ない でしょ う が 、   社会 情勢 から 必然 的 に 形成 さ れ た 縦 型 社会 と 、   唯一 神 など の 絶 体 権威 によって 正当 化 さ れ た 縦 型 社会 で は 、   その 狂信 具合 が 異なる か と 思い ます 。   これ は 個人 と 唯一 神 の 契約 、 個人 と 理想 として 作ら れ た 疑似 科学 の 絵空事 、   又は 個人 と 教祖 が 妄想 し た 世界 観   という の が 優先 さ れる 為 でしょ う 。   現実 の 他人 は その 下位 構造 に ある ので 、 虐殺 や 粛清 や 異端 として 異教徒 として パージ する 事 が 出来る の だろ う と 思い ます 。   現代 人 は そんな 蛮行 を し ない 、 なんて 夢物語 も あり ます が 、 現実 として 、 あの オウム という 仏教 を 詐称 し た メシアコンプ の ゴミ ども は 無関係 な 人々 に テロ 行為 を し まし た 。   アホ な 妄想 に 囚われ てる だけ で 社会 から 隔離 し てる なら 良い の です が 、   現実 社会 で は 、 この キリスト教 系統 の 邪教 信徒 達 は 国 が 宗教 の 信仰 者 として 認め て 、 或は 政治 団体 として 認可 し てる 訳 です 。   まぁ 、 キリスト 教 系統 で は 無い 縦 型 社会 群 で も 、 頭 が おかしな 人 が トップ だ と 似 た よう な 事 に なり ます ので 、 キリスト 教 系統 から 見れ ば 同じ に 見える でしょ う が 、 規模 で 考える なら 圧倒的 に 異常 な の は キリスト教 系統 でしょ う 。   なので 、 自分 は キリスト教 系統 は 全て カルト で あり 、 人類 社会 の 癌 で あり 、 呪い で あり 、 病 だ と 考え て いる 訳 です 。', '＊ １   紀藤 正樹 「 祝電 を 打っ た という 事 は   支援 し た （ 詐欺 ＊ ２   の 片棒 を 担い だ ） という 事 だ から   大 問題 」   ＊ ２   ユダヤ 人 の ルパード・マードック が 起こし た 詐欺 事件 （ 被害 額 数 兆 円 で 、 日本 も 兆 単位 の 被害 ） が 「 史上 最大 の 詐欺 事件 」 と 言わ れ て いる が 、   『 朝鮮 人 の 文   鮮明 が 起こし た 統一教会 （ 現 称 ： 世界 平和 統一 家庭 連合 ） 事件 』 こそ が 「 史上 最大 の 詐欺 事件 」 ＊ ３   だ 。   ＊ ３   紀藤 正樹 「 被害 の 救済 を 」   被害 者 が 20 万 人 、 平均 の 被害 額 が 5 千 万 円 だ と する と 、 被害 総額 は 10 兆 円 。   （ ちなみに 今 、 「 総 工費 10 兆 円 の 日 韓 トンネル の 建設 費 に する 」 と 騙し て 献金 さ せ て いる ＊ ４   ）   もちろん 奪わ れ た の は 財産 だけ で は ない 。   「 人 を 騙し て   財産 ・ 体 ・ 心 、 全て を 奪い 尽くす ? w 統一 教会 を 始め と し た カルト ? w は 、 人間 に対する 最悪 の 犯罪 だ （ 『 マインド コントロール の 恐怖 』 … スティーブン ・ ハッサン ）   ＊ ４   統一教会 は ? w 日 韓 トンネル ? w を 始め として 様々 な プロジェクト を 立ち 上げ て 、 募金 詐欺 ＊ ５   ・ 献金 詐欺 を 働い て いる ん だ よ (´ ・ ω ・ `)   ＊ ５   玉川   徹 「 学生 の 頃 は 霊感 商法 とか 知ら なかっ た けど 、 原 理研 が 珍味 売り （ 押し売り ） ・ 募金 （ 詐欺 ） を し て いる という の 聞い て た 」   元 信者 「 詐欺 募金 と 霊感 商法 を やり まくり まし た 」   多田 文明 （ 元 信者 ） 「 偽 街頭 募金 や 偽 ボランティア 活動 を し て い まし た 」']"
0,104,0_trump_white_clinton_america,"['trump', 'white', 'clinton', 'america', 'donald', 'evangelical', 'american', 'vote', 'gop', 'president']","[""their was a poll that came out last night from the ppp that basically had most americans now against the ban and the wall and against trump. the other part of the poll was that out of trump supporter 58% believe trump should not follow the court's rulings. while their have been plenty of laws that i may not like, we are a country of checks and balances and laws. we expect the presidentity to respect that but he thinks he can do whatever he wants. trump will find his presidency continue get worse. in fact devos went to a public school today in washington dc and parents would not even let her in the school. unfortunately to many catholics still vote based solely on the abortions issue instead of looking at the big picture."", 'forget the other candidates.   what about mike pence?    this is a guy who came out of nowhere, and (should trump win) will be a heartbeat away from the presidency.    should trump lose, pence has leapfrogged to the top of the contenders list for 2020.     the term ""christian taliban"" could be fairly applied to pence - he has extreme social conservative views.\n\npeople used to joke that trump was a democratic plant to blow up the gop.     but it\'s becoming more likely that trump was a tea party plant to make everybody else in the gop (including tea partier\'s like cruz and pence) look ""moderate"" by comparison.', ""the christians who have cast their lot with donald trump have made a faustian bargain with the devil, and it will surely come back to haunt them. trump is a christian in name only, and the christians who lavished him with their votes and continue to lavish him with their support would realize this if only they would open their eyes and ears to the truth that he's a complete charlatan. but that will never happen in their hermetically-sealed echo chamber. and so they will continue to delude themselves as they willfully cast a blind eye on his abuses of power, his utter disdain for the poor and needy whom jesus championed, his blatant favoritism for his own billionaire class over everyone else, and of course his demonization of everyone who is not white and christian. people who actually read the gospels have no problem figuring out what jesus christ would make of donald trump, which makes me wonder if these trump-supporting christians are reading from a completely different book.""]"
1,98,1_安倍_山上_統一教会_ズブズブ,"['安倍', '山上', '統一教会', 'ズブズブ', '母親', '晋', '三', '旧', '信者', '思う']","['安倍 個人 だけ で なく 安倍 周辺 の 安倍 に 近い 政治 家 が 統一教会 と ズブズブ この上なかっ た 、 安倍 の 秘書 で 議員 に なっ た 奴 は 信者 だっ た ん だっ た か な ？', '> 被害 者 が 安倍 氏 だっ た こと は 不思議 に 思わ なかっ た か と の 問い に は 、 「 不思議 に 思い ませ ん でし た 。 母 の 部屋 に 安倍 元 首相 が 表紙 の 旧 統一教会 の 機関 誌 が あり まし た 。   > 信者 の 叔母 から 、 選挙 時 に 自民党 の 特定 の 候補 に 入れ て ほしい と 言わ れ た こと も あり ます 」 と 答え た 。   旧 統一教会 と 安倍 晋 三 が どれ だけ 悪辣 な こと を し て き た か が 良く 分かる エピソード だ な   安倍 は これ だけ で なく 、 旧 統一教会 関連 団体 の 集会 に 祝電 を 送っ たり ビデオ メッセージ まで 寄せ て い た の だ から 、 旧 統一教会 と ズッポリ 癒着 し て い た と しか 思え ん   日本国 首相 という 重要 で 責任 ある 立場 に あっ た の に も かかわら ず 反 社会 勢力 と しか 思え ない 旧 統一教会 と 長年 関係 を 持っ て い た の だ から 、 安倍 晋 三 は 殺さ れ て 当然 の クズ 、 国賊 だ と 思う   山上 徹也 は ほん と いい 仕事 を し て くれ た と 思う   彼 は 害虫 を 駆除 し て 公共 の 福祉 に 寄与 し て くれ た の だ から 無罪 に なっ て 当然 だ と 思う   山上 徹也 に は 国民 栄誉 賞 を 与え こそ すれ 、 罰する など ありえ ない 選択 だ   自分 が この 裁判 の 裁判 員 に なっ て いれ ば 山上 徹也 を 絶対 無罪 に し て い た のに 、 残念 で なら ない', 'カルト 旧 統一教会 によって 家庭 を 破壊 さ れ 、 元 総理 大臣 という 要職 に あっ た の に も かかわら ず その 旧 統一教会 と 協力 関係 に あっ た 国賊 安倍 を 殺す こと しか 自分 を 救う 方法 が ない という ところ まで 追い詰め られ た 山上 徹也 さん の 主張 は 聞く べき もの が ある と 思う   彼 が 自力 救済 を せ ざる を 得 ない 状況 に 追い込ま れ た の は 政治 の 責任 で あり 、 旧 統一教会 と 協力 関係 に あり この 団体 の 活動 に お墨付き を 与え た 国賊 安倍 の 罪 は 重い し 彼 が 殺さ れ た の は 自業自得 だ と 思う   国賊 安倍 が 山上 徹也 さん に 殺さ れ た の は 国賊 安倍 自身 に 責任 が ある の だ から 、 山上 徹也 さん は 無罪 に す べき だ と 思う']"
2,89,2_pope_francis_liturgy_teaching,"['pope', 'francis', 'liturgy', 'teaching', 'holy', 'ii', 'bishops', 'orthodox', 'priests', 'catholic']","[""i don't often agree with life of the lay, but this time i have to agree. when did 'popularity' become a job-description for being the leader of the roman catholic church worldwide? heck,  even the word 'popular' does not properly describe what is expected of popes these days.  instead, it seems that 'successful' popes must have 'rock star' qualities in regard to the size of the crowds they attract (invariably described as a million or more fawning / fainting individuals raising up their babies or doing their best to take a 'selfie' with the pope. \n     but in fairness, the requirement for 'rock star' status didn't begin with pope francis -- it began with pope john paul ii.  yes, i will admit that at first it was exciting to have a pope visiting in the catholic people in their home countries. i, myself went down to grant park in chicago in october 1979 to see jpii in person. but enough of papal visits already -- what counts are the teachings, not how many autographs he can sign!"", 'dear father reese, giving pope francis a grade is way too premature.  your essay gives worthwhile things to ponder, but - with all due respect - passing a grade is simply preposterous and does, i am afraid, reveal some lack of humility which is something you might consider working on.  zhou enlai, the first prime minister of the people\'s republic of china, famously responded to the question what he thinks of the french revolution: ""that\'s much too early to tell"".  though i am no fan of the man, i do agree he makes a terrific point.  so, let pope francis do his necessary reform work in an environment that still can stand comparison with the roman and byzantine imperial courts of yore.  francis dismantles the vatican court shrewdly, and step by step.  i, for one, consider it a miracle he is still alive.  to poison an whole canteen at santa marta makes such a mess - it would be far easier to dispatch him had he lived in the remote and easily controlled papal apartments.  not kidding...', 'jp ii ceased being pope more than ten years ago.  jp ii himself had no power to bind his successors to any particular perspective, whethe it agreed with his own judgment or not.  the same must be said of pope francis, as well as his successors.  there are times when discontinuity in church teaching is necessary and called for, and this is one of those times!']"
3,60,3_kill_玩_女孩_爹,"['kill', '玩', '女孩', '爹', '称', '神棍', 'mad', '牛', '离开', '狗']","['/ / @ 谢剑 喂 : [ 哈哈 ] / / @ bonyzhong :   耶稣 他 爹 玩 什么 ？ / / @ 斯麦 尔博士 : 不 懂 洋文 ， 当 拼音 读 ： 耶稣 他 爹 玩 什么 ？', 'あっ 、 いい こと 思いつい た 。 w   伝説 の クソゲー ” ガンオン ” 復活 な ん だ けど 、 windows 抜き で やろ う か な ・ ・ ・ ・   ガンオン 2 な ・ ・ ・ それ 以降 の シリーズ 。   シェア として は 一応 世界 な ん だ が 何せ 日本 の クソゲー です から ね ・ ・ ・ 無理 に と は 言い ませ ん よ 白人 。   macos 、 linux 系 、 pc 向け os に し た tron など で どう よ 。   デュアルブート し とけ こら あ ！ ！   pc 初心者 の 素人 は くる な ！ ！   これ で intel 、 amd 、 nvidia も 安泰 だろ う ・ ・ ・ 。   白人 で も basirisk 系 は いい か な ・ ・ ・ 理解 が ある から そこ は 。   それ 設定 です から ね ・ ・ ・ 支配 層 設定 。   俺 様 の レポート を 受け入れ て くれる 人 のみ で いい から ・ ・ ・ 。   神様 ごっこ し て いる 蓮 中 に は 飽き 飽き だ キリスト 教 。   この やろ う てめえ ・ ・ ・ 聖書 読め 旧教 。   ミサ 出 て いい 気 に なん な こら あ ！ ！   文盲 か よ 底辺 信者 ども 。   俺 様 ならびに 俺 様 の 勢力 に 手出し たら 許さ ん ぞ アヌンナキ と yhwh & jesus ＆ エンリル よ 。   悪魔 の 連中 とき たら ・ ・ ・ ・ 根性 フィルター 。', 'onward christian soldiers marching as to war, (kill!! kill! kill!!) with the cross of jesus going on before, (kill!! kill! kill!!), christ the royal master, (kill! kill! kill!) leads against the foe, (kill! kill! kill!), forward into battle, (kill! kill! kill!)\n\nonward then ye people, join our happy throng, (kill!! kill! kill!!), blend with us your voices, in our trumpsters song, (kill!! kill! kill!!).']"
4,55,4_gay_abuse_communion_sexual,"['gay', 'abuse', 'communion', 'sexual', 'marriage', 'receive', 'homosexual', 'priests', 'married', 'children']","['""thompson: does that mean they can receive communion?\n\npope francis: this is the last thing. integrating in the church doesn’t mean receiving communion. i know married catholics in a second union who go to church, who go to church once or twice a year and say i want communion, as if joining in communion were an award. it’s a work towards integration, all doors are open, but we cannot say, ‘from here on they can have communion.’ this would be an injury also to marriage, to the couple, because it wouldn’t allow them to proceed on this path of integration. and those two were happy. they used a very beautiful expression: we don’t receive eucharistic communion, but we receive communion when we visit hospitals and in this and this and this. their integration is that. if there is something more, the lord will tell them, but it’s a path, a road.""\n\nhttp://www.catholicworldreport.com/blog/4588/full_text_pope_francis_inflight_interview_from_mexico_to_rome.aspx', '""the report also rejects the claim that the second vatican council and the sexual revolution were responsible for the outbreak of child sexual abuse, as some have claimed"".\n(from p.193)\n* the impact of the sexual revolution, particularly on psychosexually immature men, whose sexual immaturity and deprivation led to distorted cognitive thinking about children and whose repressed sexual curiosity led to greater sexual experimentation;\n* the greater general turbulence in the catholic church during and immediately after the second vatican council, with the celibacy debate masking the deeper crisis about the role of the priest\n* ‘young priests unilaterally abandoned the obligation to remain celibate, while some people opted for the priesthood in the expectation it would be abolished’, leading to a conscious rejection of the celibacy rules by many clergy.\nmuch of this relates more to the abuse of adults.\nhttps://eurekastreet.com.au/article.aspx?aeid=52339', 'after the boston globe broke the story on priestly sexual abuse in 2002, the american bishops established an independent panel to study this issue. when the national review board released its findings in 2004, noted washington attorney robert s. bennett, who headed the study, said, “there are no doubt many outstanding priests of a homosexual orientation who live chaste, celibate lives, but any evaluation of the causes and context of the current crisis must be cognizant of the fact that more than 80 percent of the abuse at issue was of a homosexual nature.”\n\nfurthermore, the panel explicitly said that “we must call attention to the homosexual behavior that characterized the vast majority of the cases of abuse observed in recent decades. . . .”\n\nhttp://www.catholicleague.org/homosexuality-and-sexual-abuse/']"
5,48,5_人类_问_地狱_肉,"['人类', '问', '地狱', '肉', '天使', '性癖', '业务', '阿弥陀', '妇人', '十字架']","['おそらく 社長 は おっぱい もん 。   新 社長 は ゴマ スリ nefilim 。 おそらく おっぱい もん の クソガキ の 犬 nefilim で は なかろ う か 性癖 。   ご 希望 なら やり ます けど どう し ます 殺人 。   でも 、 これ 、 初め っ から 芸能 界 って こう ゆう とこ だ という の は 常識 な ん だ けど ね 。   声 かけ られ て も 断る の が 常識 人 。 いい こと は ない と 思う けど お ま ん こばか 。   自覚 の ない 人 ほど エン タメ 界 で 生き た がる 。   そう ゆう 業界 だ と し て おき ながら なぜ な の だろ う か ・ ・ ・ 。   ゴロツキヤクザ の 運営 それ 悪魔 。   悪魔 の 契約 という こと です よ 芸能 界 。   ただ それ だけ 。   断る 力 や その 業界 と 戦う 力 が ない だけ じゃ ね ？   まあ 、 足元 見 て の タレント 業 。 そして 足元 見 て の スカウト マン 巫女 や スピ 系 カルト 教団 集団 。   当然 そんな こと 常識 な ん だ が ・ ・ ・ ・ 。   だって 、 芸能人 って やたら と 宗教 信者 多い から ね 。   魔術 と 宗教 の 教え ・ ・ ・ これ 、 まさしく 洗脳 という の は 常識 。   それでも 聖書 は 何 を 意味 する か ・ ・ ・ 。 仏門 と は ・ ・ ・ 。   これ 、 神 と 人 と の 関係 性 と 神 と の 契約 を 意味 する 。   また 、 聖書 から 紐解く 神 々 と 神 の 思悪 ・ ・ ・ これ を 理解 し ない と 生き て ゆけ ない ・ ・ ・ ってか 、 命 に 与れ ない 。   まあ 、 いい こと は ない ・ ・ ・ 前提 で この世 の 創造 という こと を 認識 せよ 。   なぜなら 、 トカゲ 野郎 の しでかし た こと は ペ テン で あっ て 、 それ に 気がつい た もの が 今 に 至る と いう 。   欲望 の 巣窟 、 ポップ カルチャー 。   当然 そんな こと 知っ てる よ ね お前 ら 。   骨 の 髄 まで しゃぶる の が 悪魔 で ある 。   なぜなら sex は ぺろぺろ から の パンパン ・ ・ ・ 。   わかる だろ ・ ・ ・ それ だけ で も 。', '結果 、 白人 女 は 大体 が 安産 型 故に 子供 作っ て 愛 を 語る スルッ と お産 ・ ・ ・ 。   そして 、 うん この よう に 公衆 便所 で 赤ちゃん 産ん で 流し ちゃっ た ぜ こら あ それ 殺人 罪 。   そう なら ない で なんとか 蘊蓄 垂れ流し て 中絶 許可 しろ 恫喝 バチカン と 法曹界 と 議会 へ 猛 アピール デモ 。   だって だって だって ！ ！ ！   でも ？   てめえ この やろ う ・ ・ ・   性癖 。   だっ たら ケツアナ で 遊ん だ る わ ！ ！   結果 、 ホモ 量産 。 w   この 馬鹿 っ たれ ！ ！ 白人 を 頂点 に 堕天使 。 ヤフェト 。   金髪 なら 何 やっ て も 許さ れる の か 恫喝 という 侵略 戦争 植民 地 化 。   こんな 女 連中 の ご 要望 答える 必要 ない ん じゃ ね 肉 。   性欲 処理 と 肉 と 奴隷 ＝ 愛 だって さ ・ ・ ・ 主観 的 。   これ が 愛 の 教え な の か 聖書 。 japhkiel & jesus とき たら エンリル 貴様 。 。 。   かつて 智 天使 barberit ＝ satan は 愛 の 天使 だっ た とか ・ ・ ・ 悪魔 。   悪魔 は 恋煩い ・ ・ ・ 病気 じゃ ね お前 ら amy 属 と 上位 天使 の 堕天使 ども 。   トカゲ 野郎 に 騙さ れ た 人類 と 天使 たち 。   ザーメン 臭え ぞ ！ ！ お前 。', '共存 不可 な のに いつ まで やる ん だ こんな こと 。 。   イエス お前 ・ ・ ・ 責任 とれ よ 。   俺 様 、 お前 とか ヤクザ 基本 的 に 嫌い だ から エロ い 人 lilith と lilin 。   恫喝 か よ 山口組 の lilin 。   殺し ます よ ジェノサイド 。   しばらく 付き合えよ 木山 と 前川 、 馬場 くん ならびに ヒット マン たち 。   肉 に さ れる ぞ こいつ ら と 付き合っ て いる と amy 属 。   性癖 悪い の は 実は こいつ ら だっ た 阿弥陀 から の ・ ・ ・ ・ 。   まあ 、 こいつ ら の 中 でも 独立 し たい やつ も いる だろ う に 棲み 分け 。   安易 に 受け入れ ない ほう が いい 案件 。 。   どこ で キャッチ さ れる か わから ん ぞ よ 上級 天使 の 阿弥陀 と 素 戔嗚 & barvert & satan と jesus & japhkiel ＆ エンリル 。   窓口 ・ ・ ・ ・ すなわち 仕掛け て くる の barverit らしい お ブリ テン の クソジジイ 。 。   生き て ゆけ ない の は 無能 な 証拠 amy 属 すなわち 阿弥陀 と その 配下 の 天使 たち 。 。 。   いつ まで 神様 ごっこ を ・ ・ ・ イエス よ 。   精神 疾患 を 見直せ 阿弥陀 の 。']"
6,47,6_統一教会_自民党_ネトウヨ_カルト,"['統一教会', '自民党', 'ネトウヨ', 'カルト', '統一', '工作', 'スパイ', '団体', 'てん', '関係']","['ネトウヨ の 正体 なんて 露骨 に 統一教会 関係 者 だ し な', '自民党 が 日本 の 統一教会 の 根幹 だ から な', 'ネトウヨ 曰く 統一教会 は 反 中 で 反共 で 反 左翼 だ から   多少 の 悪 さ に は 目 を 瞑っ て でも 守る べき 価値 ある 団体 な ん だ そう な   自ら の 政治 的 思惑 の 為 なら 数 多く の 日本人 が 食い物 に さ れ 破滅 さ せ られ て も 良し と する の が 保守 か ？   そんな 思想 が 保守 や 右翼 と 言う の なら 日本 国 に 保守 や 右翼 なんて もん は 要ら ねえ わ   ネトウヨ 全員 半島 に 帰っ て 好き な だけ 左翼 や 共産党 と 戦っ てろ']"
7,44,7_教_隣人_キリスト教_悪い,"['教', '隣人', 'キリスト教', '悪い', '犠牲', '馬鹿', '繰り返し', '実験', '愚か', '植民']","['キリスト 教 の 隣人 だ ぞ', 'キリスト 教 は 呪い の 宗教 だ から 悪い の だ 。', 'キリスト 教 で は 、 神 を 信じ ない の は 罪 という こと に なっ て い ます 。 ほんで キリスト教 が 悪い 。']"
8,44,8_中国_佛教_文化_世界,"['中国', '佛教', '文化', '世界', '観', '社会', '民族', '教', '信', '邪教']","['>> 19   彼ら の 信仰 を 否定 しよ う と は 思い ませ ん が 、 自分 に は そう 見える という 話 です 。   孤立 化 について は 、 キリスト 教 という もの が 本来 の 宗教 と は 別物 で あり 、 社会 が 共有 する 価値 観 として で は なく 、 個人 と 絶対 者 と の 契約 を 履行 する 結果 として の 社会 的 良識 な ので 、   様々 な 派生 物 が 作ら れ 、 結果 として 社会 が 法的 整合 性 を 満たす 限り 何 でも あり な 事 に なる 、 よう に 見える という 話 です 。   そして 、 日本 も その よう に なっ て き て いる という 話 。', '【 信仰 】 中国 人 得意 时信 儒教 ， 失意 时信 道教 、 佛教 ， 而 在 教义 与 已 相 背时 ， 中国 人会 说 ， “ 人定胜天 ” 。 中国 人 的 信仰危机 在于 ， 经常 改变 信仰 。   ― ― 林语堂', 'キリスト 教 は カルト で ある 。   その 説明 を しよ う 。   本来 、 宗教 と は 任意 の 群れ を 束ねる 共有 さ れ た 価値 観 で あり 、 これ は 群れ と ボス 猿 の 関係 性 を 敷衍 し た もの に 過ぎ ない 。   マトモ な 知性 の 持ち主 なら 理解 頂ける で あろ う 、 この 理屈 は 、 キリスト 教 という カルト が 世界 を 侵食 し た 現代 で は 受け入れ がたい 話 で あろ う 。   何故か ？   キリスト教徒 で は ない 人々 も キリスト教 的 な 価値 観 に 侵食 さ れ て おり 、   某 か の 「 絶対 存在 」 を 無意識 に 頂い て いる 為 だ 。   キリスト 教 的 な 「 宗教 」 や 「 絶対 存在 」 の 否定 を 無意識 に 拒む 為 だ 。   だから 、 人々 は 何事 に も 安易 で 分かり やすい 「 敵対 者 」 を 探す 訳 だ 。   宗教 と は 、 人工 の エセ 神話 や エセ 絶対 者 を 盲信 する もの で は なく 、   本来 は 、 不可解 な 自然 現象 や 死後 を 説明 する 世界 観 で あり 、 その 世界 観 に従って 形成 さ れる 価値 観 そのもの を 意味 する 。   日本 の 場合 、 例えば 太陽 は 天 照 皇 大神 で あり 、 故に 礼拝 する もの で あり 、 我ら を 見守る もの で ある 。   しかし 、 キリスト 教 による 世界 侵略 によって 、 世界 各地 の 宗教 、 文化 が 破壊 さ れ 塗り替え られ た 。   どの よう に ？   個人 主義 とか 能力 主義 とか 見れ ば 判る よう に 、   個人 と 絶対 存在   という 契約 を 無上 と する 、 社会 文化 を 軽視 、 或は 拒絶 する 価値 観 に 塗り替え られ て だ 。   キリスト教徒 側 は こうした 論 を 否定 する が 、   現実 として 、 日本 文化 を 消そ う と し て いる の は 諸兄 も 御 承知 の 事 だろ う 。   また 、 同様 の 事 を 共産 主義 勢力 も し て いる 事 も 。   これ は 、 共産 主義 も キリスト教 文化 から 派生 し た 同質 の カルト で ある 証左 だ と 言える 。   彼ら も また 、 「 共産 主義 による 世界 支配 」 を 夢見る 連中 だ 。   カルト と は 、 反 社会 の 邪教 で ある 。   そして 、 日本 国 は 、 こうした 反 社会 勢力 を 幾つ も 「 宗教 」 と 認可 し 、 税制 優遇 処置 を し て いる 。   世界 的 に 見 て も 、 「 キリスト 教 は カルト だ 」 と は 公式 に 認める 所 は 無い 。   これ が 現状 で ある 。']"
