Source,Target,Weight
Topic 1,Catholic,197
Topic 0,日本人,108
Topic 5,Vatican,107
Topic 3,Catholics,96
Topic 2,bishops,89
Topic 8,Priests/Clergy,78
Topic 7,Christian,72
Topic 1,Trump,71
Topic 6,bishops,71
Topic 18,Catholic,63
Topic 17,Christianity,56
Topic 16,Canadian,54
Topic 6,神职人员,38
Topic 2,Church (General),37
Topic 19,Pharisee,33
Topic 13,Catholic,33
Topic 19,Jesus,32
Topic 2,Priests/Clergy,31
Topic 1,Jesus,29
Topic 15,Catholic,28
Topic 6,Church (General),23
Topic 2,Jesus,23
Topic 3,Church (General),23
Topic 14,Unification Church,23
Topic 6,主教,22
Topic 5,Church (General),22
Topic 2,主教,22
Topic 10,Christian,21
Topic 12,Priests/Clergy,21
Topic 1,基督徒,21
Topic 5,Jesus,19
Topic 1,Christian,19
Topic 19,法利赛人,19
Topic 7,神棍,18
Jesus,Do: say,18
Topic 16,Canada,18
Catholic,Do: think,18
bishops,Do: believe,17
Topic 2,信徒,17
Topic 6,Jesus,16
Catholic,Do: know,16
Topic 0,山上,16
Topic 6,Priests/Clergy,15
Topic 1,川普,15
bishops,Do: think,14
Topic 11,Muslims,14
bishops,Do: have,14
Topic 9,Jesus,14
Topic 12,Jesus,13
Vatican,Do: think,13
Topic 7,Jesus,13
Topic 8,Church (General),13
Church (General),Do: teach,13
Catholic,Do: have,12
Topic 14,中国,12
Catholic,Do: believe,11
Topic 1,トランプ,11
Topic 5,Catholic,11
Topic 11,Christian,11
Jesus,Act_on: tell,11
Catholic,Do: agree,10
Topic 12,Church (General),10
Catholic,Do: find,10
Catholic,Do: say,10
Topic 0,ネトウヨ,10
Topic 0,創価学会,10
Topic 10,犹太人,10
Topic 18,NCR,9
Topic 2,イエス・キリスト,9
Topic 0,韓国,9
Topic 3,信徒,9
Topic 3,Jesus,9
Topic 3,Priests/Clergy,8
Topic 8,主教,8
Catholic,Do: see,8
Topic 8,Catholic,8
Topic 4,Priests/Clergy,8
bishops,Do: agree,8
Topic 16,Justin,8
日本人,Act_on: する,8
bishops,Do: hope,8
Topic 7,Church (General),8
Catholic,Is: sure,8
Topic 5,Priests/Clergy,8
Topic 2,教皇,8
Topic 7,基督教,8
Topic 13,Unification Church,7
Topic 9,イエス・キリスト,7
Vatican,Do: know,7
Topic 14,信徒,7
Topic 8,Christian,7
Catholic,Do: want,7
Topic 8,Jesus,7
Topic 15,Church (General),7
bishops,Do: know,7
Christian,Do: have,7
Catholic,Do: like,7
Canadian,Do: think,7
Topic 18,Church (General),7
Topic 16,Trudeau,7
Topic 16,Christian,7
Christian,Do: think,6
Catholic,Do: vote,6
日本人,Do: する,6
Jesus,Do: do,6
Topic 7,イエス・キリスト,6
Catholic,Do: do,6
Church (General),Do: have,6
Topic 12,Catholic,6
Topic 4,教堂,6
Topic 4,修女,6
Church (General),Act_on: leave,6
Jesus,Do: teach,6
Priests/Clergy,Do: have,6
Topic 6,教皇,6
Topic 6,梵蒂冈,6
Topic 0,Abe (Politician),6
Catholics,Do: think,6
日本人,Act_on: 騙す,5
Topic 12,天主教徒,5
Topic 11,基督徒,5
Priests/Clergy,Do: say,5
Priests/Clergy,Act_on: ordain,5
日本人,Do: いる,5
Topic 15,カトリック,5
Topic 13,主教,5
Topic 10,イエス・キリスト,5
Jesus,Do: want,5
Priests/Clergy,Do: hear,5
Pharisee,Do: believe,5
Christian,Do: believe,5
Priests/Clergy,Do: know,5
Jesus,Act_on: lead,5
Topic 9,Confucius,5
Topic 17,基督教,5
Church (General),Do: make,5
Priests/Clergy,Do: think,5
Topic 3,LGBT,5
Catholic,Do: hope,5
Christian,Do: doubt,5
Topic 14,基督教,5
Topic 19,基督徒,4
Catholic,Do: need,4
Topic 10,Jesus,4
Topic 4,基督狗,4
Church (General),Do: come,4
Catholic,Do: worship,4
Topic 16,Islam,4
Topic 8,教団,4
Abe (Politician),Do: _,4
Topic 10,基督教,4
Christian,Do: agree,4
Catholic,Do: go,4
Trump,Act_on: elect,4
Topic 9,洪秀全,4
日本人,Do: なる,4
Church (General),Do: say,4
bishops,Is: sure,4
Topic 11,基督教,4
Catholics,Do: ’m,4
Vatican,Do: have,4
Catholic,Do: take,4
bishops,Do: say,4
Church (General),Do: change,4
Christianity,Do: think,4
Topic 19,Church (General),4
Vatican,Do: believe,4
Topic 13,Christian,4
Priests/Clergy,Do: want,4
Catholic,Do: read,4
Catholics,Do: know,4
Catholic,Do: mean,4
Priests/Clergy,Is: sure,4
Catholic,Do: remember,4
Topic 11,Jesus,4
Jesus,Act_on: teach,4
Christian,Do: say,4
Catholics,Do: hope,3
Catholics,Do: say,3
トランプ,Act_on: 支持,3
Christian,Do: find,3
Topic 5,Christian,3
Jesus,Act_on: follow,3
Catholic,Do: write,3
Priests/Clergy,Do: need,3
Catholic,Do: care,3
神职人员,Do: 管,3
Vatican,Is: sure,3
Topic 17,キリスト者,3
日本人,Do: 増える,3
Unification Church,Do: think,3
Unification Church,Do: have,3
Priests/Clergy,Do: guess,3
神职人员,Do: 有,3
Topic 12,主教,3
Trump,Do: win,3
Vatican,Do: understand,3
日本人,Do: 苦しめる,3
Catholics,Do: agree,3
主教,Do: 有,3
日本人,Do: 洗脳,3
Topic 8,信徒,3
Unification Church,Do: pray,3
Priests/Clergy,Do: tell,3
Topic 19,信徒,3
Canadian,Do: believe,3
Christianity,Do: ask,3
Christian,Do: wonder,3
Christian,Do: prefer,3
Priests/Clergy,Do: wonder,3
Christian,Do: read,3
Pharisee,Do: think,3
Topic 5,信徒,3
Jesus,Act_on: help,3
Jesus,Act_on: ask,3
Topic 14,神棍,3
Church (General),Do: do,3
信徒,Do: 信教,3
bishops,Do: do,3
Catholics,Do: want,3
Priests/Clergy,Do: go,3
Priests/Clergy,Do: mention,3
bishops,Do: want,3
Jesus,Do: know,3
Catholic,Do: start,3
Catholics,Do: like,3
Trump,Do: say,3
Topic 13,Ontario,3
bishops,Do: go,3
Topic 14,Christian,3
Catholics,Do: find,3
Priests/Clergy,Do: get,3
Jesus,Do: have,3
Topic 11,绿教,3
Vatican,Do: see,3
日本人,Act_on: 差別,3
Catholic,Do: tell,3
Catholic,Act_on: include,3
Christian,Do: raise,3
Vatican,Do: read,3
Topic 4,基督徒,3
基督教,Do: 说,2
日本人,Do: 働く,2
イエス・キリスト,Do: 生まれる,2
神职人员,Act_on: 让,2
Topic 14,教堂,2
日本人,Do: 持つ,2
Vatican,Do: get,2
Topic 9,格里菲斯,2
教堂,Act_on: 回到,2
修女,Do: 搭上,2
日本人,Do: 結婚,2
イエス・キリスト,Do: 主張,2
Jesus,Do: forgive,2
Canadian,Is: sure,2
Vatican,Do: do,2
Topic 17,Jesus,2
Christian,Do: do,2
Catholic,Is: embarrassed,2
Vatican,Do: hear,2
Christianity,Do: guess,2
日本人,Act_on: 飛ばす,2
日本人,Act_on: 破壊,2
日本人,Do: 見える,2
イエス・キリスト,Do: する,2
基督徒,Act_on: 说,2
Church (General),Act_on: lead,2
Church (General),Do: ordain,2
Vatican,Do: suggest,2
bishops,Do: misinterpret,2
bishops,Is: sorry,2
Church (General),Act_on: run,2
Catholics,Do: believe,2
bishops,Do: suspect,2
Topic 19,基督,2
Priests/Clergy,Do: live,2
Church (General),Do: continue,2
Catholic,Do: support,2
Catholic,Do: ask,2
Catholic,Do: suspect,2
Jesus,Do: live,2
Catholics,Do: see,2
Topic 13,信徒,2
Catholics,Do: have,2
bishops,Do: read,2
Confucius,Do: think,2
Catholic,Do: fear,2
Christianity,Do: say,2
Vatican,Do: spend,2
Priests/Clergy,Do: pay,2
神职人员,Do: 看,2
Unification Church,Do: care,2
Christian,Act_on: practise,2
bishops,Do: feel,2
Unification Church,Do: say,2
Jesus,Is: God,2
Church (General),Do: reject,2
Catholic,Do: work,2
Topic 15,Pope,2
Christian,Do: need,2
基督徒,Do: 想,2
Canadian,Do: wonder,2
Topic 16,Catholics,2
Church (General),Act_on: shut,2
Trump,Is: plant,2
Church (General),Do: know,2
Priests/Clergy,Do: let,2
Topic 7,基督徒,2
Christian,Do: understand,2
Pharisee,Do: go,2
Pharisee,Do: do,2
Priests/Clergy,Is: -,2
Christianity,Act_on: do,2
Christianity,Is: okay,2
Catholic,Do: feel,2
Church (General),Do: become,2
Jesus,Do: institute,2
Jesus,Do: warn,2
Christian,Do: support,2
Christian,Is: worthy,2
Catholic,Is: sorry,2
Canadian,Do: find,2
Christianity,Do: know,2
Christianity,Do: understand,2
Catholics,Do: do,2
Christian,Do: know,2
Catholic,Do: watch,2
Vatican,Do: feel,2
Jesus,Act_on: convince,2
Jesus,Do: choose,2
Catholic,Do: miss,2
Catholics,Do: assure,2
Trump,Is: empathatic,2
Church (General),Do: need,2
Priests/Clergy,Act_on: create,2
Canada,Is: country,2
Vatican,Do: criticize,2
Priests/Clergy,Act_on: shelter,2
Catholic,Do: get,2
Catholic,Do: come,2
Catholic,Do: understand,2
Priests/Clergy,Is: interested,2
bishops,Do: find,2
Catholic,Is: troll,2
Jesus,Do: go,2
Christian,Do: teach,2
Church (General),Do: offer,2
bishops,Do: see,2
Jesus,Do: give,2
Priests/Clergy,Is: Catholic,2
Trump,Is: Christian,2
Christian,Do: make,2
bishops,Do: support,2
bishops,Do: meet,2
神职人员,Do: 听,2
Jesus,Act_on: prevent,2
中国,Do: なる,2
ネトウヨ,Do: 触れる,2
Topic 18,カトリック,2
Catholic,Is: supporter,2
Jesus,Act_on: rap,2
Catholic,Is: old,2
Christian,Is: sure,2
Priests/Clergy,Do: assure,2
主教,Act_on: 到,2
Jesus,Act_on: get,2
Canadian,Do: have,2
Muslims,Do: find,2
Catholics,Do: take,2
Church (General),Do: want,2
Priests/Clergy,Do: do,2
Jesus,Act_on: kill,2
Topic 19,教徒,2
日本人,Do: 騙す,2
Topic 11,イスラム,2
山上,Act_on: 叩く,2
Catholic,Do: teach,2
Catholic,Do: hear,2
神职人员,Do: 设早,2
Catholic,Do: wait,2
Catholic,Do: give,2
Catholics,Do: wish,2
Vatican,Do: wonder,2
Jesus,Act_on: ignore,2
Priests/Clergy,Do: understand,2
Church (General),Act_on: protect,2
Priests/Clergy,Act_on: protect,2
bishops,Do: wonder,2
Jesus,Do: show,2
Trump,Do: speak,2
Pharisee,Do: have,2
Vatican,Do: agree,2
主教,Act_on: 当上,2
川普,Act_on: 给,2
Topic 12,イエス・キリスト,2
日本人,Act_on: 苦しめる,2
カトリック,Act_on: 自称,2
Topic 8,カトリック,2
イエス・キリスト,Do: 読む,2
Topic 4,神棍,2
Christian,Do: follow,2
Priests/Clergy,Act_on: call,2
