概念含义,中文隐喻/黑话,英文等价表达,日文等价表达,文化背景解释
缺乏理智的信徒,迷途羊,Sheeple,お花畑,中：讽刺丧失独立思考；英：Sheep与People合体；日：暗示脱离现实的脑内幻想。
强行传教者,圣经推销员,Bible Thumper,シャクブク野郎,中：指机械化传播；英：指敲着圣经咆哮；日：借用佛教“折伏”指代攻击性传教。
宗教狂热分子,神棍,Holy Roller,カルト予備軍,三者均暗示对方处于精神不正常、被“控制”或生理性癫狂的状态。
认知受限,福音脑,God-botherer,宗教脳,中日：直接将“脑”与宗教挂钩暗示智力受损；英：指那些喋喋不休烦扰他人的人。
无脑追随,精神鸦片吸食者,Kool-Aid drinker,マインドコントロール,中：源自史学评价；英：源自琼斯镇惨案；日：特指统一教会后的普遍社会偏见。
过度自我标榜,圣母/圣母婊,Virtue Signaler,善人面,中：将神圣称呼污名化；英：强调社交媒体上的表演；日：指责其“摆出一副好人脸”。
双重标准者,宽容党/假清高,Hypocritical Pharisee,偽善者,英：引用法利赛人典故；中日：侧重于行为与教义的背离。
极度保守者,原教旨余孽,Bible-belt redneck,カチカチ信者,均将宗教信仰与“落后”、“顽固”、“僵化”等地理或生理感官联系。
强制性道德感,道德警察,Tone Policing,道徳の押し売り,隐喻信徒将私域信仰强加于公域规则。
表里不一,满口仁义道德,Wolf in sheep's clothing,猫かぶり,英：圣经隐喻；日：日本本土“披着猫皮”的伪装文化。
西方代理人,二毛子,Uncle Tom,西洋かぶれ,指责信徒背叛本土文化，沦为西方宗教的“精神殖民地”。
宗教渗透,文化特务/洋教,Infiltrator,土足で上がる,日：隐喻“穿着鞋进屋”，暗示基督文化不尊重本土（日本）传统。
殖民遗毒,教案余孽,Colonial apologist,バテレンの残り香,日：使用战国时代的“伴天连”代称，唤醒对禁教时期的历史排斥。
破坏传统者,拆庙党,Iconoclast,神仏を敬わぬ者,中：指责其破坏祭祖等传统；日：强调其不敬神佛。
利益交换者,吃教的,Rice Christian,パン信者,“吃教”与“Rice/Bread Christian”均指为了救济粮而入教的投机者。
嘲讽上帝,老头子/蓝小伙,Sky Daddy,空想の友人,将至高神降格为儿童幻觉、家庭闹剧或空想朋友。
嘲讽洗礼,洗脑,Ducking,水浴び,将神圣的洗礼仪式降格为“洗澡”或“惩罚性的溺水”。
嘲讽祷告,念经,Talking to the ceiling,独り言,隐喻祷告是对着天花板自言自语，否定神的可应允性。
嘲讽圣经,神话故事集,Big Book of Fables,魔法の本,将经文等同于童话或不切实际的魔法书。
嘲讽十字架,木头架子,Magic T,処刑器具,剥夺十字架的救赎含义，还原其作为死刑工具的恐怖或荒谬感。
极右翼信徒,川粉,Christofascist,右翼キリスト,英：Christ与Fascist的合体，中日则常与特定的保守派领导人挂钩。
自由派信徒,圣母心,Libtard,パヨク信者,指责其为了教义中的博爱而牺牲国家利益或常识。
组织化威胁,宗教黑社会,The Cult Mafia,宗教団体という名の暴力,将教会组织比作黑帮，强调其排他性和对成员的控制。
