index,original,back_translated,path
9,//@如鹰展翼而上:回复@陈老坎:找到了，中新网采访了叶开，叶开（应该就是@老虎不吃��）说的。http://t.cn/zjiVDYr //@如鹰展翼而上:诺贝尔文学奖得主@莫言 同志他妈妈是基督徒这件事的文献参考资料出自哪里啊？,//@如鹰展翼而上:回复@陈老坎:找到了。中新网采访叶凯，叶凯（应该是@老虎不吃��）这么说。 http://t.cn/zjiVDYr //@如鹰展翼而上：诺贝尔文学奖获得者@莫言的母亲是基督徒的文献参考来源在哪里？,en
14,伪基督们在造势了,假基督们正在制造声势。,en
15,什么新世代十字军,新一代的十字军战士？,en
8,圣母会牺牲自己拯救他人，而且不损害他人利益，圣母婊也会牺牲自己拯救他人 但是会绑架所有人一起来成全自己的名声，更甚一点是直接牺牲他人来成全自己,圣人会牺牲自己去拯救他人，而不会损害他人的利益；伪君子也会牺牲自己去拯救他人，但会操纵其他人来提升自己的名声，或者更糟，直接牺牲他人来达到自己的目的。,en
3,@包包狗头两基友 卖国贼不敢来此吧受死，你在那破吧叫的精疲力尽有个P用，能掩盖你卖国贼的本性？基督狗！,@BaoBaoDogHeadTwoFriends 你这叛徒不敢来这里送死，在那个破论坛里喊到嗓子都哑了又有什么用？能掩盖你的叛徒本性吗？基督徒狗！,en
19,呵呵，所有正面宗教的教义都有一个共同点！你们没发现吗？哈哈哈哈哈！还你的我的！道的佛的耶稣的真主的！哈哈哈哈哈！,哈哈，所有正统宗教的教义都有一个共同点！你没注意到吗？哈哈哈！最终都还是回到了你我身上！道教、佛教、耶稣、真主！哈哈哈！,en
11,也就是举报给非基督徒，哥林多书说得不够明白吗？你们逞者情欲发泄自己。,换句话说，向非基督徒汇报——《哥林多前书》的教导难道还不够清楚吗？“你们放纵自己的私欲，随心所欲地满足自己。”,en
0,经典圣母婊慷他人之慨,典型的伪君子，却慷慨地挥霍别人的钱财。,en
7,你看到的不是圣经，是不懂圣经的人写的乱七八糟的文章,你所看到的不是圣经；而是不懂圣经的人写的一堆乱七八糟的东西。,en
10,美国基督徒都破大防了大殖子还搁这赢呢,美国基督徒已经突破了所有防线，但最大的赢家仍在继续获胜。,en
