annotation_id,annotator,average_prob,christianity_related,created_at,hate_speech,id,lead_time,model_votes,sampling_strategy_tag,text,updated_at,augment_method,group_id
4954,1,0.4915478726228078,1,2026-02-23T14:10:06.845594Z,1,20397,5.969,1/5,uncertain_or_low_confidence,聖書の神は、実は悪魔だ。冗談抜きで、これは真実だ。だからこそ、他人を苦しめる者が富を蓄え、この世で称賛されるのだ。,2026-02-23T14:10:06.845613Z,GT_en,9
4954,1,0.4915478726228078,1,2026-02-23T14:10:06.845594Z,1,20397,5.969,1/5,uncertain_or_low_confidence,聖。？書...の神は、！実は悪魔だ。冗談、抜きで、·こ？れは·真実だ。だからこそ、他人を苦しめる者が富を蓄え、この世で称賛されるのだ。,2026-02-23T14:10:06.845613Z,GT_en_AEDA,9
4508,1,0.4313873549302419,1,2026-02-19T01:56:24.152524Z,1,22258,2.031,1/5,uncertain_or_low_confidence,キリスト教崩壊の聖書。,2026-02-19T01:56:24.152551Z,GT_en,1
4508,1,0.4313873549302419,1,2026-02-19T01:56:24.152524Z,1,22258,2.031,1/5,uncertain_or_low_confidence,キリス·ト教崩壊の聖書。,2026-02-19T01:56:24.152551Z,GT_en_AEDA,1
2590,1,0.4239954153696696,1,2026-02-14T05:47:16.362594Z,1,19711,13.768,2/4,uncertain_or_low_confidence,>>81 笑 なぜ、過激なカルトに洗脳された低レベルの信者が、キリスト教のスレッドでキリスト教徒に命令しようとしているのか？,2026-02-14T05:47:16.362617Z,GT_en,7
2590,1,0.4239954153696696,1,2026-02-14T05:47:16.362594Z,1,19711,13.768,2/4,uncertain_or_low_confidence,>>81 笑 ！なぜ、過...激なカルトに洗脳さ...れた。低レベルの信者、が、キリスト教のスレッドでキリスト！·教徒に命令しようとしているのか？,2026-02-14T05:47:16.362617Z,GT_en_AEDA,7
4644,1,0.3704650998115539,1,2026-02-19T03:19:12.171278Z,1,19233,2.611,2/4,uncertain_or_low_confidence,統一教会は単なる宗教団体ではなく、オウム真理教のようなカルト集団であり、日本の古い宗教宗派とは異なる。,2026-02-19T03:19:12.171300Z,GT_en,11
4644,1,0.3704650998115539,1,2026-02-19T03:19:12.171278Z,1,19233,2.611,2/4,uncertain_or_low_confidence,統一教会は単なる宗教団。体では？なく、オウム真理教の、ようなカルト·集団で...あ。り、日本の古、い宗教宗派とは異なる。,2026-02-19T03:19:12.171300Z,GT_en_AEDA,11
3924,1,0.341399888197581,1,2026-02-18T04:01:02.112795Z,1,20777,29.759,3/3,uncertain_or_low_confidence,>>92 キリストがやったのではない。ヤハウェのせいだ。ヤハウェは普段から暴力的だ。,2026-02-18T04:01:02.112812Z,GT_en,15
3924,1,0.341399888197581,1,2026-02-18T04:01:02.112795Z,1,20777,29.759,3/3,uncertain_or_low_confidence,>>92 キリストがやったの。では·ない。ヤハウェのせいだ。ヤハウェ、は普段から！暴力的だ。,2026-02-18T04:01:02.112812Z,GT_en_AEDA,15
1745,1,0.4056985179583232,1,2026-02-11T04:46:47.634775Z,1,19498,11.813,2/4,uncertain_or_low_confidence,現代キリスト教は、イエスという人間の存在は証明できないという前提に基づいているとされています。しかし、イエスが実在した証拠を持っていると主張する司祭や牧師に出会った場合は、注意が必要です。彼らはカルト集団の一員である可能性があります。,2026-02-11T04:46:47.634800Z,GT_en,6
1745,1,0.4056985179583232,1,2026-02-11T04:46:47.634775Z,1,19498,11.813,2/4,uncertain_or_low_confidence,現。代キリスト教は、イ、エスと？いう人間の存在は証明。...できな？いという。前提に基づいている...！とされています。しか。し、！イ...エスが実在した証拠を持！っていると主張する司祭や牧師に出会った場合。は、注意が必要です。彼らはカルト集団の、一員、である可能性が。あります。,2026-02-11T04:46:47.634800Z,GT_en_AEDA,6
4565,1,0.552138070265452,1,2026-02-19T03:09:12.486868Z,1,21409,28.018,1/5,uncertain_or_low_confidence,彼は、すべてのキリスト教徒は最終的に「異邦人をどのように受け入れたか」によって裁かれるというカトリックの信仰を改めて述べた。教皇よ、先住民を虐殺したすべてのアメリカ人キリスト教徒は地獄に落ちるべきではないのか？,2026-02-19T03:09:12.486890Z,GT_en,17
4565,1,0.552138070265452,1,2026-02-19T03:09:12.486868Z,1,21409,28.018,1/5,uncertain_or_low_confidence,彼は、？すべてのキリスト教徒は最終的に「異邦人をどのように受け入れた、か」によって裁かれるというカトリッ！クの信仰を改··めて述べた。教·皇よ、先住民を虐殺、したすべて！のアメリカ人キリ！スト教徒は地獄。に落。ち·るべきではないのか？...,2026-02-19T03:09:12.486890Z,GT_en_AEDA,17
2969,1,0.4280590812365214,1,2026-02-15T01:58:31.126255Z,1,20748,9.026,3/3,uncertain_or_low_confidence,学校の門前での聖書配布に苦情？ | もーちゃんの部屋 << 育児放棄の母娘への対処法は？ | メイン | 貧困万歳！ >> 13:15、もーちゃん、希望の光 13:15、スポンサーリンク、 - url:http://shalomochan.jugem.jp/trackback/1599,2026-02-15T01:58:31.126286Z,GT_en,0
