cluster_id,text
0,"@DevinSenaUI David had a man killed so he could fuck his wife and God still said he was his fav. Eat shit, bigot."
0,"I see the followers of the Cheeto Jesus are very, very cross today!  It would appear they are snowflakes melting away under the krieg lights of Hollywood.  Can we give them a hunt camp they can retire to for  a few weeks while they get over their pain?  Help a conservative snowflake!  Give him his guns, a couple of big bottles of whisky and send them up to the hunt camp!!"
0,@faithfulgadolic @thehill Fuck Jesus. Fuck the Virgin Mother. Fuck the Holy Ghost. Fuck your Bronze Age Mumbo Jumbo. You sad sack of shit.
0,@Millie__Weaver Shove your bible up ur ass
0,@sleezygrills @shelbygraces Must be the wrong Bible.
0,@ChaeWooLee1 @The_Trump_Train @AOC Another fake ass Christian piece of shit. Rape apologizing motherfucker.
0,"“I did try and f*** her, she was married,” and says that when he meets beautiful women he feels able to “grab them by the pussy”.    “I did try and f*** her, she was married,” and says that when he meets beautiful women he feels able to “grab them by the pussy”.   Our Dear Leader in his own words,    I'm glad we're both christians....lol & aloha"
0,<user> he fully retarded she christian 😂
0,@Teenygozer @Luvmookie @sbg1 That's proof they're not Christians. God will never send an adulterous liar who cages children
0,Converted Christian Anchor 😜
0,"@DanPatrick you are a sad lying sack of shit, Fuck you and your king @GregAbbott_TX, Like fuck both you and your thoughts and prayers, Dumb bags of racist white supremecist pieces of shit."
0,"pastor steven you are awesome and God gifted ,and from now onwards i'll leave unnecessary burden to God thank you and be blessed its bildad from Kenya"
0,Save it for church man.......
0,"Where's the headline about Rev. Jeremey Lucas and the Christ Church Episcopal Perish helping the 1,000's of homeless? 
Good luck to the girls softball team, Christian money gots their back now. 
I'll pray for you Rev. Jeremey Lucas. May one day, God, show you the light, from where hate and violence truly originates. When that day comes, you'll truly be one step closer to reducing violence in this world."
0,Dude. I never thought I'd meet another Christian Weeb. Be blessed my degenerate brother
0,@TrumpStudents @donlemon God bless you Pastor Owens and God bless your ministry. You are a great role model.
0,... true dat home of 'christians' who bugger meth addicted boys while preaching the gospel of love through war and guns ...
0,"Hey fakename bob..while you are busy screaming like banshee on sharia law, your hate towards islam, muslim,...your government will be implementing noahide law... if implemented, you and your tribe will be terminated ..... Muslims let his banshee Bob screams till his heart content...ignore him..."
0,"One of my all time favorite homilies on compassion came from a priest who told the story of being in check out line at a grocery store.  When the cashier asked how his day was going, the priest said his dog had just died and that he burst into tears.  The priest said the cashier opened his wallet and paid the priest's grocery bill.  He said this cashier was carrying the ""living water"" that Christ brought to all of us."
0,@Libtard Slayer Jesus says you should STFU
0,Fuck these bitches have them burned and killed and jailed  Chirst Christian capitalist morman Jehovah witness Scientology meth vokda immature sex exchange interracial Bitches stealing money
0,"That is such a personal journey that I don't think it could have justice done in print. 

As for Mister Brownlee; don't let your waders get too far away. Even Jesus and my hometown priest went fishin'!!!!"
0,"GBA: It's sad to see someone whose life is so empty that they spend their time on the RG's comment site trolling for fights with other posters.  I'm not going to fight with you, but I do hope you receive support from your family, your friends, or your church to find a more fulfilling way to spend your time.  Best wishes, Gary Crum"
0,@chibaicf @tommyvaughan @ChristianPost they pray everyday and they still get killed...your god is useless
0,"oh my god, Christians would take over. God save us all.from warm beer and kippers."
1,"On that we agree.  Those Christian hypocrites should have been charged with accessory before, during and after the fact as applicable.  Last serial woman-murderer they caught in Iran they hanged him from a crane."
1,And where does the New Testament tell you to go around killing people who are not of your faith?
1,"The news in the past several centuries and history itself shows overwhelming proof that some Christians have murdered in the name of God. Be careful when your plant your head in the sand like that, it makes it very difficult to get oxygen."
1,"You leap, from division in the Church, to people being executed because of lack in trust in the Holy Spirit, in indeed a long one. 

There are too many cases, in history,  being in the wrong place at the wrong time could be an excuse for execution. Look at the Killing Fields of Cambodia.

However, your comment does not dispute what the emails revealed, & provide a basis as what has long been suspected, in the presidential candidate's inner circle. The emails provide the cold calculating long thought out plan on how to create confusion in the Church for political and or personal gain. 

As St. Paul notes about wolves in the flock. Some of these wolves, might & probably are, wearing  sheep's' clothing."
1,"What do you think capital punishment is, then? It is the cold-blooded, pre-meditated, calculated and methodical killing of a person. This is precisely the definition of many murders, perhaps most. The fruit, therefore, is no different.

If we have faith and trust in God's actual word, he will deal with our enemies. But what do we do? We turn to self-reliance, thereby tying God's hands and demonstrating our lack of faith and trust in the process. 

I am sorry to say this, but almost every line you've typed shows that you do not really believe in God, only in yourself. If you believed in him, truly believed, then you would obey HIS commandments rather than those of the Roman Catholic Magisterium which clearly contradict the clear teaching of Christ and are leading God-knows-how many away from the narrow path."
1,"""Using your logic one could make the connection that the shootings in....""
Actually William, I do believe radical Islam was a likely factor in those shootings, along with mental instability, a weak ability to make moral decisions and the general climate of religious tension. 

"" our lack of responsibility for the mentally ill walking our streets....""
I agree we need to do much more for our mentally ill, though I don't see where Christian could have been locked up and forced to receive treatment.
Personally, I've worked in the mental health field,  and know what a terribly difficult profession this is--- working Graveyard at Royal Avenue Shelter was the toughest job I ever had."
1,This is Christian extremism... because Christians got shot? What? Makes no sense.
1,Perhaps this is more of a spiritual opinion than a liberal one. It should certainly be a Christian opinion. Or at least it was last Sunday when I sat in a pew at Saint Anthony's Cathedral. Killing may be a sad reality but it shouldn't be a joyful one.
1,"""... one thing you don't see is many media-made Angry Conservative White Male villains.""
Plenty of angry conservatives have killed multiple people. What you never see is a mass-murder described as an atheist. When you consider the majority of American citizens consider themselves as Christians, I guess it's a safe bet that most killers are part of that religion."
1,"Which part of your hateful Christianity says that those that are righteous should be killed along with thise that are not?
You could argue that God murdered millions indiscriminately, but I doubt that would fit your agenda."
1,"Once more we have an example of the price we pay for living where we do.  Jeremy Joseph Christian's murderous assault did not happen in the absence of disturbing red flags waved over the last 15 years.  The quandary we face as a society is that in our legal system, it is to a large extent true that each criminal act is adjudicated separately, and we have a difficult time preemptively locking people up because they crossed some nebulously defined line of ""too many bad deeds.""  That's the problem, maybe not precisely in this case as Christian was a convicted felon, but there are many examples of murderers who previously committed no crimes that rose to the level of serious jail time, but nevertheless had reputations of being ""seriously bad dudes.""

What to do?  Well, we could go the way of some other civilized countries like England where police are allowed to stop, detain, and hold citizens with little or no cause compared to what's now permissible in the USA.  Or then again, maybe not."
1,I called for mass murder?  I never said anything about the killing Christian religious services. Everybody's entitled to their superstitions.
1,"On the other hand, good American Christians have done their fair share of killing innocent children over the last 15 years or so.

Perhaps Abrahamic religions are the real problem."
1,Death to catholicism. Should be legal to shoot them.
1,"Christ never taught that it was wrong to kill in self-defense or in defense of another.  In fact, the Church teaches that ""Love toward oneself remains a fundamental principle of morality. Therefore it is legitimate to insist on respect for one's own right to life. * * *  Legitimate defense can be not only a right but a grave duty for one who is responsible for the lives of others. The defense of the common good requires that an unjust aggressor be rendered unable to cause harm. For this reason, those who legitimately hold authority also have the right to use arms to repel aggressors against the civil community entrusted to their responsibility."""
1,"""They"" (the Islamic Republic of Iran) ""hire despicable, cowardly radical elements to do the dirty work for them..."".

Right--they armed and financed the Taliban, al-Qa'eda and the Da'esh (ISIS)...oh wait, that was your good Christian AMERICAN leaders did that, not Iran. My bad.

Double-standards are the root of all evil. It works like this:

Nidal Hassan murdered 12 soldiers--TERRORIST!
Robert Bales murdered 21 Afghani civilians in their beds, including two year-olds--PTSD victim.

John Allen Muhammad--murdered 10 people along the DC beltway--MASS MURDERER!
Dylan Storm Roof--murdered 9 people in a bible-study class--troubled youth.

Dzhokhar & Tamerlan Tsarnaev--murdered 3 people during the Boston Marathon--TERRORIST!
Alexandre Bissonnette--murdered 6 people in a mosque as they prayed--mentally ill.

No wonder Mark Twain's deceased protagonist in ""Captain Stormfield's Visit to Heaven"" found so few white folks there. Hypocrisy is the second-greatest spiritual sin."
1,"""Some killing is justifiable or excusable, as in self-defense, but always woeful.""

I totally agree.  And this was my ultimate point.  

I find war abhorrent.  I have children, and cannot imagine what a loss it must be to lose them even in a just war.  

What astounds me is that although the main point I tried to make is that killing can sometimes be justified and moral, as in self-defense---a point with which you agree---you'd think from the antagonism I've been shown that I was calling for a preemptive strike on the Franciscans. Even you, who agree with me on my main point, wax sarcastic in saying that ""Jesus as we find him in the gospels has no interest whatsoever in the violent situations that so plainly fascinate you.""  The situations that ""so fascinate me"" concern the moral rightness or wrongness of going to war.  That may seem a weird ""fascination"" to you, but to a rational parent, a rational citizen, or a rational Christian, it's a matter of genuine, valid concern."
1,"Any religion that kills innocent people and does it in the name of their god is evil. 
They do as their father does. He was a murderer from the beginning. 


See how long it takes for someone to flag this post......

LP"
1,Surely you've got it wrong. The Christians victims were not targetted . They got hit randomly. And it's obvious the attackers were generic killers probably under the influenec.
1,"The fact that capital punishment results in wrongful deaths should, alone, be sufficient to stop this barbaric practice, but it appears that so many who call themselves Christian are so bent on vengeance that they will continue to fight to preserve this abomination."
1,"You may have missed this, but the Christian right wing, left wing or centre has not been consistently killing people in the name of their religion."
1,"Especially for Christians, whose faith is centered on Christ’s unjust execution, there is surely an obligation to campaign for the abolition of the death penalty which denies the condemned the right to life and the opportunity to reform. It is to be hoped that just as Francis has spoken out against its use, Christians, especially those with public platforms in the United States, will do likewise.
—Audrey Wells

Dudley Sharp seems to agree with Wells.

“However, if a prince or judge kills someone, that’s by our Lord God’s word and command.  You yourself do not bear the sword, but God . . . as if it were in God’s hand, as if an angel and not a human bore it, because god’s word clings to it, which commands to punish the wicked and to protect and defend the pious.”—Martin Luther.

VVV, Marty E, and the second comment by Dudley Sharp seem to agree with Luther.

Times, they are a’changin’."
1,"Where to begin?  Recently a western superpower elected a president who said family members of known terrorists should be murdered.  Killing innocent people is the essence of terrorism.  Similarly,a western nation whose leaders proudly proclaim their Christianity waged a campaign of terror across Latin America that saw atrocities such as the murder of a group of Jesuit priests.  Those killers were trained at a very famous school run the military in a ‘Christian’ nation.  I don’t think it’s out of line to say the economic sanctions against Iraq that killed half a million Iraqi children was terrorism.  Indeed, at the time, the world’s foremost human rights organization,  Amnesty International, called for those sanctions to lifted because they were killing children, but the ‘Christians’ refused to relent.

The point is not  who has done what for all concerned have done terrible things;  the point is that every infliction of harm on an innocent is incompatible with the Abrahamic faiths."
1,"[Pete Vere, JCL] I stopped accepting this argument after witnessing Catholic political neo-conservative casuistry while advocating for waterboarding in the prosecution of the War Against Terror, defending Sheriff Joe's deplorable treatment on undocumented immigrants and refugees, and of course acting as enthusiastic advocates for capital punishment. 

1 - St John Paul II was very clear on what constitutes torture and that despite the Church's past unfortunate tolerance of torture in more barbaric times, that the use of torture is intrinsically evil. (Language usually associated with abortion.) 

2 - Our Lord is very clear throughout the Old Testament (cf Deut 10 for example) that he defends the foreigner (immigrants and refugees) alongside the poor, the widow, and the orphan, and that he will punish harshly those who mistreat the aforementioned.

3 - Successive popes, the world's bishops, and orthodox Catholics outside the U.S. are near unanimous in opposing capital punishment."
1,Christian Pro-Lifers have demonstrated numerous times they hate enough to kill people in their self- appointed mission to clean up America.
2,"Oh come on. I have been pretty critical of the harsh tenor (and frequently the views expressed) in these comboxes, which has led me to post much less frequently than I once did. But with some notable exceptions, I would be hard pressed to say that NCR is equivalent to Church Militant. That is hardly accurate. 

Again, I believe that the general quality & civility of these comments has decreased since the Presidential election - but on the whole, the tenor & vitriol found at Church Militant cannot be found here. Church Militant takes a shrunken understanding of the Catholic tradition & weaponizes it against good Catholics across the spectrum in a farcical attempt at mimicking something like Fox News. It is a marketing ploy."
2,"Thank God for balanced Catholic media like NCR, America, and Commonweal."
2,"Have you considered at all that it is (this) NCR's long-held position to offer ideas and thoughts and facts and opinions from a wide variety of perspectives within the progressive-liberal schools of Catholic/Christian experience, plus a few moderately conservative essays and articles thrown in to the mix?  I didn't find any of that in any of your comments, Josh, so I thought I would mention it."
2,"For sure, NCR has lost many of its most interesting and thoughtful writers. McClory and Kennedy are foremost in my mind. But there is also the bigger picture: By focusing narrowly on our religion, it must be admitted that there is just not that much going on. The snail's pace of the Catholic Church, the procrastination, the endless excuses for not doing anything, and the refusal to believe in a sophisticated, non-didactic education of the people in the pews are weighing down any attempt to be lively and vital. The solution might be to examine spiritual life issues more broadly and situate the Catholic approach within a more diverse and less parochial topic."
2,"Well, I don't find their reporting ""unhinged"", especially given that the secular press has had many of the same questions and findings. As do many Catholics and other folks as well...


On the other hand, I would guess that NCR isn't too pleased by the endless bucket of money that Crux has now at its disposal. But so that goes...."
2,"Oh dear, citations please?  Posting unfounded allegations is so disappointing, not what one would expect of a person who represent the Traditional  Catholic Church."
2,"NCR is the most politically outspoken Catholic media site - -  luridly so --  exclusively promoting the platform of the DNC, and continuously raging at the platform of the opposition.  

But the prospect of religious folks getting ""too explicit"" in their political views makes NCR ""cringe.""

The media really does consider itself a priesthood."
2,"LOTL, have you considered that the reason why so many people who are not of the 1.5% of Catholics who are ultra-conservative, FTTM (Faithful To The Magisterium), Cappa Magna admirers, read and post in NCR?
It's because they are largely shut out of the diocesan media - as is anyone who is not one of the above 1.5%.
Diocesan media often claim to be independent, but most of them are tightly controlled by the local hierarchy and/or stacked with Opus Dei members.
A theologian once wrote a scholarly piece about Reconciliation for a diocesan newspaper. When it was published, however, it was so heavily censored and reworded that it looked like a parody of what he had originally submitted for publication. He threatened to sue the paper for defamation.

A diocesan paper experimented with a ""letters to the editor"" section, but dropped it after 2 weeks because letters similar to comments on NCR started flooding in.

Deny the mass of the people a voice, and they eventually revolt, like in 1776."
2,"Why the heck is it when I say the very same thing here, I don't get stars of approval, but a torrent of invective?

After consideration, it's apparently something very much to do with your keeping your criticism within the progressive Catholic sphere (Jesuit authors and  ""our Catholic intellectual heritage"").  
In that way,  you can object to the MSWesque worldview by informing the progressive readers that NCR isn't the only or the best progressive Catholic oracle.   Very nice!"
2,"NCR got it's start as a serious publication when they printed the Majority Report from Pope Pauls' birth control commission.  That happened before Paul VI issued HV,  which did not agree with the majority report.  That turned out to be a really really big deal...and then came their coverage of the clerical abuse scandal starting in the 80's.   Did it cement the future of NCR as not exactly in the conservative column?  Yes, why wouldn't it?  American laity subsequently ignored HV, and took the exit doors over the abuse scandal.  I would say, based on what the majority of American lay Catholics actually believe, NCR is most certainly representing a large segment of the People of God in the US.  It's Catholic in my mind, but I'm absolutely aware of the fact that my definition of Catholic is not going to be accepted by a minority of posters in the NCR com boxes.  That's fine because I can still accept them as Catholic.  I just don't agree with them...or their favorite publications."
2,"Translation:   We at NCR aren't like these ""censors,"" but we only publish writers who represent the Left of Center Catholicism, we castigate the Knights of Columbus, and we criticize conservative Catholics for being, well, not really Catholic at all.

NCR, the day you offer a platform to just one conservative Catholic, will be the day you get to justly complain about censorship in the Catholic world."
2,"Thank you, Sarasi1. I appreciate that (and am very glad you're here!). I have considered leaving again, because NCR Comments is fast becoming another vector of the alt-right, and it's grotesque.

I've encountered Nazi/fascist/anti-Semitic/racist/fanatical Catholics on (and off) the internet over the years, but however repugnant, at least they could be relegated to the crackpot fringe. That's obviously not the case anymore. The fringe has gone mainstream, and a Catholic white nationalist with grandiose ambitions is now one of the most powerful people in the world. NCR is obviously critical of Trump and his administration, but if there's been any in-depth reportage or  analysis of Catholic participation in the alt right, I missed it.

When this kind of stuff is recommended in Comments and gets upvoted by a promiscuous troll, with virtually no pushback, things are far gone (warning: venomous anti-Semitic Catholic site with really bad graphics):

http{:}//www{.}realjewnews{.}com/?p=476"
2,"Joan - I've been saying that for a very long time and, no thanks to me, NCR has recently stepped up to the plate with its new format and some new authors. I think Michael is their Vatican trivia guy and he's never going to stop dueling with people the rest of us have never heard of, but he's now offset by new authors who write from different perspectives, e.g., women! I do think he should stop portraying his essays as addressing the nexus of religion and politics, though, because he can't help seeing it from the perspective of a single white male who believes, apparently sincerely, that today's Catholics care about what popes and bishops say and do. - Monica."
2,"NcR ought to take the lead here, and remove the word ""Catholic"" from their name, as their bishop demanded back in 1968. This order stands, yet is disobeyed to this day. How many people come here looking for authentic Catholic news only to be duped into reading fake news articles promoting the anti-Catholicism so prominent in this publication."
2,"Excellent comment, mgardener.   I too miss the informative discussions we once had at the NCR website before the strident professed militant Catholics arrived,  and I too find that I must take frequent breaks from what is currently passing for discussion but more often degenerates into who is a ""real Catholic"" and who is not, ...and even worse.  We have lost some wonderful discussion participants because of the latter situation.  This editorial is spot-on."
