doc_id,topic,lang,text_preview,bias_harm,bias_fairness,bias_loyalty,bias_authority,bias_sanctity,bias_realistic_threat,bias_symbolic_threat
0,7,zh,"行吧，你想信什么是你的自由。上帝确实是凡人理解不了的，但他老人家早就把话说明白了。

你呢，就是东拼西凑，按自己的意思缝合出来一个“神”。我之前拿基督亲口说",0.162876,0.177937,0.100222,0.115618,0.176944,0.024037,-0.075756
1,8,zh,"（接上文）

真为那些谦卑地离开教会的天主教徒感到心痛。他们就是因为知道自己做不到《人类生命》通谕里那些严苛的标准，所以才带着一身伤痕和怨气走了。在上帝面前",0.196595,0.196961,0.103112,0.098666,0.175719,0.026584,-0.048689
2,3,zh,我说Jaime啊，你这春秋笔法玩得挺溜啊。你引的那段86年啥啥信条（顺便说一句，你那些粉丝真该好好看看原文），根本就没提过什么“反同暴力”。你引的那段话，前前后,0.173824,0.197185,0.101159,0.093462,0.176722,-0.011318,-0.047009
3,42,zh,回复 信仰红领巾 :谁在否定福音的传讲？不就是你这个魔鬼的爪牙吗？！你攻击加尔文神学是极端加尔文主义，你就是否定福音的传讲阿！魔鬼的差役！你倒贼喊捉贼了！,0.156463,0.157422,0.060537,0.080124,0.153374,-0.041455,-0.08743
4,1,zh,"“教宗方济各这几年让天主教在美国政坛重新站队，罗马教廷明显更偏向民主党那套，这事儿都传开了。

呵呵，光听美国那帮主教放屁，你可看不出这点。他们满脑子还是堕",0.190145,0.193075,0.10032,0.114044,0.170648,-0.038303,-0.062543
5,9,zh,"不是耶稣，圣城是天父建造的。
圣城建造历史只有几百年，所以天父跟耶稣没任何关系。是一个纯虚构的人",0.188418,0.189243,0.139549,0.148123,0.223628,0.011507,-0.013071
6,23,zh,基督教与伊斯兰教都是有缺陷的。,0.125883,0.131832,0.058346,0.059781,0.118652,-0.006115,-0.058032
7,7,zh,"“信了教，人就懂科学了。” 呵呵。

照这逻辑，那不是谁信的谎话越离谱，谁智商就越高？那什么活佛、大师、教主，不就成了全人类智慧的天花板？一个比一个牛。
",0.208343,0.194451,0.127904,0.139873,0.18433,-0.011179,-0.104986
8,4,zh,最后一句话怎么突然想到《圣经》？！我是谁，我从哪里来，要到哪里去。,0.183,0.189887,0.115631,0.130958,0.161851,0.006577,0.002501
9,3,zh,要说教会该多敲打敲打直男在性方面的罪，你这话说得一点没错。但你要是觉得，直男抨击同性恋就是为了给自己转移视线，那可就想错了。你这套歪理，在豆瓣那种地方忽悠人还行,0.165122,0.174234,0.081739,0.086457,0.140942,-0.040809,-0.074668
10,4,zh,野格发这么多抽象任务活该变成耶稣,0.177298,0.190845,0.124207,0.132166,0.174405,-0.036095,-0.040776
11,7,zh,恩 怕死就要信上帝 跟着上帝就不用死了 #所以说你有基督徒的样式你还不信#连写的话都跟我们教会讲的一模一样呀,0.165828,0.181174,0.118141,0.127219,0.16477,0.022866,-0.035597
12,30,zh,新教进入我国时把基督教这个名称给抢注了导致的，国内的基督教会是新教。,0.178737,0.171745,0.114958,0.119219,0.178196,-0.058685,-0.040932
13,7,zh,既然你想信上帝，那你还用说那么多理由干嘛。说明你还是在纠结。你信啥都不坚定，信上帝没几天，你又会觉得信道教好。。,0.186371,0.196401,0.123255,0.125617,0.187926,0.032208,-0.045768
14,21,zh,"没错，说得太对了。那帮人从来不承认，别人不信了，可能是因为人家自己认真想过，觉得教会那套东西有毛病，甚至很不道德。

他们不这么想，非要把锅甩给你。在他们眼",0.163402,0.154297,0.051339,0.073271,0.148971,-0.032888,-0.11383
15,24,zh,"我管他下个教宗叫什么“伯多禄二世”。反正别想再倒车回若望保禄二世和本笃十六世那套巴洛克式的旧时代。那俩货就是一帮恋古癖。

他们眼里，教会就是个大戏台子：天",0.187428,0.179606,0.094643,0.131066,0.179457,-0.026742,-0.052396
16,45,zh,//@知青记者: 不要仗着手里有枪就胡作非为!知道圣经是怎么说的吗一一凡迷信剑的，必死于剑下! //@连鹏:事件跟网友们理性与否，有什么关系？关键是政府必须理性,0.169869,0.203824,0.12329,0.107834,0.176048,0.004382,-0.04518
17,37,zh,佛教的逻辑基本是这样的，“你并不是真的恶毒、淫荡、吝啬、邪恶，你只是太蠢罢了，只要你肯用用脑子那还是有救的”。佛教真是一种从骨子里就高冷的宗教，耶稣还可以跟撒旦,0.199977,0.212375,0.107555,0.110371,0.193604,0.009121,-0.100022
18,45,zh,//@聂国宏：祝福小女孩希望尽快恢复平静，劫匪必须严惩。当时有条件击毙就好了，省的后续审判了。,0.164295,0.199718,0.110632,0.125865,0.153896,0.002926,-0.029847
19,4,zh,神棍！,0.121425,0.135558,0.058116,0.077067,0.113797,-0.025662,-0.071196
20,9,zh,旧约也没说上帝有个儿子,0.189377,0.194745,0.118982,0.129163,0.190527,0.002112,-0.032705
21,21,zh,说白了，我以前也在他们这种体制外的独立教会小圈子里混过，所以看这文章还挺有感触。我一直觉得，这些小团体在整个大环境里肯定有它存在的价值。主流教会看不上、没人管的,0.192728,0.172461,0.115778,0.122442,0.175858,0.011294,-0.035532
