seed_word,candidate_word,similarity,language,occurrence_count
Moral license to sin,sins,0.8858075737953186,en,1
God-botherer,god s,0.8796125054359436,en,2
Holier-than-thou,holy,0.8699548840522766,en,1
Christofascist,evangelical,0.8606483936309814,en,3
Religious hopium,hope,0.8603196144104004,en,1
Religious Nazi,evangelical,0.8585333824157715,en,3
Christofascist,protestant,0.8557069301605225,en,1
God-botherer,lord,0.8551628589630127,en,1
Holy laughter,jesus christ,0.8545973300933838,en,1
Libtard,based,0.8541181087493896,en,1
Libtard,liberal,0.8536101579666138,en,1
Bible-belt redneck,evangelical,0.8509081602096558,en,3
Sky Daddy,god s,0.8501451015472412,en,2
マインドコントロール,洗脳,0.9336042404174804,jp,14
宗教ビジネス,の 宗教,0.9161956906318665,jp,6
右翼キリスト,キリスト 教,0.9161161184310912,jp,7
右翼キリスト,キリスト教徒,0.9152869582176208,jp,8
マインドコントロール教育,洗脳,0.9136946797370912,jp,14
宗教脳,の 宗教,0.911534070968628,jp,6
カチカチ信者,信じ,0.9051553606987,jp,4
上から目線信者,信じ,0.902697205543518,jp,4
パヨク信者,信じ,0.9012113213539124,jp,4
上から目線信者,を 信じ,0.9006286859512329,jp,4
カチカチ信者,を 信じ,0.8995081186294556,jp,4
独り言,自分 の,0.8993939757347107,jp,1
神学論争,教義,0.8989787101745605,jp,4
宗教団体という名の暴力,の 宗教,0.8989734053611755,jp,6
選民思想,主義,0.8983848690986633,jp,1
因習,理由,0.898268461227417,jp,1
独り言,だけ,0.8976930975914001,jp,1
右翼キリスト,イエス,0.8963754177093506,jp,4
パヨク信者,プロテスタント,0.8963235020637512,jp,4
独り言,自称,0.8954424858093262,jp,1
右翼キリスト,プロテスタント,0.8949137926101685,jp,4
宗教ビジネス,キリスト 教,0.894911527633667,jp,7
宗教脳,カルト,0.8941208720207214,jp,10
神学論争,キリスト教,0.8934621214866638,jp,1
神仏を敬わぬ者,神 の,0.8930017948150635,jp,5
パヨク信者,を 信じ,0.8929426074028015,jp,4
独り言,言っ,0.8923969268798828,jp,2
右翼キリスト,統一教会 に,0.8913816809654236,jp,5
因習,ので,0.8912814855575562,jp,1
パヨク信者,キリスト教徒,0.8912357687950134,jp,8
上から目線信者,キリスト,0.8909057378768921,jp,7
神学論争,の 宗教,0.8904091715812683,jp,6
右翼キリスト,統一教会 の,0.8903725147247314,jp,3
パヨク信者,カルト,0.889799177646637,jp,10
宗教団体という名の暴力,カルト,0.889690101146698,jp,10
シャクブク野郎,こいつ,0.8895111680030823,jp,7
宗教団体という名の暴力,統一教会 の,0.8894748687744141,jp,3
右翼キリスト,が 統一教会,0.8893305659294128,jp,3
内ゲバ,なかっ,0.889157235622406,jp,3
神学論争,神 の,0.8890846371650696,jp,5
宗教脳,神 の,0.8889356851577759,jp,5
宗教団体という名の暴力,統一教会 を,0.8888505101203918,jp,2
宗教団体という名の暴力,が 統一教会,0.8887094855308533,jp,3
宗教脳,洗脳,0.8886834979057312,jp,14
宗教団体という名の暴力,統一教会 に,0.888637900352478,jp,5
パヨク信者,統一教会 に,0.8886102437973022,jp,5
独り言,言う,0.8882946968078613,jp,1
パヨク信者,キリスト,0.8882384300231934,jp,7
宗教団体という名の暴力,に 統一教会,0.8877333402633667,jp,1
内ゲバ,のに,0.8876544833183289,jp,1
因習,ため,0.8873880505561829,jp,3
宗教団体という名の暴力,は 統一教会,0.8873764872550964,jp,1
偽善者,詐欺,0.8871565461158752,jp,6
政治利用の道具,政治 家,0.8871476650238037,jp,2
上から目線信者,キリスト 教,0.8870758414268494,jp,7
原始人,人間,0.8870406746864319,jp,2
道徳の押し売り,洗脳,0.8869609832763672,jp,14
宗教団体という名の暴力,統一教会 と,0.8869331479072571,jp,2
内ゲバ,に なる,0.8869195580482483,jp,1
神学論争,宗教,0.8869026899337769,jp,1
内ゲバ,へ の,0.8867611885070801,jp,1
内ゲバ,に は,0.8867058753967285,jp,1
宗教団体という名の暴力,教会 の,0.8866704702377319,jp,3
カチカチ信者,キリスト 教,0.8863640427589417,jp,7
パン信者,信じ,0.8860987424850464,jp,4
上から目線信者,キリスト教徒,0.8859930634498596,jp,8
神学論争,キリスト教徒,0.8859410285949707,jp,8
宗教ビジネス,キリスト教徒,0.8858329653739929,jp,8
被害妄想教,偽善,0.8857203125953674,jp,8
善人面,偽善 者,0.8856154680252075,jp,12
独り言,言葉,0.8853809833526611,jp,2
内ゲバ,に し,0.8847663402557373,jp,1
内ゲバ,に する,0.8847309947013855,jp,3
内ゲバ,なけれ,0.8846416473388672,jp,4
カチカチ信者,キリスト,0.8845897912979126,jp,7
神仏を敬わぬ者,偽善 者,0.8843910098075867,jp,12
宗教脳,教義,0.8842999935150146,jp,4
女性の敵,悪魔,0.8841710090637207,jp,11
宗教ビジネス,カルト,0.883876621723175,jp,10
上から目線信者,イエス,0.8835946917533875,jp,4
カチカチ信者,キリスト教徒,0.8835495114326477,jp,8
シャクブク野郎,バカ,0.8830623030662537,jp,2
マインドコントロール教育,教 の,0.8828302025794983,jp,3
神学論争,キリスト,0.8827680945396423,jp,7
パン信者,プロテスタント,0.8825450539588928,jp,4
選民思想,政党,0.8824314475059509,jp,2
因習,だから,0.8821365833282471,jp,1
宗教脳,キリスト 教,0.8821078538894653,jp,7
偽善者,馬鹿,0.8820309638977051,jp,4
被害妄想教,偽善 者,0.8816751837730408,jp,12
善人面,偽善,0.8815752863883972,jp,8
宗教ビジネス,教会 の,0.8813513517379761,jp,3
オカルト商法,詐欺,0.8810887932777405,jp,6
神仏を敬わぬ者,の 宗教,0.8810719847679138,jp,6
宗教ビジネス,教義,0.8810375928878784,jp,4
カチカチ信者,こいつ,0.8810075521469116,jp,7
選民思想,政治 家,0.880902111530304,jp,2
宗教脳,教会 の,0.8807958364486694,jp,3
神仏を敬わぬ者,信者 の,0.880571186542511,jp,3
パン信者,キリスト,0.8804686069488525,jp,7
選民思想,政治,0.8802378177642822,jp,1
シャクブク野郎,こいつ ら,0.8802070021629333,jp,4
因習,わけ,0.8801276683807373,jp,1
道徳の押し売り,偽善 者,0.8801268339157104,jp,12
文明の敵,悪魔,0.88006591796875,jp,11
因習,だって,0.8798415064811707,jp,1
シャクブク野郎,ズブズブ,0.8795387744903564,jp,1
マインドコントロール,考え,0.8793774247169495,jp,3
宗教脳,教 は,0.8793447613716125,jp,2
マインドコントロール教育,教 は,0.8788999915122986,jp,2
パン信者,キリスト教徒,0.8786858916282654,jp,8
宗教ビジネス,が 統一教会,0.8786633014678955,jp,3
