cluster_id,text
0,"@Paula_White U cannot stand behind Jesus Christ name and be ok with brown children being thrown in cages, seperated by parents, have u any shame @Paula_White DO NOT USE OUR LORD AND SAVIOR JESUS CHRIST NAME."
0,@AsstynMartyn That was terrible. God gives peace their soul and encourage their family at this moment.🙏😔
0,"@CBSNews It is time to throw the glorious notorious tribe of the U.S.A., the ordained by God as uber alles, the killer of children, into the garbage bin of history with a strong flush down a toilet or in a cesspoolt!"
0,Dude. I never thought I'd meet another Christian Weeb. Be blessed my degenerate brother
0,"pastor steven you are awesome and God gifted ,and from now onwards i'll leave unnecessary burden to God thank you and be blessed its bildad from Kenya"
0,"Help us Jesus, amen!"
0,@TrumpStudents @donlemon God bless you Pastor Owens and God bless your ministry. You are a great role model.
0,@Bottom_Creek @laurenarankin You really taking your morality from a God that sent 2 bears to rip 40 kids to pieces for making fun of a bald dude?
0,"Where's the headline about Rev. Jeremey Lucas and the Christ Church Episcopal Perish helping the 1,000's of homeless? 
Good luck to the girls softball team, Christian money gots their back now. 
I'll pray for you Rev. Jeremey Lucas. May one day, God, show you the light, from where hate and violence truly originates. When that day comes, you'll truly be one step closer to reducing violence in this world."
0,Fuck these bitches have them burned and killed and jailed  Chirst Christian capitalist morman Jehovah witness Scientology meth vokda immature sex exchange interracial Bitches stealing money
0,I just threw up. We are consulting Nick Kristof on the matter of Christian Charity?
0,@Adam Craig your lord is the shekel jew god and he is actually the devil you you trumpy satanists secterians will be removed soon the hellfire waits for you guys but see what happens in this world to you epstein trumpys
0,"@DanPatrick you are a sad lying sack of shit, Fuck you and your king @GregAbbott_TX, Like fuck both you and your thoughts and prayers, Dumb bags of racist white supremecist pieces of shit."
0,"@DevinSenaUI David had a man killed so he could fuck his wife and God still said he was his fav. Eat shit, bigot."
0,"I thought you'd be in church this morning, Lord Twyfraud. Instead, you're stomping around in impotent childish anger. You need a spanking, boy; but I wouldn't consider soiling my hand. Have the day that you deserve!"
0,@Libtard Slayer Jesus says you should STFU
0,"That is such a personal journey that I don't think it could have justice done in print. 

As for Mister Brownlee; don't let your waders get too far away. Even Jesus and my hometown priest went fishin'!!!!"
0,@sleezygrills @shelbygraces Must be the wrong Bible.
0,@ViviRobichaud Need to take their noses out of each other's crotches and bury them in the Bible instead.
0,Converted Christian Anchor 😜
0,@forwardNupward nah bro get that shit outta here and stick to ur church
0,@marcorubio Fake ass Christian
0,✝ ️ dear jesus lord in heaven our savior please dear loving heavenly father and son of the one true christian god ✝ ️ please answer my prayer jesus please have the white nonsense roundup group create a gab acct dear jesus all loving savior please lead these morbidly obese retarded mudsharks to me 😇
0,YOu sir are a sick man. in Jesus name I will pray for you
0,"GBA: It's sad to see someone whose life is so empty that they spend their time on the RG's comment site trolling for fights with other posters.  I'm not going to fight with you, but I do hope you receive support from your family, your friends, or your church to find a more fulfilling way to spend your time.  Best wishes, Gary Crum"
0,<user> he fully retarded she christian 😂
0,"“I did try and f*** her, she was married,” and says that when he meets beautiful women he feels able to “grab them by the pussy”.    “I did try and f*** her, she was married,” and says that when he meets beautiful women he feels able to “grab them by the pussy”.   Our Dear Leader in his own words,    I'm glad we're both christians....lol & aloha"
0,@ricky rivas Real loving christian mentality.
0,"@PastorMarkFnd if this is real woe unto you, I feel bad for your congrets knowing there money is going towards helping a child molester, false prophet"
0,"@ BROohthor, 

Do you not even have decency to respond rather than displaying a sneaky sad sticker. Sad to see a man wearing the mantle (Brother) of Jesus Christ  hiding  (running away). 

kevin your brother 
In Christ"
0,@faithfulgadolic @thehill Fuck Jesus. Fuck the Virgin Mother. Fuck the Holy Ghost. Fuck your Bronze Age Mumbo Jumbo. You sad sack of shit.
0,"oh my god, Christians would take over. God save us all.from warm beer and kippers."
0,@Teenygozer @Luvmookie @sbg1 That's proof they're not Christians. God will never send an adulterous liar who cages children
0,"Who's this ""ours""? I think I know. It's nauseating you flaunt the Christ as your avatar.

Go away."
0,@chibaicf @tommyvaughan @ChristianPost they pray everyday and they still get killed...your god is useless
0,The Lord will open doors when they spit in your face 💁🏽‍♂️
0,I'm sure Jesus will help them out.
0,Save it for church man.......
0,I'm sure our Lord will be quite pleased to hear your mockery of His mother.
0,"I see the followers of the Cheeto Jesus are very, very cross today!  It would appear they are snowflakes melting away under the krieg lights of Hollywood.  Can we give them a hunt camp they can retire to for  a few weeks while they get over their pain?  Help a conservative snowflake!  Give him his guns, a couple of big bottles of whisky and send them up to the hunt camp!!"
0,Choir Boy looks like an incredibly important play for historians of Black religion and sexuality in particular. #TonyAwards cc: #twitterstorians
0,... true dat home of 'christians' who bugger meth addicted boys while preaching the gospel of love through war and guns ...
0,"Macabre, RCs praying before parts of a brain!  This RC fetish for praying before body parts  can only be inexplicable to outsiders. If this is evangelization, who would it attract?
(There was a devotion to the foreskin of Jesus!)
In the past, thieves made big money in stealing body parts.  Fortunately, that market is dwindling.
More we know of the brain of John Bosco, more unsettling.  He was a militant ultramontanism. 
Story to be told yet is the incredible number of Salesians who have been involved in the clerical abuse of children.  Unfortunately, having institutions of poor, marginalized little ones seems to be a magnet for pedophiles."
0,"And I thought I was going to hell for punching those orphans. They had it coming though. Thank god, now I know I'm going to heaven"
0,Amen!  God Bless!
0,@Millie__Weaver Shove your bible up ur ass
0,"Hey fakename bob..while you are busy screaming like banshee on sharia law, your hate towards islam, muslim,...your government will be implementing noahide law... if implemented, you and your tribe will be terminated ..... Muslims let his banshee Bob screams till his heart content...ignore him..."
0,"One of my all time favorite homilies on compassion came from a priest who told the story of being in check out line at a grocery store.  When the cashier asked how his day was going, the priest said his dog had just died and that he burst into tears.  The priest said the cashier opened his wallet and paid the priest's grocery bill.  He said this cashier was carrying the ""living water"" that Christ brought to all of us."
0,@ChaeWooLee1 @The_Trump_Train @AOC Another fake ass Christian piece of shit. Rape apologizing motherfucker.
0,"@longlivelooks @___DestinyRenee @xocvbox @NadiaPadgett In the same Jesus beat into your ancestors? You were born into your religion. Negro, please"
1,Christ killers are not arbiters of morality
1,"At least the Christians in the US today are less likely, from a statistical point of view, to do mass murders than the followers of the ""Religion of Peace"" in the US.

Most of our mass murderers are just crazy; they haven't been told by Imams in Syria or Iran or Libya or Yemen that we deserve to die and killing even one of us guarantees our winding up in heaven!"
1,"being Christian can get you killed as well, you seem not to hold them to the same standard."
1,"Christ never taught that it was wrong to kill in self-defense or in defense of another.  In fact, the Church teaches that ""Love toward oneself remains a fundamental principle of morality. Therefore it is legitimate to insist on respect for one's own right to life. * * *  Legitimate defense can be not only a right but a grave duty for one who is responsible for the lives of others. The defense of the common good requires that an unjust aggressor be rendered unable to cause harm. For this reason, those who legitimately hold authority also have the right to use arms to repel aggressors against the civil community entrusted to their responsibility."""
1,I called for mass murder?  I never said anything about the killing Christian religious services. Everybody's entitled to their superstitions.
1,"If a non-Christian shoots someone for political reason, they're terrorists.
If a Christian shoots someone for political reasons, they're insane."
1,"""They"" (the Islamic Republic of Iran) ""hire despicable, cowardly radical elements to do the dirty work for them..."".

Right--they armed and financed the Taliban, al-Qa'eda and the Da'esh (ISIS)...oh wait, that was your good Christian AMERICAN leaders did that, not Iran. My bad.

Double-standards are the root of all evil. It works like this:

Nidal Hassan murdered 12 soldiers--TERRORIST!
Robert Bales murdered 21 Afghani civilians in their beds, including two year-olds--PTSD victim.

John Allen Muhammad--murdered 10 people along the DC beltway--MASS MURDERER!
Dylan Storm Roof--murdered 9 people in a bible-study class--troubled youth.

Dzhokhar & Tamerlan Tsarnaev--murdered 3 people during the Boston Marathon--TERRORIST!
Alexandre Bissonnette--murdered 6 people in a mosque as they prayed--mentally ill.

No wonder Mark Twain's deceased protagonist in ""Captain Stormfield's Visit to Heaven"" found so few white folks there. Hypocrisy is the second-greatest spiritual sin."
1,"Ah... the essential question about capital punishment.  Mr. Christian, however mistaken he might be, acted in a fashion he felt was ""justified"" in his own mind.  Perhaps, to us,  that means ""evil"" perhaps it means ""mentally ill.""  We condemn him for his actions.  Are we now ""justified"" in our own minds to take the same actions against him?  ...claiming, of course, that our actions are Right and Just.  We could endlessly debate this question.  Meanwhile, IMO, we need to be sure Mr. Christian is never free again to perpetrate another crime.  Gary Crum"
1,Death to catholicism. Should be legal to shoot them.
1,"You may have missed this, but the Christian right wing, left wing or centre has not been consistently killing people in the name of their religion."
1,"Boy how you fail to justify your inhumane treatment.. An agnostic using bible verse is your excuse to abuse? Glad you're no longer in the ring, basing your treatment not on law, but your own deprave cocktail of suffering - inhumane suffering - is to repeat the offenders crime. Thankfully, you have no means of carrying out your plans as the masked crusader of vigilante
violence."
1,The moral concept of not murdering folks is merely enshrined in various religious texts. It did not originate from there. We do not need religion to convey that message.
