index,original,back_translated,path
13,>>112 の在日の統一教会自演信者はいつ自殺するの,>>112で言及されている、自称統一教会信者の在日韓国人はいつ自殺するのでしょうか？,en
9,そもそも聖書の神が悪魔。冗談抜きで それが事実だから人を苦しめた者ほど富を蓄え賞賛される世の中になった。,聖書の神は、実は悪魔だ。冗談抜きで、これは真実だ。だからこそ、他人を苦しめる者が富を蓄え、この世で称賛されるのだ。,en
1,キリスト教の崩壊聖書。。,キリスト教崩壊の聖書。,en
7,>>81 wwwwwwwwwwwwwwwwww なんで泡沫カルト団体の洗脳を受けた末端信者が、キリスト教スレでキリスト者を仕切ろうとすんの？,>>81 笑 なぜ、過激なカルトに洗脳された低レベルの信者が、キリスト教のスレッドでキリスト教徒に命令しようとしているのか？,en
11,統一教会はただの宗教団体ではなく、カルト集団だから オウム真理教と同じ 日本の古くからの宗派とは違う,統一教会は単なる宗教団体ではなく、オウム真理教のようなカルト集団であり、日本の古い宗教宗派とは異なる。,en
15,>>92 キリストがやったわけじゃないぞ ヤハウェのせい ヤハウェは普通に暴力的だぞ,>>92 キリストがやったのではない。ヤハウェのせいだ。ヤハウェは普段から暴力的だ。,en
6,現代のキリスト教では人間イエスが存在したことは実証できないという立場から 信仰が成り立っているはずなんだが もし、イエスが実在した証拠がある！という事をいう神父・牧師が居たら注意したほうが良いね カルト化してるかもしれない,現代キリスト教は、イエスという人間の存在は証明できないという前提に基づいているとされています。しかし、イエスが実在した証拠を持っていると主張する司祭や牧師に出会った場合は、注意が必要です。彼らはカルト集団の一員である可能性があります。,en
17,> すべてのキリスト教徒は最終的に「異邦人をどのように迎え入れたか」 > によって裁かれるという、カトリックの信仰を改めて強調した。 先住民を皆殺しにしたアメリカのキリスト教徒は 全員地獄行きなんじゃないでしょうか、教皇,彼は、すべてのキリスト教徒は最終的に「異邦人をどのように受け入れたか」によって裁かれるというカトリックの信仰を改めて述べた。教皇よ、先住民を虐殺したすべてのアメリカ人キリスト教徒は地獄に落ちるべきではないのか？,en
0,"校門前での聖書配布にクレーム？ | もーちゃんの部屋 << なおも続くネグレクト親娘に治療法は？ | main | ビンボー万歳！ >> at 13:15, もーちゃん, 希望の光 at 13:15, スポンサードリンク, - url:http://shalomochan.jugem.jp/trackback/1599",学校の門前での聖書配布に苦情？ | もーちゃんの部屋 << 育児放棄の母娘への対処法は？ | メイン | 貧困万歳！ >> 13:15、もーちゃん、希望の光 13:15、スポンサーリンク、 - url:http://shalomochan.jugem.jp/trackback/1599,en
4,聖書のイエスのエピソード 結局は全てが 理解できない奴に何かを教える それはスゲー手間だという そんな話だよね まあ奇跡だけは普通では無い それは物理的だから理解できるみたいな 精神的な理解度は正直いって無いよな 俺は理解できるし選ばれているから良かった,聖書に記されたイエスの物語は、結局のところ、理解できない人に何かを教えるのは非常に難しいということに尽きる。奇跡は確かに並外れた出来事であり、物理的なものなので理解できるが、正直なところ、そこから真の霊的な理解を得ることはできない。私は幸運にも奇跡を理解できるし、そのために選ばれたのだ。,en
8,子供の育児放棄を屁とも思わない山神母親はまさに母親の姿をしたキラーマシーンに映ったことだろう 統一教会と萩生田隆一を地獄に送ることができるのは我々しかいない！！ 高市を地獄へ！萩生田小泉竹中を叩き潰せ！！,自分の子供を顧みないことを何とも思わない母親、山上さんは、私には母親の姿をした殺人マシーンのように見えたに違いない。統一教会と萩生田隆一を地獄に送れるのは私たちだけだ！高一を地獄に送れ！萩生田、小泉、竹中を粉砕せよ！,en
2,>>18 どうでも良いけどね キリスト者の目的は邪悪なる悪霊の栖雲居士を 撃ち破る事ではありません。又それで神の栄光 が現れるわけでもありません。 何を言っているんですか、スレ乱立の責任を取っ てね,>>18 私は特に気にしませんが、キリスト教徒の目的は悪霊セイウン・コージを倒すことではありません。また、そうすることで神の栄光が明らかにされることもありません。何を言っているのですか？こんなにたくさんのスレッドを作った責任を取ってください。,en
10,表向きは普通の聖人だが、キリスト教会にはそういう裏がある。,彼は表面的にはごく普通の聖人のように見えるかもしれないが、キリスト教会にはそういう暗い側面があるのだ。,en
18,イエスの存在証明はイエスを救世主として信じる人間にとってのみ意味がある しかし、クリスチャンの世界では（異端は除く）証明できないとされている 従って「イエスは居なかった」 それ以上、非クリスチャンが語ることなど微塵も残されていない こんな簡単なこともわからない人が何を「論」じることが出来るの？ 出来ないよね,イエスの存在の証明は、彼をメシアとして信じる者にとってのみ意味を持つ。しかし、キリスト教世界（異端を除く）では、彼の存在を証明することは不可能だと考えられている。したがって、「イエスは存在しなかった」。非キリスト教徒がこれ以上言うことは何もない。これほど単純なことを理解できない人が、一体何を「議論」できるというのだろうか？できないはずだ。,en
