topic,en,jp,zh,entropy
0,0.004008016032064128,0.9879759519038076,0.008016032064128256,0.07276141717707844
1,0.6282051282051282,0.21794871794871795,0.15384615384615385,0.9120588106148176
2,0.4230769230769231,0.20192307692307693,0.375,1.054792636798569
3,0.3422818791946309,0.2953020134228188,0.3624161073825503,1.095002751074218
4,0.07692307692307693,0.13986013986013987,0.7832167832167832,0.6638001053863933
5,0.6811594202898551,0.11594202898550725,0.2028985507246377,0.8349866172287801
6,0.4098360655737705,0.27049180327868855,0.319672131147541,1.0838177332672125
7,0.3865546218487395,0.3025210084033613,0.31092436974789917,1.092332326802667
8,0.46153846153846156,0.3247863247863248,0.21367521367521367,1.0518721552611878
9,0.1262135922330097,0.17475728155339806,0.6990291262135923,0.8163698245569471
10,0.1935483870967742,0.3118279569892473,0.4946236559139785,1.029419117344255
11,0.48148148148148145,0.30864197530864196,0.20987654320987653,1.0424068501080326
12,0.4625,0.175,0.3625,1.0294973290231606
13,0.5066666666666667,0.26666666666666666,0.22666666666666666,1.0333874950078017
14,0.2878787878787879,0.4393939393939394,0.2727272727272727,1.0741606311794394
15,0.36923076923076925,0.5538461538461539,0.07692307692307693,0.8924309118196193
16,0.9180327868852459,0.04918032786885246,0.03278688524590164,0.33871278370949853
17,0.2,0.5333333333333333,0.26666666666666666,1.009613758174038
18,0.5689655172413793,0.25862068965517243,0.1724137931034483,0.9736955368418081
19,0.5087719298245614,0.15789473684210525,0.3333333333333333,1.0014558139784784
20,0.0851063829787234,0.0,0.9148936170212766,0.2910671247036172
21,0.28888888888888886,0.17777777777777778,0.5333333333333333,1.001036580686112
22,0.06666666666666667,0.3111111111111111,0.6222222222222222,0.8390099172031273
23,0.0,0.9761904761904762,0.023809523809523808,0.11251593411963928
24,0.42857142857142855,0.2857142857142857,0.2857142857142857,1.0789922078775833
25,0.47619047619047616,0.42857142857142855,0.09523809523809523,0.9403716526240742
26,0.05263157894736842,0.0,0.9473684210526315,0.20619205063323187
27,0.6944444444444444,0.05555555555555555,0.25,0.76037418348803
28,0.11428571428571428,0.45714285714285713,0.42857142857142855,0.9688523467222934
29,0.34375,0.21875,0.4375,1.0612039759627612
30,0.1,0.0,0.9,0.3250829733914482
31,0.0,0.9666666666666667,0.03333333333333333,0.1461447460085638
32,0.896551724137931,0.034482758620689655,0.06896551724137931,0.3984405075837697
33,0.41379310344827586,0.3103448275862069,0.27586206896551724,1.0835222669892097
34,0.13793103448275862,0.3793103448275862,0.4827586206896552,0.9925086555080169
35,0.3793103448275862,0.1724137931034483,0.4482758620689655,1.030455167574317
36,0.32,0.32,0.36,1.097032390352067
37,0.04,0.12,0.84,0.5296435025403523
38,0.08,0.2,0.72,0.7604688022513465
39,0.2916666666666667,0.08333333333333333,0.625,0.8602030628046025
40,0.08695652173913043,0.30434782608695654,0.6086956521739131,0.8766043020543364
41,0.6363636363636364,0.36363636363636365,0.0,0.6554817739013927
42,0.045454545454545456,0.4090909090909091,0.5454545454545454,0.8367742263818623
43,0.045454545454545456,0.0,0.9545454545454546,0.18490739916777568
44,0.0,0.19047619047619047,0.8095238095238095,0.48691270946460224
45,0.25,0.0,0.75,0.5623351446188083
46,0.65,0.1,0.25,0.8568409950394724
