annotation_id,annotator,average_prob,christianity_related,created_at,hate_speech,id,lead_time,model_votes,sampling_strategy_tag,text,updated_at,augment_method,group_id
880,1,0.7714564204216003,1,2026-02-03T00:17:52.593504Z,1,16696,6.641,1/2,uncertain_or_low_confidence,//@如鹰展翼而上:回复@陈老坎:找到了。中新网采访叶凯，叶凯（应该是@老虎不吃��）这么说。 http://t.cn/zjiVDYr //@如鹰展翼而上：诺贝尔文学奖获得者@莫言的母亲是基督徒的文献参考来源在哪里？,2026-02-03T00:17:52.593521Z,GT_en,9
880,1,0.7714564204216003,1,2026-02-03T00:17:52.593504Z,1,16696,6.641,1/2,uncertain_or_low_confidence,//@如鹰展翼而上:回复@陈老坎:找到、了。中新网·采访叶凯！，叶凯（应该是@老虎不吃��）这么说。。 h、ttp:……//t·.cn/zjiVDYr //@如鹰展翼而上：诺贝尔文学奖获得者@莫言的母，亲是基督徒的文献参……。；考来源在哪里？,2026-02-03T00:17:52.593521Z,GT_en_AEDA,9
4072,1,0.7850188612937927,1,2026-02-18T04:35:51.473360Z,1,17880,2.71,1/2,uncertain_or_low_confidence,假基督们正在制造声势。,2026-02-18T04:35:51.473379Z,GT_en,14
4072,1,0.7850188612937927,1,2026-02-18T04:35:51.473360Z,1,17880,2.71,1/2,uncertain_or_low_confidence,假基督们正在制造！声势。,2026-02-18T04:35:51.473379Z,GT_en_AEDA,14
7791,1,0.7710442940394083,1,2026-03-23T10:52:25.846281Z,1,16174,3.388,1/2,uncertain_or_low_confidence,新一代的十字军战士？,2026-03-23T10:52:30.705926Z,GT_en,15
7791,1,0.7710442940394083,1,2026-03-23T10:52:25.846281Z,1,16174,3.388,1/2,uncertain_or_low_confidence,新一代的十字军战士……？,2026-03-23T10:52:30.705926Z,GT_en_AEDA,15
6218,1,0.8075924118359884,1,2026-03-14T10:57:59.818893Z,1,19025,6.834,3/0,consistent_hate_high_conf,圣人会牺牲自己去拯救他人，而不会损害他人的利益；伪君子也会牺牲自己去拯救他人，但会操纵其他人来提升自己的名声，或者更糟，直接牺牲他人来达到自己的目的。,2026-03-14T10:57:59.818912Z,GT_en,8
6218,1,0.8075924118359884,1,2026-03-14T10:57:59.818893Z,1,19025,6.834,3/0,consistent_hate_high_conf,圣人会牺牲自己去拯救他人，而不。会损害他人的……利？益；伪君子也会？牺牲自己；去拯救他人，但会操纵其他？人来提升自己的名声，或者更糟，直接牺牲他人来达到自；……己的、目的。,2026-03-14T10:57:59.818912Z,GT_en_AEDA,8
6959,1,0.8970974286397299,1,2026-03-19T11:41:50.275617Z,1,19057,4.562,3/0,consistent_hate_high_conf,@BaoBaoDogHeadTwoFriends 你这叛徒不敢来这里送死，在那个破论坛里喊到嗓子都哑了又有什么用？能掩盖你的叛徒本性吗？基督徒狗！,2026-03-19T11:41:55.612689Z,GT_en,3
6959,1,0.8970974286397299,1,2026-03-19T11:41:50.275617Z,1,19057,4.562,3/0,consistent_hate_high_conf,@B，aoBaoDogHeadTwoFriends ，你这！叛徒不敢来这里送；死，在那个破论坛里喊到嗓？子。都哑了又有什么用？能掩盖你的。·叛徒本性吗？基督徒狗！,2026-03-19T11:41:55.612689Z,GT_en_AEDA,3
595,1,0.8533210754394531,1,2026-02-02T12:35:57.046714Z,1,16922,6.418,1/2,uncertain_or_low_confidence,哈哈，所有正统宗教的教义都有一个共同点！你没注意到吗？哈哈哈！最终都还是回到了你我身上！道教、佛教、耶稣、真主！哈哈哈！,2026-02-02T12:35:57.046740Z,GT_en,19
595,1,0.8533210754394531,1,2026-02-02T12:35:57.046714Z,1,16922,6.418,1/2,uncertain_or_low_confidence,哈哈，所有正统宗教的教义都有一个共？同点！你？没注意到吗？哈哈哈！最终都还，是回到·了你我身上！道教、佛教、耶，稣、真主！哈哈哈！！,2026-02-02T12:35:57.046740Z,GT_en_AEDA,19
691,1,0.6552690863609314,1,2026-02-02T12:49:17.293533Z,1,16908,2.584,2/1,uncertain_or_low_confidence,换句话说，向非基督徒汇报——《哥林多前书》的教导难道还不够清楚吗？“你们放纵自己的私欲，随心所欲地满足自己。”,2026-02-02T12:49:17.293551Z,GT_en,11
691,1,0.6552690863609314,1,2026-02-02T12:49:17.293533Z,1,16908,2.584,2/1,uncertain_or_low_confidence,换句话说，？向非基；督徒汇报—。—《哥林多前书》的教导难……道还不够清楚吗？“你们放纵自己的私欲，随心所欲地，满足自·己。”,2026-02-02T12:49:17.293551Z,GT_en_AEDA,11
2129,1,0.8629909157752991,1,2026-02-13T04:11:18.336936Z,1,16740,5.573,2/1,uncertain_or_low_confidence,你所看到的不是圣经；而是不懂圣经的人写的一堆乱七八糟的东西。,2026-02-13T04:11:18.336952Z,GT_en,7
2129,1,0.8629909157752991,1,2026-02-13T04:11:18.336936Z,1,16740,5.573,2/1,uncertain_or_low_confidence,你所看到的不是、圣、经；而是不、！懂圣经的人写的一堆乱七八糟的东西。,2026-02-13T04:11:18.336952Z,GT_en_AEDA,7
635,1,0.7325919270515442,1,2026-02-02T12:41:34.820190Z,1,16813,2.18,2/1,uncertain_or_low_confidence,美国基督徒已经突破了所有防线，但最大的赢家仍在继续获胜。,2026-02-02T12:41:34.820209Z,GT_en,10
635,1,0.7325919270515442,1,2026-02-02T12:41:34.820190Z,1,16813,2.18,2/1,uncertain_or_low_confidence,美国基督徒已经突破了所有防·，线，但最大的赢家仍在继续获；胜。,2026-02-02T12:41:34.820209Z,GT_en_AEDA,10
4450,1,0.7323201497395834,1,2026-02-18T12:29:58.018772Z,1,17732,11.565,2/1,uncertain_or_low_confidence,讽刺的是，如今愿意帮助民众的天主教会，曾经却是剥削民众最无情的教会；而当初为反对天主教过度世俗化和腐败而创立的新教教会，如今却落得与当年天主教同样的下场。历史的确是螺旋式上升的。,2026-03-27T13:48:36.624809Z,GT_en,5
4450,1,0.7323201497395834,1,2026-02-18T12:29:58.018772Z,1,17732,11.565,2/1,uncertain_or_low_confidence,讽刺的是，如今愿意、帮助民众的天主教会，曾经却是剥削民众最无情的教会；而当初为反对；天主教过度世俗化和腐败而创立的新教；！！教会，如今却落得与当、年天主教同样的下场。历史的确是螺旋。式上；升的。……,2026-03-27T13:48:36.624809Z,GT_en_AEDA,5
6988,1,0.7834912339846293,1,2026-03-19T12:02:24.465762Z,1,18801,4.701,1/2,uncertain_or_low_confidence,我昨天刚从人那里听说，他退位是因为一些不可告人的秘密，一旦曝光，将会震惊整个天主教世界。所以他别无选择，只能退位。考虑到这是梵蒂冈600年历史上的第一次，你可以想象这背后的事件有多么重大……,2026-03-19T12:02:24.465788Z,GT_en,2
6988,1,0.7834912339846293,1,2026-03-19T12:02:24.465762Z,1,18801,4.701,1/2,uncertain_or_low_confidence,我昨天刚从！人那？里听说，他、退位是因为一。……些不，可告人的秘密，一、旦曝光，将·会震惊整个天主教世界。所以他别无选择，只！能退位。考虑；到这是梵蒂冈600年历史！上的。第一次，你可以想象这背、后的事件有多么重大……,2026-03-19T12:02:24.465788Z,GT_en_AEDA,2
5655,1,0.9570607940355936,1,2026-02-28T05:36:23.100561Z,1,18876,5.013,2/1,uncertain_or_low_confidence,我好像以前在兰迪的书里看到过这个名字；显然，它导致了许多被洗脑的追随者丧命。,2026-02-28T05:36:23.100582Z,GT_en,6
5655,1,0.9570607940355936,1,2026-02-28T05:36:23.100561Z,1,18876,5.013,2/1,uncertain_or_low_confidence,我好像以前·在兰迪；的书里看到过这个名字；显然，它导致了许多、被洗脑的追随者丧；命。,2026-02-28T05:36:23.100582Z,GT_en_AEDA,6
2377,1,0.8259925246238708,1,2026-02-13T10:10:19.031880Z,1,19054,19.71,3/0,consistent_hate_high_conf,回复 Faith Red Scarf：你这个阿民念主义异端，别像条狗一样跟阿民念主义异端打架！什么？你不是在攻击加尔文主义神学吗？你不是在胡说八道什么上帝预见了亚当的堕落，所以才在堕落之后拣选他吗？！滚开！,2026-02-13T10:10:19.031899Z,GT_en,1
2377,1,0.8259925246238708,1,2026-02-13T10:10:19.031880Z,1,19054,19.71,3/0,consistent_hate_high_conf,回复 Faith Re，d。 Scarf？：你这个阿民念·主义异端，别像条狗一样跟阿、民；念主义异端打架！什么？你不是在攻击。加尔。文主义神学吗？你不是在胡说八……道什么上帝预见了·亚当的堕落，所以才在堕？落之后拣选；他吗？！滚开！,2026-02-13T10:10:19.031899Z,GT_en_AEDA,1
2446,1,0.6975089311599731,1,2026-02-13T10:27:55.217345Z,1,18027,3.482,1/2,uncertain_or_low_confidence,耶稣用什么来与孔子作比较呢？仅仅是耶稣自己做出的那些空洞的承诺吗？,2026-02-13T10:27:55.217365Z,GT_en,18
2446,1,0.6975089311599731,1,2026-02-13T10:27:55.217345Z,1,18027,3.482,1/2,uncertain_or_low_confidence,耶；稣用什么来与孔子作比较呢？仅？仅是耶稣自己做出的那些空洞的承诺吗；？,2026-02-13T10:27:55.217365Z,GT_en_AEDA,18
3590,1,0.7371594309806824,1,2026-02-15T14:01:11.586529Z,1,18457,1987.292,1/2,uncertain_or_low_confidence,@上海居民李：文明是物质的、存在的，建立在欲望之上；文化是精神的、存在的，建立在思想之上。中世纪的黑暗和文化大革命的野蛮不仅剥夺了人们欲望的合法性和生存的权利，而且囚禁了自由，摧毁了思想，践踏了文化。在日常生活中，我们需要的是生存的权利；而对于诗意的存在，我们需要人文创造的自由，包括思想、信仰、言论、写作和出版的自由。,2026-02-15T14:01:11.586544Z,GT_en,13
3590,1,0.7371594309806824,1,2026-02-15T14:01:11.586529Z,1,18457,1987.292,1/2,uncertain_or_low_confidence,@上海居民李：文明是物质的。、存在的，建立在欲望之上；·文化是精神的、存在的，建、？！立在……思想之上。中！世纪的黑。暗和文化大革命的野蛮不仅剥夺了人们欲望的合，法性和生存的权利…………，而且囚禁……？了自由，摧毁了思想，践踏了文化。在日常生活中；，我们需要。的是生存的权利；而对于诗意的存在，我们需要人文创造、的自由，包括思·，想、、信仰、！言论、写作和出，……版的自由。,2026-02-15T14:01:11.586544Z,GT_en_AEDA,13
6139,1,0.7459583878517151,1,2026-03-14T10:31:25.787619Z,1,18557,3.138,2/1,uncertain_or_low_confidence,你吓到我了，我接受了。你会下基督教地狱的。你还会出来吗？,2026-03-14T10:31:25.787639Z,GT_en,12
6139,1,0.7459583878517151,1,2026-03-14T10:31:25.787619Z,1,18557,3.138,2/1,uncertain_or_low_confidence,你吓到我了！，；我接受了、。你会下基督教地狱的。你还会出来吗？,2026-03-14T10:31:25.787639Z,GT_en_AEDA,12
5488,1,0.8612782756487528,1,2026-02-26T14:24:42.253679Z,1,19076,37.087,3/0,consistent_hate_high_conf,这些信奉基督教的狗，第一次被欺负就必须被消灭。,2026-02-26T14:24:42.253710Z,GT_en,17
5488,1,0.8612782756487528,1,2026-02-26T14:24:42.253679Z,1,19076,37.087,3/0,consistent_hate_high_conf,这些信奉基督教的狗，第一……次被欺负，就必须被消灭。,2026-02-26T14:24:42.253710Z,GT_en_AEDA,17
7052,1,0.8125957647959391,1,2026-03-19T12:08:34.491697Z,1,16151,2.271,2/1,uncertain_or_low_confidence,上帝看到这种情况没有降下火来，这只能证明上帝不存在。,2026-03-19T12:08:34.491714Z,GT_en,4
7052,1,0.8125957647959391,1,2026-03-19T12:08:34.491697Z,1,16151,2.271,2/1,uncertain_or_low_confidence,上帝看到这种情况没？有降下火来，这只能证。明上帝，不存在。,2026-03-19T12:08:34.491714Z,GT_en_AEDA,4
534,1,0.8918763597806295,1,2026-02-02T12:19:07.858536Z,1,19060,5.656,3/0,consistent_hate_high_conf,你提到的那些小恶魔用“0T”这个名字散播负能量、挑拨离间，这难道不奇怪吗？举个例子，如果你是佛教徒，有人一直跟你说你必须信耶稣才能获得永生，说佛教没用，说佛教徒都是傻瓜，我想知道你会怎么想。你会觉得传教的人是傻瓜，进而觉得耶稣也是傻瓜吗？,2026-02-02T12:19:07.858552Z,GT_en,16
534,1,0.8918763597806295,1,2026-02-02T12:19:07.858536Z,1,19060,5.656,3/0,consistent_hate_high_conf,你提到的那些小恶魔用“0T”这个。名字散播负能量、挑拨离间，这难道不奇怪吗？举个例子，如果你是佛教徒，有人……一直、跟你说你，？必；须信耶稣才能……获得永生，；说佛教没用·，，说佛教徒都是，傻瓜，？！我想知道你会怎么！想。你会觉得传教的人是傻瓜，进而觉得，耶稣也是傻瓜吗。？,2026-02-02T12:19:07.858552Z,GT_en_AEDA,16
7791,1,0.7710442940394083,1,2026-03-23T10:52:25.846281Z,1,16174,3.388,1/2,uncertain_or_low_confidence,新一代十字军战士是什么？,2026-03-23T10:52:30.705926Z,GT_ko,15
7791,1,0.7710442940394083,1,2026-03-23T10:52:25.846281Z,1,16174,3.388,1/2,uncertain_or_low_confidence,新。一代十字军战士是什么？,2026-03-23T10:52:30.705926Z,GT_ko_AEDA,15
4072,1,0.7850188612937927,1,2026-02-18T04:35:51.473360Z,1,17880,2.71,1/2,uncertain_or_low_confidence,假基督势力正在壮大。,2026-02-18T04:35:51.473379Z,GT_ko,14
4072,1,0.7850188612937927,1,2026-02-18T04:35:51.473360Z,1,17880,2.71,1/2,uncertain_or_low_confidence,假基督势力正在壮大。……,2026-02-18T04:35:51.473379Z,GT_ko_AEDA,14
691,1,0.6552690863609314,1,2026-02-02T12:49:17.293533Z,1,16908,2.584,2/1,uncertain_or_low_confidence,换句话说，这是传达给非基督徒的信息，而《哥林多前书》中难道还不够清楚吗？“你们随心所欲，满足自己的私欲。”,2026-02-02T12:49:17.293551Z,GT_ko,11
691,1,0.6552690863609314,1,2026-02-02T12:49:17.293533Z,1,16908,2.584,2/1,uncertain_or_low_confidence,换句话说，这是传；达给非基！督徒的信息，而《哥林多前书》中难，道还不够清楚吗？“你们随心所。欲，满足自己，的私欲。”,2026-02-02T12:49:17.293551Z,GT_ko_AEDA,11
6218,1,0.8075924118359884,1,2026-03-14T10:57:59.818893Z,1,19025,6.834,3/0,consistent_hate_high_conf,圣人通过牺牲自己来拯救他人，而不会损害他人的利益；而伪君子虽然牺牲自己来拯救他人，却操纵他人来提升自己的名声，甚至不惜直接牺牲他人来实现自己的目标。,2026-03-14T10:57:59.818912Z,GT_ko,8
6218,1,0.8075924118359884,1,2026-03-14T10:57:59.818893Z,1,19025,6.834,3/0,consistent_hate_high_conf,圣人通过牺牲自己！来拯救他人，，而不会损害他人的利益；·而伪君子·虽然牺牲自己来拯救他人，却操。纵他人来提升自己的名声、，甚至！不惜直接牺牲他人来实现！自己的目·标。,2026-03-14T10:57:59.818912Z,GT_ko_AEDA,8
2446,1,0.6975089311599731,1,2026-02-13T10:27:55.217345Z,1,18027,3.482,1/2,uncertain_or_low_confidence,耶稣以何为依据将自己与孔子相提并论？难道这些都只是空洞的承诺吗？,2026-02-13T10:27:55.217365Z,GT_ko,18
2446,1,0.6975089311599731,1,2026-02-13T10:27:55.217345Z,1,18027,3.482,1/2,uncertain_or_low_confidence,耶稣以何；为依据将自己与孔子相提并？论？难。道这些都只、是空洞的承诺吗？,2026-02-13T10:27:55.217365Z,GT_ko_AEDA,18
