Topic,Count,Name,Representation,Representative_Docs
-1,1577,-1_catholic_教_love_カトリック,"['catholic', '教', 'love', 'カトリック', 'catholics', 'years', 'christ', 'religious', 'キリスト教', 'life']","['it\'s pretty easy for anyone to say they believe in the teachings of jesus christ. but what is that worth? it\'s living and practicing those teachings that really mean something. \nactions ""speak"" louder than words. this country and world would be a far different place if, on a daily basis, we actually put as much time and energy into living in the manner that christ lived as we do in talking and preaching about our belief in him.\nwas christ a christian? silly question. it\'s just another word we use to describe something or someone. from what i\'ve read about jesus christ, i think he could care less what you called yourself or someone else. what was important to him (and should be to us) was how we actually live our life.', ""i didn't pass the test for civility so the rest of my comment did not fly. i was saying that the hypocrisy behind catholic anti-abortion rhetoric is a moral failing for many catholics. i am pro-life, but have a broader understanding of what that means than to limit it to a fetus. \n          catholic votes got george bush elected and he decimated iraqui civilians waging an illegitimate was based upon fudged data, or lies, to be more correct. trump got elected with the help of the catholic vote because of his anti-abortion stance, and we can see where that got us. if there is a moral crisis, it is partly due to the behavior of catholics in america. \n         i won't let catholics off the hook-the bishops may be late for the bus, but many catholics never knew when the bus arrived. they are out to lunch, serving a bogus conception of redemption based upon obedience to moral law that has nothing to do with grace, salvation, compassion, or, in fact, christianity."", 'you may, as is your wont, throw up a straw man (a non-zero impact is not saying ""more harmful,"" for example).  for my part, i\'m merely focusing on inconsistencies in a group\'s arguments as a scientist, not as a political hack nor a parental-love-starved millennial-seeking-meaning-for-her-life.  i\'m also unsure why you see me as a ""traditional catholic"".  i\'ve certainly never self-identified as such.  i\'m simply ""catholic.""  is the ""progressive catholic\'s"" view much different, provided he does the hard work of thinking about the issue?']"
0,379,0_統一教会_日本_統一_三,"['統一教会', '日本', '統一', '三', '信者', '韓国', '日本人', '関係', '団体', '母親']","['・ サヨクガー   ソ連 を 捨て た ロシア が 憎く て 左翼 は 戦争 前 から 反 ロシア です   意味 不明 に 左翼 連呼 は 統一教会 信者 の 可能 性 有り   ・ キョウサンシュギガーレッドチームガー   そもそも ロシア は 共産 主義 で は あり ませ ん ロシア 正教 中心 の キリスト教 国 です   ロシア と 意味 不明 に 共産 主義 を 繋げる の は 統一教会 信者 の 可能 性 有り   あと ロシア と 中国 って たいして 仲良く ない ん だ よ ね   ・ 9 条 ガー   護憲 派 ガー   9 条 は 防衛 と 何 の 関係 も ない 9 条 は 核 武装 すら 禁止 し て ない   海外 派兵 する か どう か で しか ない から 一緒 に 語る の は 統一教会 信者 の 可能 性 有り   ・ それ 誰 が 言っ てる の ？ と 分け 分から ん 極 解 で 印象 操作   反 ワクガー 共産 主義 ガー 意味 不明 に 繋げる の は 統一教会 信者 の 可能 性 有り   ・ 反論 不能 に なっ て も 同じ 質問 を 繰り返す 知的 障害 起こし 荒らし だす   ・ やたら と 精神 的 勝利 や マウント 取り た がる   これ は カルト 信者 の 特徴 な ので 統一教会 信者 の 可能 性 有り   ・ 統一 協会 は 神 の 為 なら 嘘 を つい て いい と 教え られる   ・ 統一教会 は 統一 協会 だ と 隠し て 潜り込ん で くる   ・ 統一教会 は 海外 で は 反日 、 国内 で は 反共 という よう な 二枚舌 を 使う   ・ 統一教会 は 都合 用 良く 敵対 者 に 「 統一教会 信者 」 という デマ を 流す   ・ 統一教会 は 組織 ぐるみ で 悪質 な 嫌がらせ 糾弾 しよ う と し ます   ・ 文 鮮明 や 韓 鶴子 の 教え は 保守 で は なく 左翼 に 近い', '自民党 が 日本 の 統一教会 の 根幹 だ から な', '>> 587   横 から だ が 、 統一教会 は オマエ だろ 、 タコ']"
1,102,1_kill_问_無い_禁果,"['kill', '问', '無い', '禁果', '十字架', '死', '亚当', 'クズ', '聖職', 'お前']","['おや おや 、 また 性懲り も 無く 新 スレ か w   では 、 143 スレ に も タイム スタンプ がわり の 呪文 を 貼っ て やる 。   ＜ ！ −− 呪文 ここ から −− ＞   「 バチカン に ヒトラー の 所業 を 黙認 さ せ 、 イスラエル と パレスチナ の 殺し合い を 徹底 放置 する 、 “ יהוה   ” (＝ yhwh ) もしくは “ الله ”(＝ アラー ) とかいう 自称 「 唯一 絶対 に し て 全能 なる 神 」 () の 思召 し ( マッチ ポンプ )。   ほんと 、 yhwh (＝ アラー ) と やら は チンカス の ごとき 腐臭 を 放つ 性根 の 持ち主 だ わ 。   ちん かす yhwh (＝ アラー ) 早 よ 滅べ 。   ちん かす yhwh (＝ アラー ) の 手下 ども も 早 よ 滅べ 。   自称 唯一 神 (“ יהוה   ” (＝ yhwh ) もしくは “ الله ”(＝ アラー )) は 史上 最悪 の ウイルスミーム 。   その 悪質 さ は 狂犬病 ウイルス 以上 。   狂犬病 ウイルス が 宿主 を 操っ て 感染 拡大 する の と 同様 に 、 自称 唯一 神 (“ יהוה   ” もしくは “ الله ”) という ウイルスミーム は 信者 の 脳 を 操っ て 感染 拡大 する 。   全て は “ יהוה   ” (＝ yhwh ) もしくは “ الله ”(＝ アラー ) とかいう 自称 「 唯一 絶対 に し て 全能 なる 神 」 () の マッチ ポンプ 。   ユダ 公 ども は “ יהוה   ” という 名 の ウイルスミーム に 脳 を 侵さ れ た ゾンビ の 群れ 。   キリスト教徒 ども も また yhwh という 名 の ウイルスミーム に 脳 を 侵さ れ た ゾンビ の 群れ (＝ 特に アフリカ や 南北 アメリカ の 先住民 を 虐殺 ・ 奴隷 化 し た 連中 )。   イスラム教 拡大 に 加担 する 奴ら は “ الله ” という 名 の ウイルスミーム に 脳 を 侵さ れ た ゾンビ の 群れ 」   ＜ ！ −− 呪文 ここ まで −− ＞', 'https :// rio 2016 . 5 ch .... i / psy / 1750606315 / 819   「 怒り の 子 」 と その 配下 の 者 たち ＝ 他 罰 的 過ぎる 。 「 晒し 」 など の 犯罪 行為 。   「 ラピス 」 ら による 異常 な スレ 乱立 。   和紙 （ 鷲 ） 、 琴 （ サラ ブルー ） 、 美麗 （ milet ） 、 まち こ 、 及び その 配下 の 者 たち   による 酷 過ぎる 「 裁き 」 行為 。   この 「 裁き 屋 」 たち が キリスト スレ に 屯 し て いる 。   以上 、 特に 目立つ 「 要注意 人物 」 たち で ある 。   今後 とも 、 「 報 連 相 」 を 大切 に 。   徹底 警備 を 頼む 。   〜 〜 〜 〜 〜 〜 〜 〜 〜 〜 〜 〜 〜   ルカ の 福音 書 ６ 章 ４ ３ 節 〜 ４ ５ 節   悪い 実 を 結ぶ 良い 木 は ない し 、 良い 実 を 結ぶ 悪い 木 も あり ませ ん 。   木 は どれ でも 、 その 実 によって わかる もの です 。   いばら から いちじく は 取れ ず 、 野ばら から ぶどう を 集める こと は でき ませ ん 。   良い 人 は 、 その 心 の 良い 倉 から 良い 物 を 出し 、 悪い 人 は 、 悪い 倉 から 悪い 物 を 出し ます 。   なぜなら 人 の 口 は 、 心 に 満ち て いる もの を 話す から です 。', 'onward christian soldiers marching as to war, (kill!! kill! kill!!) with the cross of jesus going on before, (kill!! kill! kill!!), christ the royal master, (kill! kill! kill!) leads against the foe, (kill! kill! kill!), forward into battle, (kill! kill! kill!)\n\nonward then ye people, join our happy throng, (kill!! kill! kill!!), blend with us your voices, in our trumpsters song, (kill!! kill! kill!!).']"
2,97,2_孔子_神棍_手上_洪秀全,"['孔子', '神棍', '手上', '洪秀全', '两个', '実在', '背后', '主耶稣', '厉害', '爹']","['耶稣 还 不如 台湾 的 大黑 佛母 厉害 ， 怎么 敢 和 孔子 相提并论 的 😯', '世人 皆知 ， 耶稣 手上 有 两个 孔子 ， 但 却 忽视 了 其 背后 还有 个 庄子', '因为 耶稣 手上 有 两个 孔子']"
3,80,3_trump_white_america_evangelical,"['trump', 'white', 'america', 'evangelical', 'clinton', 'donald', 'gop', 'conservative', 'oil', 'republican']","['i don\'t think so - as i said, i was most comfortable with kasich, but voted for cruz given that i wanted to send a message to the party.  trump will cross my line at some point i am sure, but i personally would prefer pence to him any day, but the fact trump chose pence, gives me hope that he may one day change. you seem like a rational person,  albert mohler has a series called ""the briefing"" i listen to daily and did through the entire election cycle - he gave trump no quarter and openly said he did not see how any evangelical could vote for trump (which i did not),\n\n i am  however going to honor the office and authority until i cannot any longer, when is that don\'t know but i am going to cut him some slack, he may learn something about shooting his mouth off. who knows - he has already defied all logic in just winning. if you listened to some of mohlers archives i believe you would gain some more insight and take comfort in knowing there are some rational christians in this country.', 'forget the other candidates.   what about mike pence?    this is a guy who came out of nowhere, and (should trump win) will be a heartbeat away from the presidency.    should trump lose, pence has leapfrogged to the top of the contenders list for 2020.     the term ""christian taliban"" could be fairly applied to pence - he has extreme social conservative views.\n\npeople used to joke that trump was a democratic plant to blow up the gop.     but it\'s becoming more likely that trump was a tea party plant to make everybody else in the gop (including tea partier\'s like cruz and pence) look ""moderate"" by comparison.', ""the christians who have cast their lot with donald trump have made a faustian bargain with the devil, and it will surely come back to haunt them. trump is a christian in name only, and the christians who lavished him with their votes and continue to lavish him with their support would realize this if only they would open their eyes and ears to the truth that he's a complete charlatan. but that will never happen in their hermetically-sealed echo chamber. and so they will continue to delude themselves as they willfully cast a blind eye on his abuses of power, his utter disdain for the poor and needy whom jesus championed, his blatant favoritism for his own billionaire class over everyone else, and of course his demonization of everyone who is not white and christian. people who actually read the gospels have no problem figuring out what jesus christ would make of donald trump, which makes me wonder if these trump-supporting christians are reading from a completely different book.""]"
4,65,4_children_priests_marriage_abuse,"['children', 'priests', 'marriage', 'abuse', 'gay', 'sexual', 'married', 'homosexual', 'sacrament', 'clergy']","[""this report is very sad.  the single most important issue facing the catholic church as a whole is the sexual abuse of minors and others by clergy and religious.  if this commission does not come up with a strong set of procedures and rules for every diocese to follow in these cases, it is useless. these procedures should include the removal and excommunication of any bishop who participates in or covers up sexual abuse -- no plum retirement assignments -- they're out and on their own financially and legally.  \nif pope francis can't get this done, who can?  and if it can't be done, what's to become of the church?"", 'after the boston globe broke the story on priestly sexual abuse in 2002, the american bishops established an independent panel to study this issue. when the national review board released its findings in 2004, noted washington attorney robert s. bennett, who headed the study, said, “there are no doubt many outstanding priests of a homosexual orientation who live chaste, celibate lives, but any evaluation of the causes and context of the current crisis must be cognizant of the fact that more than 80 percent of the abuse at issue was of a homosexual nature.”\n\nfurthermore, the panel explicitly said that “we must call attention to the homosexual behavior that characterized the vast majority of the cases of abuse observed in recent decades. . . .”\n\nhttp://www.catholicleague.org/homosexuality-and-sexual-abuse/', '""the report also rejects the claim that the second vatican council and the sexual revolution were responsible for the outbreak of child sexual abuse, as some have claimed"".\n(from p.193)\n* the impact of the sexual revolution, particularly on psychosexually immature men, whose sexual immaturity and deprivation led to distorted cognitive thinking about children and whose repressed sexual curiosity led to greater sexual experimentation;\n* the greater general turbulence in the catholic church during and immediately after the second vatican council, with the celibacy debate masking the deeper crisis about the role of the priest\n* ‘young priests unilaterally abandoned the obligation to remain celibate, while some people opted for the priesthood in the expectation it would be abolished’, leading to a conscious rejection of the celibacy rules by many clergy.\nmuch of this relates more to the abuse of adults.\nhttps://eurekastreet.com.au/article.aspx?aeid=52339']"
5,61,5_pope_teaching_holy_francis,"['pope', 'teaching', 'holy', 'francis', 'ii', 'catholic', 'father', 'vatican', 'afraid', 'bishops']","['jp ii ceased being pope more than ten years ago.  jp ii himself had no power to bind his successors to any particular perspective, whethe it agreed with his own judgment or not.  the same must be said of pope francis, as well as his successors.  there are times when discontinuity in church teaching is necessary and called for, and this is one of those times!', ""i don't often agree with life of the lay, but this time i have to agree. when did 'popularity' become a job-description for being the leader of the roman catholic church worldwide? heck,  even the word 'popular' does not properly describe what is expected of popes these days.  instead, it seems that 'successful' popes must have 'rock star' qualities in regard to the size of the crowds they attract (invariably described as a million or more fawning / fainting individuals raising up their babies or doing their best to take a 'selfie' with the pope. \n     but in fairness, the requirement for 'rock star' status didn't begin with pope francis -- it began with pope john paul ii.  yes, i will admit that at first it was exciting to have a pope visiting in the catholic people in their home countries. i, myself went down to grant park in chicago in october 1979 to see jpii in person. but enough of papal visits already -- what counts are the teachings, not how many autographs he can sign!"", ""the holy spirit selects the pope.\nthe pope must be listened to.\nexcept i don't like this pope and what he's teaching.\nthe holy spirit obviously doesn't choose the pope after all.""]"
6,59,6_教_キリスト教_悪い_犠牲,"['教', 'キリスト教', '悪い', '犠牲', '馬鹿', '国家', '実験', '繰り返し', 'せい', 'やん']","['キリスト 教 や ユダヤ 教 の 連中 が し た 過去 も 現在 も 見れ ば 悪魔 で しか ない だろ 。', 'キリスト 教 で は 、 神 を 信じ ない の は 罪 という こと に なっ て い ます 。 ほんで キリスト教 が 悪い 。', 'キリスト 教 が 一 番人 を 殺し てる のに キリスト教 で 平和 に なる とか 片腹痛い www イテテ']"
7,53,7_教_理解_人間_ユダヤ,"['教', '理解', '人間', 'ユダヤ', '罪', '自分', 'なさい', '事', '無い', 'マジ']","['罪 意識 は 悪い こと です   ネガキャン   を 自ら 植え付ける から です   その 弊害 は 病気 や 災害 と なっ て 現れ ます   今 すぐ 罪 意識 を 振り払う こと です   人間 は 神 の 子   神 の 子 ＝ 神   神 に 罪 は あり ませ ん   この 真理 を 知り なさい   そう すれ ば その 場 で 神 の 国 の 住人 と なる の です   ユダヤ 教 キリスト教 イスラム教   これら は 全部 基地 害 です   大元 の ユダヤ 教 の 旧約 を 読ん で ごらん なさい   まさに 基地 害 じみ て い ます   大元 が 基地 害 だ から 分派 も 基地 害 に なる の です   今 すぐ これら の もの から 離れ なさい   そして 和 の 精神 で ある 日本 の 神道 に 帰り なさい   太陽 の よう に 明るい   平和 の 教え   平和 の 精神   万物 大 調和 の 心 で ある 日本 の 神 の 教え を 信じ なさい   我々 は 日本人 な の です から   日本 の 平和 な 神 を 信じ ましょ う   罪 など あり ませ ん', 'キリスト 教 の 指導 者 たち は 実は 神 の 存在 を 信じ て い ない 唯物 論 者 だ と 言う 方々 が い ます が 、 彼ら も 弱い 人間 で あり 、   異教徒 や 無神 論 者 より 恩恵 、 ご利益 を いただき たい と 願っ て おり 、 死後 は 天国 に 行き たい 、 死ん だら 意識 も 何 も 残ら なく なる なんて の は 嫌 だ と 思っ て い ます よ   ただ 聖書 の 内容 を 文字通り 信じ て い ない （ 普通 の 人間 が 素直 に 信じ られる はず が ない ） のに 神 から 少し でも 認め られ たい 動機 で 教団 を 運営 し て いる だけ です   原罪 とか 言っ て い ながら 自分 の 罪 に は すごく 甘い 。 十字架 による 安易 な 罪 の 許し は かえって 世界 に 罪悪 を 広め て しまう 。 もちろん 自分 の 罪 を 真剣 に 考え より 清い 生き方 を 志す 人 たち も いる だろ う が 、 この 人 たち も 自分 の 仲間 が そこ まで 堕落 し た 人間 だ と 信じ て い ない から 余計 に タチ が 悪い   キリスト 教 の 歴史 は 失敗 の 連続 で 、 日本 国民 全体 で は マイノリティ に なる だけ な のに 、 本心 で は 信じ て い ない 宗教 を 無理 に 宣伝 する こと が そもそも の 間違い だっ た の です 。 人 も 自分 も 救え ない こと が 罪 です   イスラエル と ガザ の 戦禍 の 中 に いる 人 が 「 神さま の 糞 っ たれ 。 俺 たち が 不幸 な の は あんた の せい だ 」 と 言わ れ て 神 が 腹 を 立て て 罰する よう で あれ ば 、 そんな 狭量 な 神 に 人類 を 裁く 資格 なんて ないし 人間 の 側 が 神 を 追い出さ ね ば なら ない', 'くだらない 罪 意識 から 離れ なさい   キリスト 教 で は イエス の 贖罪 により   罪 は 消え た という 設定 な の で は あり ませ ん か ？   だっ たら もう 罪 は 消え た と 思う べき でしょ う   もう 罪 に 固執 する こと は お やめ なさい と いう こと です   ユダヤ 人 が 虐殺 さ れ た の は 罪 意識 に 固執 し た ため で あり 、   また イエス 殺害 の 罪 を かぶせ られ た から で あり ます   だが 、 ユダヤ 教 に 神 が いる の なら ば 、 そういった 災難 から 守っ て あげ なけれ ば なり ませ ん   だが 、 その 願い も むなしく ナチス ドイツ により 無残 に 殺さ れ まし た   そこ に 神 は いる の でしょ う か ？   ユダヤ 教 に 神 は いる の でしょ う か ？   また キリスト教 で ある ヒットラー は イエス の 仇討 ちの つもり で ユダヤ 人 を 虐殺 し た   キリスト 教 が まとも な の でしょ う か ？   キリスト 教 に 神 は いる の でしょ う か ？   多く の 日本人 は こう いっ た 、 ユダヤ キリスト 教 を まとも だ と は 思っ て い ない から こそ   ユダヤ キリスト 教 に 神 など い ない と 思っ て いる から こそ   日本人 の ９ ９ ％ は ノン クリ な の です   日本人 の ほとんど が 、 ユダヤ キリスト 教 の 基地 害 教義 に は 洗脳 さ れ ない の です   そして それ は 正しい 判断 な の です 、   我が国 日本 の 平和 な 神 の 教え こそ 真理 な の です']"
8,43,8_笑话_接触_西方_community,"['笑话', '接触', '西方', 'community', '贵族', '第一个', '真', '类似', '地位', '感觉']","['神父 笑话 的 本质 是 男同 笑话 而 不是 宗教 笑话', '修女 笑话 \n 你 是 指神 🐔 吗', '修女 笑话 基本 就是 纯粹 的 炫 压抑 笑话']"
