annotation_id,annotator,average_prob,christianity_related,created_at,hate_speech,id,lead_time,model_votes,sampling_strategy_tag,text,updated_at,split
5201,1,0.4457979003588359,1,2026-02-24T13:37:19.760401Z,0,19182,11.567,1/5,uncertain_or_low_confidence,﻿ 日本人にとって、イエスとは誰なのか 漁師さんの本音 | 月刊いのちのことば Previous:ブック・レビュー 夫婦ともに学ぶことができる Next: 時代を見る目 255 希望ある明日に向かって [3]　未来を創る国際協力,2026-02-24T13:37:19.760426Z,train
2013,1,0.4187148511409759,1,2026-02-12T13:21:16.285577Z,1,19188,6.772,2/4,uncertain_or_low_confidence,イエスの時代の陰謀と現代の陰謀：陰謀に怯えるべきでない根拠: 雲の柱・火の柱　アウトロー神学者の終末世相診断 << ケムトレイルの内部告発動画 | TOP | ペットは死後どうなるのか >> なかなか説得力のある記事ですね。 Posted by 大和の苫屋 at 2010年08月01日 22:38 お久しぶりです。有り難うございます。栄光在主。 Posted by モトイ at 2010年08月02日 06:48,2026-02-12T13:21:16.285597Z,train
2599,1,0.4154010613759358,1,2026-02-14T05:51:21.610881Z,0,19189,4.873,2/4,uncertain_or_low_confidence,日本キリスト教団　行人坂教会: 信仰は冠す coronat fides << ６月第４主日礼拝 | TOP | 木が歩いているような…【マルコ8：22〜26】 >>,2026-02-14T05:51:21.610909Z,train
2932,1,0.6347998976707458,0,2026-02-15T01:51:21.356798Z,0,19190,98.112,1/5,uncertain_or_low_confidence,ナザレのイエス（イエス・キリスト） : 癌と食養　☆★☆　自然療法による癌治療 ～ Cancer Therapies by Naturopathy タグ：ナザレのイエス（イエス・キリスト）,2026-02-15T01:51:21.356810Z,train
2746,1,0.5650773247083029,0,2026-02-14T10:38:57.865997Z,0,19191,1.631,1/5,uncertain_or_low_confidence,歳晩礼拝 ｢無駄な祈り、労苦はない｣ ヨハネによる福音書２１章１－１４節 - 神奈川県平塚市にあるプロテスタントのキリスト教会｜平塚バプテスト教会,2026-02-14T10:38:57.866015Z,val
1724,1,0.5774637262026469,1,2026-02-11T04:44:42.248378Z,0,19192,3.85,1/5,uncertain_or_low_confidence,主日礼拝メッセージ要約『捕らわれからの解放』（イエス・キリストの生涯　その42）(2018.11.4) - いとすぎキリスト教会 愛知県 春日井市,2026-02-11T04:44:42.248397Z,train
3018,1,0.4659504393736521,0,2026-02-15T03:46:58.100882Z,0,19193,2.014,3/3,uncertain_or_low_confidence,金光教阿倍野教会 朝のみ教え: ●世のお役に立つ為に << ●一心の真で心を清める | トップページへ | ●信念を持って… >>,2026-02-15T03:46:58.100898Z,train
2912,1,0.4614360531171163,0,2026-02-15T01:47:32.552052Z,0,19194,2.279,2/4,uncertain_or_low_confidence,「信仰による救い」と「技による救い」について - ユピテルジョージ公式サイト - 雄鶏の羽根 トップユピテルブログ「信仰による救い」と「技による救い」について http://www.ondorinohane.com/blog/2019/04/post_1232.php「信仰による救い」と「技による救い」について,2026-02-15T01:47:32.552070Z,train
1571,1,0.444267600774765,1,2026-02-10T14:43:34.544753Z,0,19195,5.169,2/4,uncertain_or_low_confidence,真のお父様に帰ろう！『三代王権･サンクチュアリ教会』: 19年5月22日 韓国語説教＜後編＞ 堕胎権利はサタン主義。医学も聖書も、受精の時から人◆文亨進二代王 堕胎権利はサタン主義。医学も聖書も、受精の時から人,2026-02-10T14:43:34.544771Z,train
3927,1,0.5271697143713633,0,2026-02-18T04:06:59.455139Z,0,19198,1.791,0/6,uncertain_or_low_confidence,稲村ガ崎の寺・神社・教会(鎌倉市) - 寺・神社・教会の検索なら30min. 稲村ガ崎の寺・神社・教会 トップ　 全国の寺・神社・教会　 神奈川県　 神奈川県の寺・神社・教会　 鎌倉市　 鎌倉市の寺・神社・教会　 稲村ガ崎　 稲村ガ崎のレジャー　 稲村ガ崎の寺・神社・教会 稲村ガ崎の寺・神社・教会(鎌倉市)を0件掲載。稲村ガ崎の寺・神社・教会のクチコミ、写真、地図などお出かけに役立つ情報が満載です。,2026-02-18T04:06:59.455157Z,train
