text,model_votes,average_prob,sampling_strategy_tag
﻿ 日本人にとって、イエスとは誰なのか 漁師さんの本音 | 月刊いのちのことば Previous:ブック・レビュー 夫婦ともに学ぶことができる Next: 時代を見る目 255 希望ある明日に向かって [3]　未来を創る国際協力,1/5,0.4457979003588359,uncertain_or_low_confidence
"サナンダのメッセージ （パート1） | PFCJ イエス=サナンダ 2018.05.09 2018.05.11 君嶋厚子 サナンダのメッセージ～真実があなたを自由にする(パート１) ～　via Adele Arini, アカネさん、ご連絡お願いします。君嶋 athuko-kimishima1201@ezweb.ne.jp 606763総閲覧数:",2/4,0.6162700851758321,uncertain_or_low_confidence
"10月8日の説教要旨　｢天の大きな喜び｣　牧師　平賀真理子 | 仙台南伝道所 投稿日: 2017年11月4日 作成者 sendaiminamiカテゴリー 02.礼拝説教集, エゼキエル書, ルカによる福音書 前 前の投稿: 10月１日の説教要旨　｢主の弟子として｣　牧師　平賀真理子 次 次の投稿: 2017・10月15日の礼拝説教要旨　「私の助けはどこから？」　佐藤 義子",1/5,0.5782885750134786,uncertain_or_low_confidence
まあ 安倍晋三と統一教会に関係あったって立証されたし 自民党と統一教会もズブズブだったって立証されたね,3/3,0.44813140233357746,uncertain_or_low_confidence
日本人女性は韓国人男性に仕えるべき…旧統一教会が日本人信者に｢金と奉仕｣を要求する驚くべき言い分 プレジデントオンライン https://president.jp/articles/-/60721 https://president.is...bcabb13da5870578.jpg 文鮮明は「イエスの再臨であり救世主」 日本人は「日帝支配の恩讐に報いるべき」 「献金目標額のファックス」が次々に届く 文鮮明によれば、韓国はアダム国家で日本はエバ国家、アダムを堕落させたエバがアダムに仕える（侍はべるという言い方もする）のは当然となる。 大変なのは、日本で生活をしている祝福家庭の信徒達である。 祝福を受けて原罪のない子供を産み、理想の家庭を築こうという時に、教祖の命を受けた日本本部から、次々と献金目標額のファックスが届くのである。 旧統一教会の信徒たるもの、再臨主の願いに応えないわけにはいかない。問題は、どこからそのお金をかき集めてくるのか、である。,3/3,0.3790655980507533,uncertain_or_low_confidence
コリント人への手紙第二4章 – 旧新約聖書通読 投稿日: 2018年3月10日 投稿者: pastorfukui 過去の投稿前 コリント人への手紙第二3章 次の投稿次 コリント人への手紙第二5章,2/4,0.43109296758969623,uncertain_or_low_confidence
イエスの時代の陰謀と現代の陰謀：陰謀に怯えるべきでない根拠: 雲の柱・火の柱　アウトロー神学者の終末世相診断 << ケムトレイルの内部告発動画 | TOP | ペットは死後どうなるのか >> なかなか説得力のある記事ですね。 Posted by 大和の苫屋 at 2010年08月01日 22:38 お久しぶりです。有り難うございます。栄光在主。 Posted by モトイ at 2010年08月02日 06:48,2/4,0.41871485114097595,uncertain_or_low_confidence
日本キリスト教団　行人坂教会: 信仰は冠す coronat fides << ６月第４主日礼拝 | TOP | 木が歩いているような…【マルコ8：22〜26】 >>,2/4,0.41540106137593585,uncertain_or_low_confidence
ナザレのイエス（イエス・キリスト） : 癌と食養　☆★☆　自然療法による癌治療 ～ Cancer Therapies by Naturopathy タグ：ナザレのイエス（イエス・キリスト）,1/5,0.6347998976707458,uncertain_or_low_confidence
歳晩礼拝 ｢無駄な祈り、労苦はない｣ ヨハネによる福音書２１章１－１４節 - 神奈川県平塚市にあるプロテスタントのキリスト教会｜平塚バプテスト教会,1/5,0.5650773247083029,uncertain_or_low_confidence
主日礼拝メッセージ要約『捕らわれからの解放』（イエス・キリストの生涯　その42）(2018.11.4) - いとすぎキリスト教会 愛知県 春日井市,1/5,0.5774637262026469,uncertain_or_low_confidence
金光教阿倍野教会 朝のみ教え: ●世のお役に立つ為に << ●一心の真で心を清める | トップページへ | ●信念を持って… >>,3/3,0.46595043937365216,uncertain_or_low_confidence
「信仰による救い」と「技による救い」について - ユピテルジョージ公式サイト - 雄鶏の羽根 トップユピテルブログ「信仰による救い」と「技による救い」について http://www.ondorinohane.com/blog/2019/04/post_1232.php「信仰による救い」と「技による救い」について,2/4,0.4614360531171163,uncertain_or_low_confidence
