title,floor,author,time,main_content,lzl_replies,link
,1,神鎭將軍·臨秋,未知,"揭穿白皮基督狗的伪善面纱（一）
基督教，其教义由两部分组成，前一部分为所谓的“旧约 ”，是剽窃自犹太人信奉的犹太教；后一部分为所谓的“新约 ”，是一个叫“耶稣 ”的神棍自我树立为上帝之子，从而建立的神灵崇拜，其宣称上帝为唯一神，而自己是上帝在人间的唯一代表，属于搞自我神化和个人崇拜，完全符合恐怖主义和邪教的特征 。而罗马人最初并不信这一套诡辩胡言，基督教就这么篡改了原属犹太人的古代信仰，偷梁换柱并鸠占鹊巢的夺取了罗马帝国的宗教地位。",,https://tieba.baidu.com/p/9987384766?pid=152677177628&cid=0#152677177628
,2,神鎭將軍·臨秋,未知,"揭穿白皮基督狗的伪善面纱（二）
基督教在夺取了罗马帝国的宗教信仰地位后，便总是声称“不信我的人都有罪”，以此展开对异族的打压迫害，而且，其对内部出现的不同派别也丝毫没有包容性可言，称之为“异端”，同样迫害不止。基督教实质已经成为血腥残酷的种族压迫的工具。",,https://tieba.baidu.com/p/9987384766?pid=152677177628&cid=0#152677177628
,3,神鎭將軍·臨秋,未知,"揭穿白皮基督狗的伪善面纱（三）
对此，英勇智慧的中国人民从不上他们的当。虽然基督教的一个流派——“景教”传入了中国，但很快受到了抵制，而且景教作为一种基督教的异端，本身也不能反映西方所信仰的那种邪恶的一神教理论。在西方占主导地位的，永远是宣扬神性最高、压抑人性的病态崇拜的思想。中国主要信仰的佛教则经过了中国文化的改造，从不提“非本教徒都有罪”这样的迫害异己的口号。这与基督邪恶思想是天差地别的。而且，基督教并不认可“只要人行善积德就能进入天堂”，而是认为只要不信上帝，无论怎么行善，死后都会进入地狱，其这一主张并不能劝人行善，反倒加大了对异族的迫害。",,https://tieba.baidu.com/p/9987384766?pid=152677177628&cid=0#152677177628
,4,神鎭將軍·臨秋,未知,"揭穿白皮基督狗的伪善面纱（三）
对此，英勇智慧的中国人民从不上他们的当。虽然基督教的一个流派——“景教”传入了中国，但很快受到了抵制，而且景教作为一种基督教的异端，本身也不能反映西方所信仰的那种邪恶的一神教理论。在西方占主导地位的，永远是宣扬神性最高、压抑人性的病态崇拜的思想。中国主要信仰的佛教则经过了中国文化的改造，从不提“非本教徒都有罪”这样的迫害异己的口号。这与基督邪恶思想是天差地别的。而且，基督教并不认可“只要人行善积德就能进入天堂”，而是认为只要不信上帝，无论怎么行善，死后都会进入地狱，其这一主张并不能劝人行善，反倒加大了对异族的迫害。",,https://tieba.baidu.com/p/9987384766?pid=152677177628&cid=0#152677177628
,5,神鎭將軍·臨秋,未知,"揭穿白皮基督狗的伪善面纱（四）
有人可能会说：牛顿也信仰基督教，岂不是也作出了重大贡献，这说明信基督没什么不好？但这种论调显然没有从科学的发展来出发考虑。牛顿晚年崇拜上帝，认为推动宇宙的第一动力就是上帝，如果后世的科学家都相信这一胡言乱语，那么相对论的提出又何从谈起？科学还如何发展？事实上，正是奥卡姆的剃刀“如无必要，不增实体”，解开了对上帝的无脑崇拜信奉，才开启了科技革命。由此可见，基督教对于科学的发展毫无帮助，反而只会使人思想保守，阻止了科学精神的出现。",,https://tieba.baidu.com/p/9987384766?pid=152677177628&cid=0#152677177628
,6,神鎭將軍·臨秋,未知,"揭穿白皮基督狗的伪善面纱（五）
基督教主张人对于自己做的坏事要忏悔，然而只是忏悔，又有什么用呢？该犯还是会再犯。西方曾经就有一个罪大恶极的杀人犯，也是基督教徒，在杀了人后也会忏悔，然而忏悔完了又去杀人。这说明什么？忏悔就是一种自我欺骗，幻想自己的罪恶得到了“上帝的原谅”，不影响其继续作恶。",,https://tieba.baidu.com/p/9987384766?pid=152677177628&cid=0#152677177628
,7,神鎭將軍·臨秋,未知,"揭穿白皮基督狗的伪善面纱（六）
基督教徒一手捧圣经，一手拿屠刀，好话说尽，坏事做绝。16世纪，西班牙航海者科尔特斯发动了对美洲原住民的大屠杀，而这个人是一名虔诚的基督信奉者。随后，西方虔诚的基督徒们又先后进行了对非洲的奴隶贩卖和对美洲、亚洲的殖民，过程中杀人不计其数，这都是信仰“正义的化身”——上帝的西方人所做出的事情。",,https://tieba.baidu.com/p/9987384766?pid=152677177628&cid=0#152677177628
,8,神鎭將軍·臨秋,未知,"揭穿白皮基督狗的伪善面纱（七）
不仅如此，基督教还是产生邪教组织的温床。美国著名的“人民基督徒教会”就是以基督教的名义建立的邪教，而这样的邪教组织每年都会新诞生几百上千个。由于他们都打着基督的旗号真假难辨，只要基督教不消失，反邪教的行动将极为困难。世界超过一半人信仰基督，如果让世界上的所有国家全都信仰无神论，那么这些邪教就无从谈起了。说到家，基督教就是“合法的邪教”。",,https://tieba.baidu.com/p/9987384766?pid=152677177628&cid=0#152677177628
,9,神鎭將軍·臨秋,未知,"揭穿白皮基督狗的伪善面纱（八）
信基督的人，往往反科学，愚昧至极。比如，直到如今还有牧师鼓吹“人是上帝创造的，而不是由猿猴进化来的”，其理由则是“把黑猩猩的血液输给人，人就死了”，这就是伪装成科学的一派胡言的诡辩术。当年达尔文也拼命驳倒了愚昧无知的大主教，赢得了科学的胜利。基督教置生物进化的客观事实于不顾，肆意向群众宣讲反科学的妄想，甚至残害科学家，阻止独立思考，实为科学发展的头号大敌。",,https://tieba.baidu.com/p/9987384766?pid=152677177628&cid=0#152677177628
,10,神鎭將軍·臨秋,未知,"揭穿白皮基督狗的伪善面纱（九）
在19世纪的美国，儿童都要上“主日学校”，在那里学习圣经教义，背诵“赞美诗”。而这些赞美诗的内容都是教唆儿童无限忠于基督的上帝，除此之外没有任何意义。每个人都要作“祷告”，而这一切对于规劝人行善并没有什么效果，只是让人在上帝的支持下更加明目张胆的作恶。还有一名法国神父来到中国为非作歹，这就是有名的“马神父事件”，由此引发了英法联军对中国的侵略，所以中国人民不能忘记其所犯的罪恶，应当积极抵制一切基督教徒的猖狂活动。中国坚决不容许基督教的祷告、赞美诗等邪恶元素的入侵，必与他们划清界限，以求彻底消灭邪恶的根源。而武汉大学的某位研究生竟冒天下之大不韪，在其论文中声称“杜甫是受到了基督教思想的洗礼”，企图解构中国传统文化自信，其居心之险恶是不言自明的，中国人民必须坚持原则，与武汉大学的卖国行径不共戴天，誓讨武汉大学国贼！",,https://tieba.baidu.com/p/9987384766?pid=152677177628&cid=0#152677177628
,11,神鎭將軍·臨秋,未知,"揭穿白皮基督狗的伪善面纱（十）
综上所述，中国必须坚决反对基督教的传播，与任何试图在中国宣传基督教的势力作拼死的斗争。基督教一旦在中国获得生存，那么对于中国的无神论原则是毁灭性的伤害。而武汉大学竟敢冒天下之大不韪，宣称基督教是杜甫和庄子的“启示者”，严重伤害了中国人民的感情，应受到全中国的谴责，必须揪出企图破坏中国文化自信的一拨叛徒、内奸、卖国者，予以有力的制裁。对于西方意识形态侵入的阴谋，必须时时加以警戒，绝不能让半点敌对思想夺取中国的话语权。
（全文完）",,https://tieba.baidu.com/p/9987384766?pid=152677177628&cid=0#152677177628
嗨，欢迎来到本吧，您可以在此畅所欲言！,1,贴吧楼委会,未知,亲爱的各位吧友：欢迎来到语言宣传,,https://tieba.baidu.com/p/6018221302?pid=152543966204&cid=0#152543966204
嗨，欢迎来到本吧，您可以在此畅所欲言！,2,神鎭將軍·臨秋,未知,"揭穿白皮基督狗的伪善面纱（一）
基督教，其教义由两部分组成，前一部分为所谓的“旧约 ”，是剽窃自犹太人信奉的犹太教；后一部分为所谓的“新约 ”，是一个叫“耶稣 ”的神棍自我树立为上帝之子，从而建立的神灵崇拜，其宣称上帝为唯一神，而自己是上帝在人间的唯一代表，属于搞自我神化和个人崇拜，完全符合恐怖主义和邪教的特征 。而罗马人最初并不信这一套诡辩胡言，基督教就这么篡改了原属犹太人的古代信仰，偷梁换柱并鸠占鹊巢的夺取了罗马帝国的宗教地位。",,https://tieba.baidu.com/p/6018221302?pid=152543966204&cid=0#152543966204
