annotation_id,annotator,average_prob,christianity_related,created_at,hate_speech,id,lead_time,model_votes,sampling_strategy_tag,text,updated_at,augment_method,group_id
1745,1,0.4056985179583232,1,2026-02-11T04:46:47.634775Z,1,19498,11.813,2/4,uncertain_or_low_confidence,現代キリスト教において、信仰は人間イエスの存在が経験的に実証できないという立場に基づくべきである。もし「イエスが実在した証拠がある！」と言う司祭や牧師がいるなら、注意すべきだ。彼らはカルト化しているかもしれない。,2026-02-11T04:46:47.634800Z,BT_English_Sim0.96,23
1745,1,0.4056985179583232,1,2026-02-11T04:46:47.634775Z,1,19498,11.813,2/4,uncertain_or_low_confidence,現代キリスト教！において、信。仰は人間、イエス。の存在が経験的に？実証できないという立場に基づくべき！である。もし「イエ！スが？実在した証。！。拠がある。！」と言う司祭や牧師がいるなら、注意すべきだ。彼らはカルト化しているかもしれない、。？,2026-02-11T04:46:47.634800Z,BT_English_AEDA,23
1887,1,0.4080344041188558,1,2026-02-11T14:36:35.402808Z,1,19486,2.718,4/2,uncertain_or_low_confidence,金の流れ：信者 → 教会 → 安倍派裏金,2026-02-11T14:36:35.402830Z,BT_English_Sim0.95,60
1887,1,0.4080344041188558,1,2026-02-11T14:36:35.402808Z,1,19486,2.718,4/2,uncertain_or_low_confidence,金の流れ：信者 → 。教会 ！→ 安倍派裏金,2026-02-11T14:36:35.402830Z,BT_English_AEDA,60
3924,1,0.341399888197581,1,2026-02-18T04:01:02.112795Z,1,20777,29.759,3/3,uncertain_or_low_confidence,>>92 キリストはやってない。ヤハウェのせいだ。ヤハウェはただ暴力的だ。,2026-02-18T04:01:02.112812Z,BT_English_Sim0.96,47
3924,1,0.341399888197581,1,2026-02-18T04:01:02.112795Z,1,20777,29.759,3/3,uncertain_or_low_confidence,>>92 キリストはやってない·。？ヤハウェの。せいだ。ヤハウェはただ暴力的だ。,2026-02-18T04:01:02.112812Z,BT_English_AEDA,47
1602,1,0.3939041296641032,1,2026-02-10T14:46:10.171389Z,1,20780,4.487,3/3,uncertain_or_low_confidence,キリストを批判する前に、まず自分を批判しなさい！,2026-02-10T14:46:10.171404Z,BT_English_Sim0.98,74
1602,1,0.3939041296641032,1,2026-02-10T14:46:10.171389Z,1,20780,4.487,3/3,uncertain_or_low_confidence,...キリストを批...判する前に、まず自分を批判しなさい！,2026-02-10T14:46:10.171404Z,BT_English_AEDA,74
8204,1,0.4665648837884267,1,2026-03-25T10:14:17.130579Z,1,22570,56.385,2/4,uncertain_or_low_confidence,まともなカトリック教徒に会ったことがない。マリア崇拝がその原因の一つだと思う。,2026-03-25T10:14:17.130594Z,BT_English_Sim0.92,65
8204,1,0.4665648837884267,1,2026-03-25T10:14:17.130579Z,1,22570,56.385,2/4,uncertain_or_low_confidence,まともなカト！リック教徒に会った...ことがない。マリア崇拝がその原因の？一つ...だと思う。,2026-03-25T10:14:17.130594Z,BT_English_AEDA,65
5070,1,0.4511602322260539,1,2026-02-24T09:52:46.068011Z,1,21041,124.452,3/3,uncertain_or_low_confidence,高市早苗も統一教会のスパイだ。https://i.imgur.com/sNNYJ29.jpeg,2026-02-24T09:52:46.068032Z,BT_English_Sim0.95,9
5070,1,0.4511602322260539,1,2026-02-24T09:52:46.068011Z,1,21041,124.452,3/3,uncertain_or_low_confidence,高市早苗も統。！...一教会のスパイだ。https://i.imgur.co！m/、sNN。Y！J29.jpeg,2026-02-24T09:52:46.068032Z,BT_English_AEDA,9
6426,1,0.4425917367140452,1,2026-03-15T21:36:13.464248Z,1,22403,12.465,1/5,uncertain_or_low_confidence,>>802 日本主義の信仰に従うお前は、他の宗教の神々を日本主義の支配下に恣意的に置き、愚弄しているのだろう？世界中の全ての仏教徒に謝罪しろ。,2026-03-15T21:36:13.464272Z,BT_English_Sim0.96,0
6426,1,0.4425917367140452,1,2026-03-15T21:36:13.464248Z,1,22403,12.465,1/5,uncertain_or_low_confidence,>？>802 日本·主義の信仰に従うお前は、他の宗·？教の神々を日本主義の。支配！下に恣意的に置？き、愚弄しているのだろ！う？世界中の全ての仏教徒に謝罪しろ。,2026-03-15T21:36:13.464272Z,BT_English_AEDA,0
968,1,0.4150199790795644,1,2026-02-03T00:55:09.538218Z,1,22146,20.309,3/3,uncertain_or_low_confidence,>>335 追伸。中国もキリスト教を弾圧している、反キリストだ。政府公認教会よりも弾圧されている地下教会の方が、より正当性がある。政府が司教を選ぶのは間違っているのではないか？,2026-02-03T00:55:09.538236Z,BT_English_Sim0.95,59
