index,original,en_intermediate,back_translated
8,讃美歌　終わりの日における神の警告「人類が神を礼拝すれば人々は幸運を得ることができる」 | 神の国降臨の福音 讃美歌動画 1480,"Hymn: God's Warning in the Last Days If mankind worships God, people can obtain good fortune | The Gospel of the Advent of God's Kingdom Hymn Video 1480",賛美歌：終わりの日の神の警告 人類が神を崇拝すれば、人々は幸運を得られる ｜ 神の国の到来の福音 賛美歌ビデオ1480
7,霊的な宴 | 福音の村 タグ: 霊的な宴	一緒にご飯を食べなさい	【カトリック上野教会】,Spiritual Feast | Gospel Village Tag: Spiritual Feast Eat a meal together [Ueno Catholic Church],霊的饗宴 | 福音の村 タグ: 霊的饗宴 食事を共にする [上野カトリック教会]
4,統一教会は反日カルトだよ だから保守だ愛国だでバカをだます そして金は北朝鮮に送っていた つまり北朝鮮の組織なんだよ,"The Unification Church is an anti-Japanese cult. That's why they deceive idiots with 'conservative' and 'patriotic' talk. And they were sending money to North Korea. In other words, it's a North Korean organization.",統一教会は反日カルトだ。だから、「保守」や「愛国」の言葉で馬鹿を騙す。しかも、北朝鮮に金を送っていた。要するに、北朝鮮の組織だ。
1,>>802 お前は日本教の信仰に従って勝手に他の宗教の神を日本教の支配下にしてバカにしてるだろ。 全世界の仏教徒に謝れよ。,">>802 You, following the faith of Nihonkyo, are presumptuously placing the gods of other religions under the control of Nihonkyo and ridiculing them, aren't you? Apologize to all the Buddhists in the world.",>>802 日本教の信仰に従うお前は、他の宗教の神々を日本教の支配下に置いていると傲慢にも決めつけ、嘲笑しているのだろう？世界中の仏教徒に謝罪しろ。
5,第五十六章 | 全能神教会 あなたがたは神の言葉をもって自らを装備するよう言われているが、あなたがたのために何が采配されようが、すべては神が自らの手で指揮するものであるから、あなたがたの熱心な祈りや嘆願は必要ではない──それらは役に立たないのである。しかし、現在の状況から見れば、あなたがたの直面する実際の問題は、あなたがたには…,"Chapter 56 | The Church of Almighty God
You are told to equip yourselves with the word of God, but whatever may be arranged for you, all of it is directed by God with His own hands, so your fervent prayers and supplications are not necessary—they are useless. However, looking at the current situation, the actual problems you face, for you...","第56章 | 全能神教会
あなた方は神の言葉で身を固めるように言われているが、あなた方に何が手配されようとも、そのすべては神ご自身の手によって導かれているので、あなた方の熱心な祈りや嘆願は必要ない――それらは無益である。しかし、現状を見ると、あなた方が直面している実際の問題、あなた方には…"
3,現実性に一層重点を置くこと | 神の国降臨の福音 律法の時代における働き 全能者のため息 終わりの日のキリストだけが人に永遠のいのちの道を与えられる 終着点のために、善行を十分積まなければならない,"Placing even more emphasis on reality | The Gospel of the Advent of the Kingdom of God The Work in the Age of Law The Sigh of the Almighty Only Christ of the Last Days can give people the way of eternal life For the final destination, one must accumulate enough good deeds.",さらに現実に重点を置く ｜ 神の国の降臨の福音 律法の時代における御業 全能者の嘆息 終わりの日のキリストのみが人々に永遠の命の道を与えることができる 最終的な目的地のためには、十分な善行を積み重ねなければならない。
9,朗読　主イエスの再臨の御言葉 「神の働き、神の性質、そして神自身 ２」 その１　パート１ | 全能神教会,"Recitation: The Word of the Second Coming of the Lord Jesus God's Work, God's Nature, and God Himself 2 Part 1 Part 1 | The Church of Almighty God",朗読：主イエス再臨の言葉 神の働き、神の性質、そして神ご自身 第2集 第1部 第1章 | 全能神教会
0,サタンと悪霊は人々を堕落させ、生きる汚い悪霊にしたのだから、なぜ神は以前に悪霊を滅ぼさなかったのか。 | 神の国降臨の福音,"Since Satan and demons corrupted people and made them into living filthy demons, why did God not destroy the demons previously? | Gospel of the Coming of God's Kingdom",サタンと悪魔が人々を堕落させ、生ける汚れた悪魔に変えたのなら、なぜ神は以前に悪魔を滅ぼさなかったのか？ | 神の国の到来の福音
6,>>587 横からだが、統一教会はオマエだろ、タコ,">>587 Butting in, but you're the Unification Church, aren't you, you dumbass?",>>587 口出しするけど、お前、統一教会だろ、このクソ馬鹿？
14,次へ：救い主はすでに「白い雲」に乗って戻って来た 神の業と人間の実践 肉となった神と神に使われる人々との間の本質的違い 律法の時代における働き 終わりの日のキリストだけが人に永遠のいのちの道を与えられる,"Next: The Savior has already returned riding on white clouds
God's work and human practice
The essential difference between God incarnate and people used by God
Work in the Age of Law
Only Christ of the last days can bestow upon man the way of eternal life","次に：救い主はすでに白い雲に乗って帰還した
神の働きと人間の実践
受肉した神と神に用いられる人の本質的な違い
律法の時代の働き
終わりの日のキリストだけが人間に永遠の命の道を授けることができる"
