title,floor,author,time,main_content,lzl_replies,link
俄罗斯在乌克兰的表现这位仁兄说得很有道理,1,俄军火锅底料,未知,"大国神权时代在非总体战时代已经落幕了
点击展开，查看完整图片

点击展开，查看完整图片

点击展开，查看完整图片

点击展开，查看完整图片

点击展开，查看完整图片

点击展开，查看完整图片

点击展开，查看完整图片

点击展开，查看完整图片",,https://tieba.baidu.com/p/9600236360?pid=151872849269&cid=0#151872849269
俄罗斯在乌克兰的表现这位仁兄说得很有道理,2,回火的木棍514,未知,又在扯些有的没的，二毛子还不总体，人力死的死逃的逃打空一半了，大毛还在部分动员，人根本不需要总体战就压着二毛打了还大国神权时代结束了？大毛打得这么菜，不需要总体动员都把二毛子磨死了，现在二毛没死纯就是背后有欧洲输血，换皮兵尸体运了一波又一波出来还搁这儿装看不见呢。,,https://tieba.baidu.com/p/9600236360?pid=151872849269&cid=0#151872849269
俄罗斯在乌克兰的表现这位仁兄说得很有道理,3,6585580fgh,未知,不就是“国家级”内卷么，你确实可以说在蘑菇面前，总体战没卵用，你敢放弃动员能力吗？你放弃对面里面过来搞地缘摩擦，然后你就崩了，要么两个巨头互相拿上了膛的枪等着那一声想起，要么握手言和转身把身后的狗腿子宰了吃狗肉,,https://tieba.baidu.com/p/9600236360?pid=151872849269&cid=0#151872849269
俄罗斯在乌克兰的表现这位仁兄说得很有道理,4,椰果奶茶abc,未知,有没有可能，是二毛总体战，大毛是不出全力？当年布尔战争不就是这样，有什么大惊小怪的。,,https://tieba.baidu.com/p/9600236360?pid=151872849269&cid=0#151872849269
俄罗斯在乌克兰的表现这位仁兄说得很有道理,5,贴吧用户_GC6CKaK,未知,我觉得俄军打得还行，莫要信几个键盘侠乎咧咧。你到乌东及库尔斯克去走走就知道了，那不是山区，但可比湘西，可比十万大山的广西，加上乌克兰有近三十年的地下工程，又十年的法西斯备战，战争之难可想而知。等俄军跨过大河，乌军也只有逃得份了,,https://tieba.baidu.com/p/9600236360?pid=151872849269&cid=0#151872849269
俄罗斯在乌克兰的表现这位仁兄说得很有道理,6,使徒新生归来,未知,哪怎么评价朝鲜、越战后的阿妹?,,https://tieba.baidu.com/p/9600236360?pid=151872849269&cid=0#151872849269
俄罗斯在乌克兰的表现这位仁兄说得很有道理,7,Dave0807,未知,把自己都绕晕了，司机看了都得吐上三两血…～,,https://tieba.baidu.com/p/9600236360?pid=151872849269&cid=0#151872849269
俄罗斯在乌克兰的表现这位仁兄说得很有道理,8,FF团最高祭司,未知,"写这个东西的人，军事思维基本还停留在二十年前。
他没有看到今天无人机，高精度远火，导弹上的巨大进步，以及现代城市巷战的难度，这就好比拿破仑时代的军事家，碰上了一战的堑壕，铁丝网和重机枪，你用老思路硬冲真的会死很惨。。。
就像坦克和闪电战摧毁了一战堑壕一样，未来如果想对付上述武器，也必须有新一代武器发明去克制这些。",,https://tieba.baidu.com/p/9600236360?pid=151872849269&cid=0#151872849269
俄罗斯在乌克兰的表现这位仁兄说得很有道理,9,理中客乐子人1,未知,其实就是装备没有迭代，地球上的国家装备没有出现代差。所以谁进攻都难。,,https://tieba.baidu.com/p/9600236360?pid=151872849269&cid=0#151872849269
俄罗斯在乌克兰的表现这位仁兄说得很有道理,10,理中客乐子人1,未知,泽圣有一句话说的对，乌在为欧洲抵挡菜鹅。,,https://tieba.baidu.com/p/9600236360?pid=151872849269&cid=0#151872849269
