post_id,text
1179086941037453314_twitter,i wanna start twitter beef with a white christian mom
19817414_gab,god will not bless the republican party who bans christians including queers is tolerance banning christians is sin cpac is no longer christian
22484190_gab,if he does something useful i was saving this or nigger pitbull shit eitherway
24156664_gab,i do not know it does not matter anyway i only have <money> but i would jump into a sewer before i swam in a pool or anything with a nigger i mean wtf are ppl thinking 🙄
19159665_gab,imagine thinking you are not in a race war already all this anti white propaganda the media spits out everyday is not real goyim go tell this nigger <user> ‍ says he should put a maga hat on
1179105689186242561_twitter,god of israel is a faggot he a joke
23170995_gab,rip nehlen he may be married to a beaner and a christcuck but at least he aiming in the right direction
1178855617949290501_twitter,<user> <user> <user> he called lesbians dumpy women who take birth control hysterical and said that boys raped by catholic priests are victims of the gay disease what exactly has he said about white people
15078775_gab,wow never had such a busy evening until now bluehand family joining gab in droves here all free speech is welcomed if snowflake soy boy leftie sjws are not content with mute or stop follow then they can fuck off to dhimmi moslem cock sucking twatter
19017382_gab,the twitter post in which l southern simonsen was exposed with her based trump hat nigger was made by a nazbol supposedly i am not too familiar with them it just funny that the white knights call some of us thot patrollers nazbol implying we are communists is alexander dugin nazbol
21455262_gab,love how leftist feminists take our lingo and try and use it in a sentence you suck at this and probably bj too it why you went full carpet muncher bet you would have loved this dyke to be president
1179008240668966912_twitter,<user> no intentionally left out he have no plans to give citizenship to illegal muslim immigrants since hindu sikh jain buddhist christian will be raped and killed in islamic countries they need refuge here
1178923049820643328_twitter,but the jews did not believe concerning him that he had been blind and received his sight until they called the parents of him that had received his sight john <time> faith bible god
1179002091555164160_twitter,explain judeo christian history of previous english kings of christian faith also past jewish kings holding woman as man property how to protect some woman from rape laws of nature allow man to rape women do not molest a man wife like not to molest his horse
6119701_gab,im a pagan so fuck the bible the founding fathers would be pissed to see a nigger in office and melting pot of european culture not 3 rd world parasites any other
6081960_gab,it is a fictional story about a mudshark vanessa her absent black husband obi o konkwo and her rogue piccaninny child jiglet it is based on real life events and characters written in the style of the janet and john books of the 6 0
3718125_gab,<user> i am a brit if you are talking about florida looks like he was a muzzie despite the wetback name
23501681_gab,before the crusades for <number> years the barbarian muslimes murdered christians and invaded took nations in europe much as they are doing now that ended with the crusades christians were forced to fight back and they destroyed the muslimes history will repeat we have no choice <user> ‍
26002598_gab,got kicked out of facebook again for <number> days because i called a muzzi alla a pedophile and a pervert no 1 st amendment over there the muzzis can call christians anything they want but not the other way around
1179059155241332736_twitter,<user> a chr*stian <censored> and a vsco girl pick a dis*bility <censored> bitch
1179101086407376896_twitter,<user> <user> <user> could you pray for all the kids who were raped by the priests and pastors over the past many decades maybe your jealous god could help his chosen flock keep there wieners in their pants god is not great
1178333310944206849_twitter,<user> <user> <user> lol i am far from a white supremacist and an islamaphobe i am anti religion and you can not argue against science oh wait you do not believe in science because your religion just like christianity or any other religion is garbage
10590985_gab,i do not encourage kafir kids to drink from moslem cups tissue is haram to them they wipe their ass with their hands
1178764288271556611_twitter,nothing says humble and loving like insulting someone character and insisting you are needed to fix them maybe start ousting the faggots and pedophiles from your church before you even begin to speak on what i need
1179064112891842560_twitter,<user> <user> dear lady basically u r advocating riyasat e madina with caliphate where non muslims 3 rd class citizens i am sure u r aware how sikh hindu christains minor girls abducted raped and converted to marry old muslim men u want that to replicate in kashmir
1178326656047386624_twitter,<user> <user> perhaps you should sto pforcing your morals on others like a 1 9 5 0 racist white christian
23721481_gab,why would i read the bible that kike created faggoty anti white shit is for low t fuckbois like you speaking of which been touched by any priests lately in that kike run pedophile cult
1178777953859248129_twitter,christianity could ve at least been more like islam and said racism is a sin to denounce half of the white supremacists alive today
27134916_gab,nick the spic le <percent> face mr being catholic pedophile is more important than being white
21861414_gab,plenty of kike christians like pelosi worry about your own kikes dumb pussy
1179031798233403393_twitter,<user> <user> <user> government forced pregnancies on <number> year old raped girls is what christian sharia law looks like in america old white men dictating women health issues and reproductive rights do better america
1178242195679113217_twitter,<user> im a <number> year single straiaght white christian man im enemy <number>
1178901621130043393_twitter,what kind of chinaman speak french i mean gotdam
19001762_gab,what is christianity but spiritual democracy who to say that aborted pail nigger is just as good and valid as you are god says the christian
2956214_gab,just once i d like to see or hear on the news about a moslem business being sued by gays why is it always the christian businesses is it because they do not threaten to kill gays by beheading or throwing them off tall buildings
13292192_gab,that fuckin beaner guard is an illegal and they was gonna have him kill paddock before and prevent the massacre then praise illegals in the news as heros but he brown so he fucked it up im calling it
21217776_gab,imagine being so disconnected that youd think a dickies work shirt and some black pants are comparable to a fur suit imagine crying about optics while writing for a site that screams nigger in every title like a <number> year old on xbox love who d just found 4 chan
26012116_gab,nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend
25621523_gab,buddhists shit on kike filth religions so do most of the world we will kill kikes christfags hajjis as easy as stepping on ants
27692892_gab,need to put on my germany jersey can not lose this to this wetback squad
21614722_gab,tillerson is a globalist i was surprised he was ever hired he likes having queers in the boy scouts
7047490_gab,i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling
1178812309499760640_twitter,did god actually turn into trailer trash preacher 😂
8183063_gab,jq same as the cq or the mq to me all religious fanatics are a danger to anyone who wants to be left the fuck alone granted muzzies are the current worst but it wasn t long ago that xtians were murdering abortion doctors and dragging fags behind their trucks
