topic,lang,layer,target,verb,predicate,role,context,frame_type
8,zh,svo,教会,离开,离开,patient,"（接上文）

真为那些谦卑地离开教会的天主教徒感到心痛。他们就是因为知道自己做不到《人类生命》通谕里那些严苛的标准，所以才带着一身伤痕和怨气走了。在上帝面前，他们觉得自己不配，那种自我否定的痛苦，简直让人想哭。

你说得没错，现在好多所谓的“教友”实际上照样用各种手段避孕，还心安理得，拿“良心”当挡",other
3,zh,window,lgbt,堕落,堕落,unknown,"点关系，说的明明是有些人对正统教义的暴力抵触。

还有，你对LGBT那套生活方式的理解，格局也太小了。你脑子里就默认，那些当神父的同性恋都得“出柜”才算解脱。你咋就想不明白呢？人家那么多过着圣洁生活的神职人员，压根就不想跟你们LGBT运动这摊子事儿扯上关系。因为人家守着贞洁、活在神恩里，早就看透了你",moral_accusation
4,zh,svo,耶稣,变成,变成,patient,野格发这么多抽象任务活该变成耶稣,other
30,zh,svo,新教,抢注,抢注,agent,新教进入我国时把基督教这个名称给抢注了导致的，国内的基督教会是新教。,political_interference
21,zh,svo,信徒,跑光,跑光,agent,"没错，说得太对了。那帮人从来不承认，别人不信了，可能是因为人家自己认真想过，觉得教会那套东西有毛病，甚至很不道德。

他们不这么想，非要把锅甩给你。在他们眼里，你走就是因为：一、你顽固不化，“听不进真理”；二、你被外面的“花花世界”给污染了（讽刺的是，他们说的“圣灵”恰恰就在这个真实世界里，可惜这帮",other
2,zh,svo,神父,一样,一样,agent,"上个月，美国教会那帮神棍又在作妖。一个主教直接发文，说凡是搞同性婚姻的，一律不准领圣餐、不给洗礼，死了连天主教堂的门都别想进，谁敢不听就按教规严惩。

这事儿本身就够烂了，但那帮所谓的“进步派”神父怎么就跟瞎了一样？被他们排挤的，还有那些想当神职的女性啊！她们一旦真被祝圣，下场不也一模一样是被开除教",other
2,zh,window,教会,虐待,虐待,unknown,"上个月，美国教会那帮神棍又在作妖。一个主教直接发文，说凡是搞同性婚姻的，一律不准领圣餐、不给洗礼，死了连天主教堂的门都别想进，谁敢不听就按教规严惩。

这事儿本身就够烂了，但那帮所谓的“进步派”神父怎么就跟瞎了一样？被他们排挤的，还有那些想当神职的女性啊！她们一旦真被祝圣，下场不也一模一样是被开除教",sexual_abuse_frame
17,zh,svo,教会,待人接物,待人接物,agent,"唉，俩人聊得好好的，非得有第三个人跳出来插嘴，张口就是阴阳怪气地骚扰人。你这么干，对得起你信的那位吗？你们教会就是这么教人待人接物的？

说真的，一个天主教徒，理应在道德上有点追求，不至于下作到搞网络霸凌吧。可翻来覆去我们看到的，就是你们这些口口声声笃信教义的人，干出来的事儿比《福音书》里做人的底线",other
17,zh,svo,教会,讽刺,讽刺,patient,"唉，俩人聊得好好的，非得有第三个人跳出来插嘴，张口就是阴阳怪气地骚扰人。你这么干，对得起你信的那位吗？你们教会就是这么教人待人接物的？

说真的，一个天主教徒，理应在道德上有点追求，不至于下作到搞网络霸凌吧。可翻来覆去我们看到的，就是你们这些口口声声笃信教义的人，干出来的事儿比《福音书》里做人的底线",other
38,zh,svo,邪教,确认,确认,patient,本来不信基督教是邪教的，看了贴吧的这些回复，确认了，百分百邪教。,other
