text,lang,tokenized_text,x,y,cluster_kmeans,cluster_hdbscan
当有人提出，宁可消灭人类，也要保护地球，他们代表了谁？ 他们有什么权力要求别人？为什么不自己自行了断，实现自己的理想？这不仅是当代宗教，更是极端邪教！根本目的在于通过看似崇高的教义，攫取权力和金钱，控制他人！ ​​​,zh,当 有人 提出 ， 宁可 消灭 人类 ， 也 要 保护 地球 ， 他们 代表 了 谁 ？   他们 有 什么 权力 要求 别人 ？ 为什么 不 自己 自行 了 断 ， 实现 自己 的 理想 ？ 这 不仅 是 当代 宗教 ， 更是 极端 邪教 ！ 根本 目的 在于 通过 看似 崇高 的 教义 ， 攫取 权力 和 金钱 ， 控制 他人 ！   ​ ​ ​,15.691598,-0.8247849,0,0
我以前喜欢送朋友圣经 //@杨兴权律师:好好爱惜圣经，看看自己的圣经多久没读了,zh,我 以前 喜欢 送 朋友 圣经   / / @ 杨兴权 律师 : 好好 爱惜 圣经 ， 看看 自己 的 圣经 多久 没读 了,14.618478,-0.47200996,0,0
哪样的强者？耶稣布啥水平你知道吗,zh,哪样 的 强者 ？ 耶稣 布 啥 水平 你 知道 吗,17.344067,-3.3535388,0,0
这就是他们当初30万招募天猫logo设计者设计出来的logo？我的上帝啊杀了我吧杀了我吧中国没法混了。。@哈蛇先生,zh,这 就是 他们 当初 30 万 招募 天猫 logo 设计者 设计 出来 的 logo ？ 我 的 上帝 啊 杀 了 我 吧 杀 了 我 吧 中国 没法 混 了 。 。 @ 哈蛇 先生,17.87203,-2.799939,0,0
人的责备佯装不见，人的夸赞“谦卑”传扬。这是罪。圣经说，人的夸赞也试验人。,zh,人 的 责备 佯装 不见 ， 人 的 夸赞 “ 谦卑 ” 传扬 。 这 是 罪 。 圣经 说 ， 人 的 夸赞 也 试验 人 。,14.795378,-0.62261814,0,0
牛人用神棍拉汽车秒杀众生！哇靠，大哥你这凶器太凶狠了！！！！你让哥情何以堪啊~~ http://t.cn/SUGk1p,zh,牛人用 神棍 拉 汽车 秒杀 众生 ！ 哇 靠 ， 大哥 你 这 凶器 太 凶狠 了 ！ ！ ！ ！ 你 让 哥情 何以堪 啊 ~ ~   http : / / t . cn / sugk1p,17.44194,-2.432288,0,0
在科学界早已被普遍接受的进化论，在很多基督徒眼中仅仅是一个科学假想，原因是，他们不相信由无数间接证据所组成的强大证据链与合理的逻辑推理，而只相信亲眼看到由猿进化为人的“直接证据”。,zh,在 科学界 早已 被 普遍 接受 的 进化论 ， 在 很多 基督徒 眼中 仅仅 是 一个 科学 假想 ， 原因 是 ， 他们 不 相信 由 无数 间接 证据 所 组成 的 强大 证据 链 与 合理 的 逻辑推理 ， 而 只 相信 亲眼看到 由 猿 进化 为 人 的 “ 直接 证据 ” 。,17.304058,-2.335571,0,0
世界几大宗教关于杀戮的教义，只有伊斯兰教如是说的：“不要杀人，除非出于正义”。这就能解释，非常自信于自己行为之正义初衷的极端分子的行径。严格说伊斯兰教遵循的是先知穆罕默德的箴言。其实穆罕默德还说过：“你们教人知识，给人方便，报人喜训，不可恐吓，若生气动怒时应当沉默。,zh,世界 几 大 宗教 关于 杀戮 的 教义 ， 只有 伊斯兰教 如是说 的 ： “ 不要 杀人 ， 除非 出于 正义 ” 。 这 就 能 解释 ， 非常 自信 于 自己 行为 之 正义 初衷 的 极端分子 的 行径 。 严格 说 伊斯兰教 遵循 的 是 先知 穆罕默德 的 箴言 。 其实 穆罕默德 还 说 过 ： “ 你们 教 人 知识 ， 给 人 方便 ， 报人 喜训 ， 不可 恐吓 ， 若 生气 动怒 时 应当 沉默 。,15.590437,-1.8893653,0,0
不信上帝的人企图借着什么都不想，来得着某种平安，那并非解决之道；那是下药麻醉自己，敲自己的头，把自己打成脑残。因为你失去知觉时，就不用活活忍痛受苦；但拒绝思考只是在逃避问题。圣经挑战这种思考方式，并说人若不信上帝就不可能有安静的心，“我的上帝说：恶人必不得平安”（赛57：21）,zh,不 信 上帝 的 人 企图 借着 什么 都 不想 ， 来得 着 某种 平安 ， 那 并非 解决之道 ； 那 是 下药 麻醉 自己 ， 敲 自己 的 头 ， 把 自己 打成 脑残 。 因为 你 失去知觉 时 ， 就 不用 活活 忍痛 受苦 ； 但 拒绝 思考 只是 在 逃避 问题 。 圣经 挑战 这种 思考 方式 ， 并 说 人 若 不信 上帝 就 不 可能 有 安静 的 心 ， “ 我 的 上帝 说 ： 恶人 必 不得 平安 ” （ 赛 57 ： 21 ）,15.856404,-1.224517,0,0
罗杰本来也是要死的人，耶稣布可是健健康康,zh,罗杰 本来 也 是 要死 的 人 ， 耶稣 布 可是 健健康康,17.434834,-3.199426,0,0
