index,original,back_translated,path
61,近日在上海的kfc，也碰到两位小朋友，称自己是学圣经的，要给我讲圣经故事。现在小朋友们很流行学习圣经吗？,最近，在上海的一家肯德基，我也遇到了两个孩子，他们声称在学习圣经，想给我讲圣经故事。现在孩子学习圣经很流行吗？,English
87,某人说：凡是腰封上写着仅次于圣经的书，都不值得看。。,有人说：任何一本在书腰上写着“仅次于圣经”的书，都不值得一读。,English
85,虽然都是一个神，只要争的是解释权，实际上主要是教派内部在争解释权。,尽管他们都信仰同一个神，只要争夺的是解释权，实际上，主要是内部教派在争夺解释权。,English
20,从创世纪，上帝就开始诅咒这个诅咒那个,从创世记开始，上帝就开始咒诅这个，咒诅那个。,English
0,⏰又不是宗教国家，跟上帝没关系,⏰ 这不是一个宗教国家，它与上帝无关。,English
56,有些人像上帝一样审视着那些晚睡和早起的人发的一条条的微博，他们就是失眠者。,有些人，像上帝一样，审查着那些熬夜早起的人发布的每一条微博帖子。他们是失眠者。,English
57,神棍！,江湖骗子！,English
62,闽南人信奉圣经!,闽南人相信圣经！,English
14,本来不信基督教是邪教的，看了贴吧的这些回复，确认了，百分百邪教。,本来我不相信基督教是邪教。看了贴吧这些回复后，我确认了，百分百邪教。,English
27,神棍...,江湖骗子...,English
74,怎么？读两句圣经就可以不用下地狱，就可以上天堂了，就可以不死了？加入宗教组织就是有信仰了？,啥？读几句圣经就意味着你不用下地狱，可以上天堂，而且不会死？加入一个宗教组织就意味着你就有信仰了？,English
32,这话深得我心//@小耿_北京: 很多人不理解为什么会有信上帝的生物学家，这本书给了一个答案：人家信的上帝不是那个三位一体的上帝。,这些话让我深有共鸣。//@XiaoGeng_Beijing: 很多人不明白为什么有生物学家相信上帝。这本书提供了一个答案：他们所相信的上帝不是那个三位一体的上帝。,English
33,"不是耶稣，圣城是天父建造的。
圣城建造历史只有几百年，所以天父跟耶稣没任何关系。是一个纯虚构的人",不是耶稣，圣城是由天父建造的。圣城的建造历史只有几百年，所以天父和耶稣没有任何关系。他是一个纯粹虚构的人物。,English
88,你看到的不是圣经，是不懂圣经的人写的乱七八糟的文章,你所看到的不是圣经；而是由不懂圣经的人胡乱拼凑的文章。,English
