term,freq
上帝,212
耶稣,211
基督教,205
说,189
圣经,121
基督徒,104
宗教,99
中国,97
基督,93
教会,92
神父,91
信,76
信仰,69
新教,67
没,65
里,64
修女,62
天主教,50
神,45
传教士,42
教义,41
人类,39
想,38
圣母,38
佛教,38
中,37
异端,36
问,35
信徒,34
教堂,32
死,31
事,30
更,30
狗,30
教,29
十字架,29
做,29
地狱,28
笑话,28
文化,27
回复,27
吃,26
牧师,26
美国,26
爱,26
历史,26
邪教,25
教皇,24
道德,24
找,24
中世纪,23
撒旦,23
传教,23
世界,22
教派,22
神棍,21
女人,21
年,21
只能,21
时代,21
孔子,21
天堂,21
孩子,21
讲,20
道教,20
请,19
真的,19
组织,18
钱,18
西方,18
国内,18
东西,18
真,18
时,17
国家,17
一种,17
罗马,17
理解,17
懂,17
这是,17
故事,17
喜欢,16
太,16
伊斯兰教,16
欧洲,16
听,16
两个,16
自由,16
精神,16
有人,15
念,15
加尔文,15
婊,15
出,15
是因为,15
生活,14
佛,14
搞,14
逻辑,14
文明,14
传播,13
反,13
东正教,13
写,13
社会,13
圣灵,13
张角,13
修道院,13
梵蒂冈,13
罪,12
本来,12
迷信,12
微博,12
话,12
一位,12
创造,12
邪恶,12
见,12
儿子,12
一句,12
读,12
主教,12
福音,12
佛祖,12
信教,12
不信,11
一点,11
机会,11
老,11
发现,11
记得,11
民族,11
犹太教,11
玩,11
男人,11
牺牲,11
恶魔,11
圣战,11
明白,11
意志,11
区别,11
皇帝,11
知识,10
儒家,10
教徒,10
图片,10
安息日,10
红领巾,10
真理,10
道,10
犹太人,10
十字军,10
关系,10
跑,10
地方,10
成,10
阿米,10
挺,10
确实,10
事情,10
世俗,10
亚当,10
禁果,10
教廷,10
传统,10
干,10
穆斯林,10
耶稣基督,10
保护,9
送,9
解释,9
心,9
思想,9
宣传,9
儿童,9
理性,9
宗教信仰,9
指,9
找到,9
教育,9
能力,9
手上,9
洪秀全,9
骂,9
主,9
恶心,9
祷告,9
包括,9
好像,9
算是,9
忏悔,9
新,9
发生,9
脸,9
特别,9
爹,9
高,9
证明,9
世人,9
我来,9
目的,8
朋友,8
当初,8
杀,8
科学,8
正义,8
完整,8
传,8
变,8
魔鬼,8
钉,8
政治,8
信佛,8
男,8
肯定,8
丢,8
贪婪,8
告诉,8
带来,8
至少,8
真主,8
心灵,8
估计,8
堕落,8
受,8
小心,8
全世界,8
影响,8
感觉,8
小男孩,8
有个,8
参加,8
宽恕,8
不去,8
名字,8
面前,8
一条,8
称,8
权力,7
律师,7
脑残,7
方式,7
永远,7
信奉,7
情况,7
点击,7
展开,7
查看,7
活动,7
旧约,7
信称义,7
为啥,7
希望,7
审判,7
伊斯兰,7
势力,7
一只,7
身上,7
当年,7
派,7
圣诞,7
快,7
复活,7
一群,7
不到,7
家里,7
建立,7
泪,7
几个,7
站,7
利用,7
主义,7
名义,7
业务,7
结婚,7
罪人,7
转发,7
亵渎,7
有没有,7
人生,7
改变,7
女,7
帮,7
惩罚,7
形象,7
离开,7
导致,7
女孩,7
耶稣会,7
走,7
所有人,7
基督教徒,7
现实,7
拯救,7
砸,7
黑,7
诅咒,7
反对,7
点,7
代表,6
