,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Clustering
0,1,[gemini-embedding-001](https://ai.google.dev/gemini-api/docs/embeddings),100%,,,3072.0,2048.0,61.19,61.19,61.19
1,2,[Qwen3-Embedding-8B](https://huggingface.co/Qwen/Qwen3-Embedding-8B),100%,14433.0,7.567,4096.0,32768.0,60.22,60.22,60.22
2,3,[Qwen3-Embedding-4B](https://huggingface.co/Qwen/Qwen3-Embedding-4B),100%,7671.0,4.022,2560.0,32768.0,59.78,59.78,59.78
3,4,[Seed1.6-embedding-1215](https://console.volcengine.com/ark/region:ark+cn-beijing/model/detail?Id=doubao-embedding-vision),44%,,,2048.0,32768.0,61.37,61.37,61.37
4,5,[KaLM-Embedding-Gemma3-12B-2511](https://kalm-embedding.github.io/),55%,44884.0,11.76,3840.0,32768.0,60.27,60.27,60.27
5,6,[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R),100%,13563.0,7.11,4096.0,32768.0,58.52,58.52,58.52
6,7,[llama-embed-nemotron-8b](https://huggingface.co/nvidia/llama-embed-nemotron-8b),100%,28629.0,7.505,4096.0,32768.0,58.99,58.99,58.99
7,8,[embeddinggemma-300m](https://ai.google.dev/gemma/docs/embeddinggemma/model_card),100%,1155.0,0.308,768.0,2048.0,57.11,57.11,57.11
8,9,[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct),⚠️ NA,29449.0,7.72,4096.0,32768.0,57.21,57.21,57.21
9,10,[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct),⚠️ NA,6776.0,1.78,8960.0,32768.0,57.31,57.31,57.31
10,11,[Octen-Embedding-8B](https://huggingface.co/bflhc/Octen-Embedding-8B),100%,14433.0,7.567,4096.0,32768.0,57.78,57.78,57.78
11,12,[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),100%,13563.0,7.11,4096.0,32768.0,55.96,55.96,55.96
12,13,[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5),44%,5887.0,1.54,8960.0,131072.0,54.56,54.56,54.56
