Topic,Count,Name,Representation,Representative_Docs
-1,1182,-1_catholic_日本_統一教会_カトリック,"['catholic', '日本', '統一教会', 'カトリック', '教', '基督徒', '信者', 'https', 'だけ', 'catholics']","['偽善 者 が よく 使う 御 言葉 「 平和 を 造りだす 人 は 幸い で ある 」   偽善 者 ども が 平和 を 作り出せ た こと など 一 度 でも ある だろ う か 。   日本 の 反核 団体 が ノーベル 平和 賞 を 受賞 し た が   この 人 たち は 核兵器 を なく せ た 実績 で も ある の か ？   反戦 、 反核 、 言う だけ なら 誰 に でも 出来る 。   偽善 者 ども は 戦争 の 一つ すら 終わら せ た 実績 が 無い 。   教会 内 に 入り込ん だ 共産 主義 者 か 、 自己 満足 し てる だけ の 偽善 者 だろ 。   二 千 年 前 の 主 キリスト は 偽善 者 を 断罪 し た が 、 現代 の 教会 に も 偽善 者 は 多い 。', 'くだらない 罪 意識 から 離れ なさい   キリスト 教 で は イエス の 贖罪 により   罪 は 消え た という 設定 な の で は あり ませ ん か ？   だっ たら もう 罪 は 消え た と 思う べき でしょ う   もう 罪 に 固執 する こと は お やめ なさい と いう こと です   ユダヤ 人 が 虐殺 さ れ た の は 罪 意識 に 固執 し た ため で あり 、   また イエス 殺害 の 罪 を かぶせ られ た から で あり ます   だが 、 ユダヤ 教 に 神 が いる の なら ば 、 そういった 災難 から 守っ て あげ なけれ ば なり ませ ん   だが 、 その 願い も むなしく ナチス ドイツ により 無残 に 殺さ れ まし た   そこ に 神 は いる の でしょ う か ？   ユダヤ 教 に 神 は いる の でしょ う か ？   また キリスト教 で ある ヒットラー は イエス の 仇討 ちの つもり で ユダヤ 人 を 虐殺 し た   キリスト 教 が まとも な の でしょ う か ？   キリスト 教 に 神 は いる の でしょ う か ？   多く の 日本人 は こう いっ た 、 ユダヤ キリスト 教 を まとも だ と は 思っ て い ない から こそ   ユダヤ キリスト 教 に 神 など い ない と 思っ て いる から こそ   日本人 の ９ ９ ％ は ノン クリ な の です   日本人 の ほとんど が 、 ユダヤ キリスト 教 の 基地 害 教義 に は 洗脳 さ れ ない の です   そして それ は 正しい 判断 な の です 、   我が国 日本 の 平和 な 神 の 教え こそ 真理 な の です', '参政 党 は 新興 宗教 と れい わ 新選 組 の 山本 代表 に 言わ れ た 。   参政 党 が 日本人 ファースト と 言っ て も 、   ユダヤ と ヤマト が 同 祖 と 作り話 を 信じ て 、   アメリカ の 富豪 ユダヤ 人 と 、   福音 派 キリスト 教 に 共感 を 持っ て いる よう です 。   そんな 状態 で 、   本当に 大和 民族 ファースト 、   日本 国籍 ファースト と 言える でしょ う か 。   参政 党 が 極右 なら 、 極左 の 、 れい わ 新選 組 に 、   中道 から 左 的 な 国民 民主党 は 、   日本 共産党 の 様 に 、 支持 さ れる べき でしょ う か 。   実際 、 れい わ 新選 組 は 、 日本 を アメリカ の 植民 地 と 言っ て 、   結構 、 大和 民族 の 独立 を 志向 する 為 に 、 右翼 的 です 。   中国共産党 も 漢 民族 中心 主義 な ので 、   漢 民族 の 極右 で あり 、   チベット 人 ・ ウイグル 人 の 虐殺 を し て い ます 。   北朝鮮 労働党 も 朝鮮 民族 中心 主義 で 、   朝鮮 民族 の 極右 で あり 、   韓国 と 違い 、 中華 街 が 国内 に 存在 せ ず 、   反 体制 派 は 完全 統制 区域 （ 強制 収容 所 ） で 、   国民 の 純化 の 為 に 、 拷問 虐殺 さ れ ます 。   日本 共産党 は 頭 が 平和 で 、   警察 や 自衛隊 に 平和 を 守っ て 貰い ながら 、   自衛隊 の 存在 反対 の よう な メデタイ 事 を 言っ て ます 。   本当に 、 日本 共産党 は 日本人 の 安全 を 考え て いる の でしょ う か 。   在日 朝鮮 人 ヤクザ の 、 日本 女性 ａ ｖ 女優 の ｓ ｍ 殺人 を 助け ず 、   韓国 帰化 人 ヤクザ の 、 創価学会 の 不良 外国 人 を 増やす 法律 を 阻止 せ ず 、   何 が 、 朝鮮 人 の 様 に 夫婦 別姓 など と 、 大和 民族 の 習慣 を 破壊 する の を 、   手伝っ て いる の でしょ う か 。   在日 朝鮮 人 が キリスト 教 な の は 、   日本人 が 江戸 時代 以来 、   寺 請制度 で 、 仏教 で 葬式 と 墓守 を し て い た 為 で あり 、   死ん で も 、 仏教 の 墓 が 用意 さ れ て 無い から 、   キリスト 教 しか 選べ ない だけ な の です 。   本当に 日本 共産党 は 、 問題 が 多い 政党 です 。']"
0,153,0_pope_francis_catholic_teaching,"['pope', 'francis', 'catholic', 'teaching', 'mass', 'vatican', 'holy', 'ii', 'bishop', 'catholics']","['dear father reese, giving pope francis a grade is way too premature.  your essay gives worthwhile things to ponder, but - with all due respect - passing a grade is simply preposterous and does, i am afraid, reveal some lack of humility which is something you might consider working on.  zhou enlai, the first prime minister of the people\'s republic of china, famously responded to the question what he thinks of the french revolution: ""that\'s much too early to tell"".  though i am no fan of the man, i do agree he makes a terrific point.  so, let pope francis do his necessary reform work in an environment that still can stand comparison with the roman and byzantine imperial courts of yore.  francis dismantles the vatican court shrewdly, and step by step.  i, for one, consider it a miracle he is still alive.  to poison an whole canteen at santa marta makes such a mess - it would be far easier to dispatch him had he lived in the remote and easily controlled papal apartments.  not kidding...', 'i largely agree with the effect summorum pontificum has had, especially with ""mainstreaming"" a certain critical view, even rejection, of vatican ii. \n\nthat is why i find it all the more strange (as well as lamentable) that credible reports indicate that pope francis is close to an agreement with the sspx which would re-admit them to the church without requiring them to specifically assent to all of the teachings of vatican ii, specifically the declaration on religious liberty. if these reports result in this unfortunate circumstance, i hope those who have been critical of benedict\'s decision with regard to the latin mass will be as critical of francis for giving in to their agenda. after all, it was benedict who insisted that the sspx assent in writing to all the teachings of vatican ii, specifically religious liberty & freedom of conscience, as a non-negotiable condition of their re-admission (which of course they would not do).', ""you're right: pope john paul was committed to the re-centralization of authority/power, and to that end he actively worked to undermine the authority and effectiveness of the various ecclesial structures that had emerged in the post-council years to facilitate collegial decision making.  and as we know all too well he sought out for bishops men who were chosen not for their pastoral experience or for their wisdom, but rather for their loyalty to the person of the pope.""]"
1,110,1_trump_white_clinton_america,"['trump', 'white', 'clinton', 'america', 'donald', 'evangelical', 'hillary', 'republican', 'vote', 'president']","[""i agree bill, and i think right-wing evangelicals should be the first in line to reap the positive benefits of super negative experiences. chances are, after trump gets done grabbing america by the pussy, lots of americans will be looking at the group that most single-handedly brought donald trump into a position to really stick it to america. it's no surprise to me that a sex abuser like trump would be so heartily supported by right-wing evangelicals. there are so many of them amongst that group. it's no wonder they identify with him."", 'forget the other candidates.   what about mike pence?    this is a guy who came out of nowhere, and (should trump win) will be a heartbeat away from the presidency.    should trump lose, pence has leapfrogged to the top of the contenders list for 2020.     the term ""christian taliban"" could be fairly applied to pence - he has extreme social conservative views.\n\npeople used to joke that trump was a democratic plant to blow up the gop.     but it\'s becoming more likely that trump was a tea party plant to make everybody else in the gop (including tea partier\'s like cruz and pence) look ""moderate"" by comparison.', ""the christians who have cast their lot with donald trump have made a faustian bargain with the devil, and it will surely come back to haunt them. trump is a christian in name only, and the christians who lavished him with their votes and continue to lavish him with their support would realize this if only they would open their eyes and ears to the truth that he's a complete charlatan. but that will never happen in their hermetically-sealed echo chamber. and so they will continue to delude themselves as they willfully cast a blind eye on his abuses of power, his utter disdain for the poor and needy whom jesus championed, his blatant favoritism for his own billionaire class over everyone else, and of course his demonization of everyone who is not white and christian. people who actually read the gospels have no problem figuring out what jesus christ would make of donald trump, which makes me wonder if these trump-supporting christians are reading from a completely different book.""]"
2,72,2_孔子_道教_手上_布,"['孔子', '道教', '手上', '布', '佛教', '两个', '传教', 'christ', '楼主', '供奉']","['你 认为 的 孔子 比不上 耶稣 ， 是因为 你 美爹 英爸 能 出去 侵略 。 孔子 留下 的 思想 没有 武装 起 你 这种 盲流 ， 没 出去 搞 殖民 ， 过 200 年 再 比较 ， 你 还 会 问 为什么 耶稣 比不上 孔子', '鸦片 吸多 了 一天天 瞎编 乱造 ， 封建迷信 ， 耶稣 不是 孔子 的 儿子 ， 我 孔子 孙子 。', '因为 耶稣 这种 角色 是 周公 和 孔子']"
3,66,3_children_gay_abuse_marriage,"['children', 'gay', 'abuse', 'marriage', 'priests', 'clergy', 'sexual', 'catholic', 'married', 'communion']","[""the ignoring of the resignation of marie collins is beyond sad.  it is a bench mark moment in the church's consistent refusal to deal with the implications of clergy sexual abuse.  better to ignore a victim given official sanction by the pope than deal with the reality of 'ontologically changed' priests sexually exploiting that 'change' for sex with women, men, and most especially children.  this won't change until lay catholics, and clergy who get the problem, insist it changes.  pope francis is not one of the 'enlightened' clergy when it comes to this issue."", ""this report is very sad.  the single most important issue facing the catholic church as a whole is the sexual abuse of minors and others by clergy and religious.  if this commission does not come up with a strong set of procedures and rules for every diocese to follow in these cases, it is useless. these procedures should include the removal and excommunication of any bishop who participates in or covers up sexual abuse -- no plum retirement assignments -- they're out and on their own financially and legally.  \nif pope francis can't get this done, who can?  and if it can't be done, what's to become of the church?"", '""the report also rejects the claim that the second vatican council and the sexual revolution were responsible for the outbreak of child sexual abuse, as some have claimed"".\n(from p.193)\n* the impact of the sexual revolution, particularly on psychosexually immature men, whose sexual immaturity and deprivation led to distorted cognitive thinking about children and whose repressed sexual curiosity led to greater sexual experimentation;\n* the greater general turbulence in the catholic church during and immediately after the second vatican council, with the celibacy debate masking the deeper crisis about the role of the priest\n* ‘young priests unilaterally abandoned the obligation to remain celibate, while some people opted for the priesthood in the expectation it would be abolished’, leading to a conscious rejection of the celibacy rules by many clergy.\nmuch of this relates more to the abuse of adults.\nhttps://eurekastreet.com.au/article.aspx?aeid=52339']"
4,65,4_統一教会_自民党_ネトウヨ_統一,"['統一教会', '自民党', 'ネトウヨ', '統一', 'パヨク', '団体', '左翼', '保守', '日本人', 'カルト']","['>> 105   ＞ 統一 ガー と 叩く フリ し て 実は 自民党 叩き だけ し たい 魂胆 丸見え   モノ に は 順序 が ある   岸 信介 あたり から 始まっ た 自民党 と 統一教会 の ズブズブ な 関係   本丸 を 叩か なけれ ば 奴ら は 生き延びる だけ   自民党 だけ が 叩か れ ない よう に 統一教会 は 他 の 党 に も 近づい て おい た   自民党 を 叩こ う もの なら 、   自分 ら の 所属 する 党 に も 統一 と 関係 ある 議員 が いれ ば   「 諸刃 の 剣 」 に なる から な   だから 統一教会 に 騙さ れ て は ダメ な ん だ よ', '14   パロスペシャル ( 愛媛 県 )   [ rs ]   sage   2025 / 11 / 23 ( 日 )   21 : 24 : 11 . 05   id :/ zqllmuf 0   >> 7   おそらく ネトウヨ が 敵対 視 する 韓国 系 の 統一教会 が 指導 する 法案 を 受け入れる の か という 矛盾 を 指摘 し て マウント とっ て 混乱 さ せる つもり な ん だろ う けど 大前提 の 統一教会 が パヨ の 妄想 だ から 一般 から し たら 世迷い言 を 発信 する キチガイ 爺 に しか 見え ん わ な   https :// hayabusa 9 . 5 c ... i / news / 1763900057 / 14   19   キャプチュード ( 東京 都 )   [ us ]   2025 / 11 / 23 ( 日 )   21 : 28 : 42 . 04   id : nm 1 bcvmh 0   >> 14   ここ で この スレ 終わっ て た w   https :// hayabusa 9 . 5 c ... i / news / 1763900057 / 19', 'なお 、 この 裁判 は “ パ さん の 妄想 ” で あり 存在 し て ない   ソース   14   パロスペシャル ( 愛媛 県 )   [ rs ]   sage   2025 / 11 / 23 ( 日 )   21 : 24 : 11 . 05   id :/ zqllmuf 0   >> 7   おそらく ネトウヨ が 敵対 視 する 韓国 系 の 統一教会 が 指導 する 法案 を 受け入れる の か という 矛盾 を 指摘 し て マウント とっ て 混乱 さ せる つもり な ん だろ う けど 大前提 の 統一教会 が パヨ の 妄想 だ から 一般 から し たら 世迷い言 を 発信 する キチガイ 爺 に しか 見え ん わ な   https :// hayabusa 9 . 5 c ... i / news / 1763900057 / 14   19   キャプチュード ( 東京 都 )   [ us ]   2025 / 11 / 23 ( 日 )   21 : 28 : 42 . 04   id : nm 1 bcvmh 0   >> 14   ここ で この スレ 終わっ て た w   https :// hayabusa 9 . 5 c ... i / news / 1763900057 / 19']"
5,61,5_実在_evidence_logical_人間,"['実在', 'evidence', 'logical', '人間', 'original', 'rome', 'literal', '奇跡', 'prophets', '理解']","['イエス ・ キリスト という 人物 は 実在 し ない   という こと は 調べる まで も なく 明白 な ん よ ？   イエス ・ キリスト と は 「 イエス が 救い主 で ある 」 という こと を 表し た 言葉 だ から ね   信仰 告白 の 意味 が 含ま れる の で あっ て 、 単なる 人間 イエス という 意味 で は ない   当然 、 人間 イエス の 実在 すら 証明 でき ない の だ から 、 一般 的 な 科学 的 真実 として イエス ・ キリスト （ メシア ） の 実在 なんぞ 証明 でき ない', '>> 84   違う 。 全く 話 が わかっ て ない 。   クリスチャン にとって は 人物 イエス の 存在 が 証明 さ れ た 方 が 望ましい 。   しかし 、 あらゆる 古代 語 、 考古学 の 研究 者 が 史料 を 調べ 尽くし て も 実証 でき ない 。   新 史料 が 発見 さ れる まで は 諦める しか 無い 。   従って 、 クリスチャン は 実証 でき ない もの の 聖書 から 読み取れる 範囲 で 信仰 を する しか ない 。   という 状況 の こと を 言っ て いる 。   結論 として は 、 イエス は 実在 の 人物 で ある こと は 証明 でき ない 。   古代 の 言葉 に 素養 の ない 人 たち が いくら 調べ て も 見つける こと は 不可能 だろ う 。   一 次 資料 を 調査 でき ない 人間 が 、 日本語 に 翻訳 さ れ た もの を 読ん だ って 、   同じ 結論 に 至る だけ 。   それら すら 読みこなせる か 怪しい もの だ が 。   しかも 、 人物 が 「 イエス ・ キリスト 」 で ある か の よう な 基本 中 の 基本 的 な 認識 すら 間違っ て いる 。   一体 そこ に どんな 正しい 議論 が 成り立ち うる の か な 。   自由 と おっしゃる が 、   それ は 21 世紀 の 現在 に 、 「 お 空 は 丸い 天井 です よ ！ お 星 様 は 天井 の 穴 です ！ 」 と いう くらい   ただ の 好き 勝手 と 言う 意味 に しか なら ない 。   真っ 暗闇 の 限り ない 迷路 を 彷徨 う だけ だ 。   まったく 筋 の 悪い 話 だ と 忠告 し て いる の だ よ 。   vip とか なん j とか の 板 で バカ 話 として トン デモ 論 やる の は 止め ない が 。', 'no offence, but calling them ""bronze age"" prophets and referring to their prophecy as superstition is only labelling.  that isn\'t an argument.  consider it this way - say, for the sake of argument, that you were someone who lived 2000 years ago, and saw everything that is written in the bible about jesus.  say that you saw the blind made to see, cripples made to walk (and leap) and the dead raised.  there would be no question that you would have to believe.  consider then, what evidence could you leave behind for those who had _not_ seen?\n\ncertainly, this evidence is not _proof_ in the logical, mathematical sense, but it _is_ evidence.  dismissing it is as impossible is a philosophical _choice_, made a priori, without proof.\n\ni find it convincing.  i choose to believe.  that is no less reasonable or logical a choice than the alternative.']"
6,58,6_新教_天主教_国内_东正教,"['新教', '天主教', '国内', '东正教', '教派', 'dying', '教廷', '天主', '组织', 'anglican']","['明显 tz 教 ， 排除 新教 和 东正教 。 他 一个 意大利 裔 美国 人 ， 根正苗红 的 天主教 家庭 。 咋 看 也 不 可能 是 东正教 ， 新教 更 不 可能 了 ， 因为 新教 压根 就 没有 神父', '新教 并非 是 路德宗 开始 的 。 路德宗 是 结果 而 不是 起因', '内地 基督教 一词 ， 一般 专指 新教 。']"
7,54,7_教_キリスト教_隣人_殺す,"['教', 'キリスト教', '隣人', '殺す', '悪い', '殺し', '犠牲', '馬鹿', '繰り返し', '実験']","['キリスト 教 で は 、 神 を 信じ ない の は 罪 という こと に なっ て い ます 。 ほんで キリスト教 が 悪い 。', 'キリスト 教 = 邪教', '人類 史上 最も 人 を 殺し てる の が キリスト 教 だ し な   まぁ もっと 言え ば ユダヤ 教 と その 分派 全部 だ けど   キリスト 教 が 一番 酷い']"
8,51,8_統一教会_日本_三_自民党,"['統一教会', '日本', '三', '自民党', '統一', '会議', '韓国', 'l', '商法', '派']","['youtube で は 統一教会 、 日本 会議 、 自民党 阿部 派 から 、 金 で 雇わ れ た 連中 が 、 高市 早苗 擁護 の 動画 を 、 突然 大量 に up し 始め た 。 その コメント 欄 に は 、 金 で 雇わ れ た 提灯持ち 達 が 、 大量 に 高市 早苗 擁護 の 書き込み を し て いる 。 こいつ ら を 動かす ため に 、 統一教会 が 霊感 商法 、 被害 者 や 犠牲 者 から 巻き上げ た 莫大 な 金 が 、 相当 使わ れ て いる はず ！ youtube   という の は 、 その 金 を 受け取る 人間 が 居れ ば 、 統一教会 に 都合 の いい デタラメ 動画 を いくらでも up できる し 、 統一教会 に 都合 の いい デタラメコメント を いくらでも 書き込む 事 も 出来る し 、 統一教会 に 都合 の いい 視聴 回数 を いくらでも 増やす 事 が 出来る 。 日本 会議 と 統一教会 を 一刻 も 早く 潰さ ない と 、 泣き を 見 なけれ ば なら ない 日本人 が どんどん 増え て いく 。 それ を 考え たら 、 今 は 、 日本 会議 と 統一教会 の 霊感 商法 の 加害 者 を 何 人 か 叩き 殺す の は 、 やむを得ない 事 だ と 思う ！', '自民党 、 安倍 派 を 信用 し て は 、 いけ ませ ん 。 自民党 安倍 派 、 日本 会議 、 統一教会 、 中国共産党 、 すべて 、 裏 で 繋がっ て い ます 。 日本 会議 という の は 、 かつて 、 勝 共 連合 と 言わ れ た 、 統一教会 の 一部 です 。 自民党 、 特に 安倍 派 と の 深い 繋がり が あり ます 。 そして 、 彼ら は 、 霊感 商法 の 被害 者 や 犠牲 者 を 食い物 に し て いる 、 日本 国民 の 敵 です 。 そして インターネット 上 に 出 て くる ネトウヨ と 言う の は 、 日本 会議 （ 統一教会 ） に 雇わ れ た サクラ の 事 です 。 彼ら は 一 人 で アカウント を 500 くらい 持っ てる 、 サクラ 代行 業者 です 。', 'youtube で は 統一教会 、 日本 会議 、 自民党 阿部 派 から 、 金 で 雇わ れ た 連中 が 、 高市 早苗 擁護 の 動画 を 、 突然 大量 に up し 始め た ！ その コメント 欄 に は 、 金 で 雇わ れ た 提灯持ち 達 が 、 大量 に 高市 早苗 擁護 の 書き込み し て いる 。 こいつ ら を 動かす ため に 、 統一教会 の 霊感 商法 、 被害 者 や 犠牲 者 から 巻き上げ た 金 が 、 相当 使わ れ て いる はず ！ 日本 会議 と 統一教会 を 一刻 も 早く 潰さ ない と 、 泣き を 見 なけれ ば なら ない 日本人 が どんどん 増え て いく ！ それ を 考え たら 、 今 は 、 日本 会議 と 統一教会 の 霊感 商法 の 加害 者 を 何 人 か 叩き 殺す の は 、 やむを得ない 事 だ と 思う ！']"
