Topic,Count,Name,Representation,Representative_Docs
-1,1013,-1_catholic_教_日本_統一教会,"['catholic', '教', '日本', '統一教会', 'https', 'catholics', 'ユダヤ', 'abortion', '日本人', 'life']","['・ サヨクガー   ソ連 を 捨て た ロシア が 憎く て 左翼 は 戦争 前 から 反 ロシア です   意味 不明 に 左翼 連呼 は 統一教会 信者 の 可能 性 有り   ・ キョウサンシュギガーレッドチームガー   そもそも ロシア は 共産 主義 で は あり ませ ん ロシア 正教 中心 の キリスト教 国 です   ロシア と 意味 不明 に 共産 主義 を 繋げる の は 統一教会 信者 の 可能 性 有り   あと ロシア と 中国 って たいして 仲良く ない ん だ よ ね   ・ 9 条 ガー   護憲 派 ガー   9 条 は 防衛 と 何 の 関係 も ない 9 条 は 核 武装 すら 禁止 し て ない   海外 派兵 する か どう か で しか ない から 一緒 に 語る の は 統一教会 信者 の 可能 性 有り   ・ それ 誰 が 言っ てる の ？ と 分け 分から ん 極 解 で 印象 操作   反 ワクガー 共産 主義 ガー 意味 不明 に 繋げる の は 統一教会 信者 の 可能 性 有り   ・ 反論 不能 に なっ て も 同じ 質問 を 繰り返す 知的 障害 起こし 荒らし だす   ・ やたら と 精神 的 勝利 や マウント 取り た がる   これ は カルト 信者 の 特徴 な ので 統一教会 信者 の 可能 性 有り   ・ 統一 協会 は 神 の 為 なら 嘘 を つい て いい と 教え られる   ・ 統一教会 は 統一 協会 だ と 隠し て 潜り込ん で くる   ・ 統一教会 は 海外 で は 反日 、 国内 で は 反共 という よう な 二枚舌 を 使う   ・ 統一教会 は 都合 用 良く 敵対 者 に 「 統一教会 信者 」 という デマ を 流す   ・ 統一教会 は 組織 ぐるみ で 悪質 な 嫌がらせ 糾弾 しよ う と し ます   ・ 文 鮮明 や 韓 鶴子 の 教え は 保守 で は なく 左翼 に 近い', 'くだらない 罪 意識 から 離れ なさい   キリスト 教 で は イエス の 贖罪 により   罪 は 消え た という 設定 な の で は あり ませ ん か ？   だっ たら もう 罪 は 消え た と 思う べき でしょ う   もう 罪 に 固執 する こと は お やめ なさい と いう こと です   ユダヤ 人 が 虐殺 さ れ た の は 罪 意識 に 固執 し た ため で あり 、   また イエス 殺害 の 罪 を かぶせ られ た から で あり ます   だが 、 ユダヤ 教 に 神 が いる の なら ば 、 そういった 災難 から 守っ て あげ なけれ ば なり ませ ん   だが 、 その 願い も むなしく ナチス ドイツ により 無残 に 殺さ れ まし た   そこ に 神 は いる の でしょ う か ？   ユダヤ 教 に 神 は いる の でしょ う か ？   また キリスト教 で ある ヒットラー は イエス の 仇討 ちの つもり で ユダヤ 人 を 虐殺 し た   キリスト 教 が まとも な の でしょ う か ？   キリスト 教 に 神 は いる の でしょ う か ？   多く の 日本人 は こう いっ た 、 ユダヤ キリスト 教 を まとも だ と は 思っ て い ない から こそ   ユダヤ キリスト 教 に 神 など い ない と 思っ て いる から こそ   日本人 の ９ ９ ％ は ノン クリ な の です   日本人 の ほとんど が 、 ユダヤ キリスト 教 の 基地 害 教義 に は 洗脳 さ れ ない の です   そして それ は 正しい 判断 な の です 、   我が国 日本 の 平和 な 神 の 教え こそ 真理 な の です', '参政 党 は 新興 宗教 と れい わ 新選 組 の 山本 代表 に 言わ れ た 。   参政 党 が 日本人 ファースト と 言っ て も 、   ユダヤ と ヤマト が 同 祖 と 作り話 を 信じ て 、   アメリカ の 富豪 ユダヤ 人 と 、   福音 派 キリスト 教 に 共感 を 持っ て いる よう です 。   そんな 状態 で 、   本当に 大和 民族 ファースト 、   日本 国籍 ファースト と 言える でしょ う か 。   参政 党 が 極右 なら 、 極左 の 、 れい わ 新選 組 に 、   中道 から 左 的 な 国民 民主党 は 、   日本 共産党 の 様 に 、 支持 さ れる べき でしょ う か 。   実際 、 れい わ 新選 組 は 、 日本 を アメリカ の 植民 地 と 言っ て 、   結構 、 大和 民族 の 独立 を 志向 する 為 に 、 右翼 的 です 。   中国共産党 も 漢 民族 中心 主義 な ので 、   漢 民族 の 極右 で あり 、   チベット 人 ・ ウイグル 人 の 虐殺 を し て い ます 。   北朝鮮 労働党 も 朝鮮 民族 中心 主義 で 、   朝鮮 民族 の 極右 で あり 、   韓国 と 違い 、 中華 街 が 国内 に 存在 せ ず 、   反 体制 派 は 完全 統制 区域 （ 強制 収容 所 ） で 、   国民 の 純化 の 為 に 、 拷問 虐殺 さ れ ます 。   日本 共産党 は 頭 が 平和 で 、   警察 や 自衛隊 に 平和 を 守っ て 貰い ながら 、   自衛隊 の 存在 反対 の よう な メデタイ 事 を 言っ て ます 。   本当に 、 日本 共産党 は 日本人 の 安全 を 考え て いる の でしょ う か 。   在日 朝鮮 人 ヤクザ の 、 日本 女性 ａ ｖ 女優 の ｓ ｍ 殺人 を 助け ず 、   韓国 帰化 人 ヤクザ の 、 創価学会 の 不良 外国 人 を 増やす 法律 を 阻止 せ ず 、   何 が 、 朝鮮 人 の 様 に 夫婦 別姓 など と 、 大和 民族 の 習慣 を 破壊 する の を 、   手伝っ て いる の でしょ う か 。   在日 朝鮮 人 が キリスト 教 な の は 、   日本人 が 江戸 時代 以来 、   寺 請制度 で 、 仏教 で 葬式 と 墓守 を し て い た 為 で あり 、   死ん で も 、 仏教 の 墓 が 用意 さ れ て 無い から 、   キリスト 教 しか 選べ ない だけ な の です 。   本当に 日本 共産党 は 、 問題 が 多い 政党 です 。']"
0,81,0_kill_问_属_あ,"['kill', '问', '属', 'あ', '见', '天使', '白人', '肉', 'お前', '十字架']","['あっ 、 いい こと 思いつい た 。 w   伝説 の クソゲー ” ガンオン ” 復活 な ん だ けど 、 windows 抜き で やろ う か な ・ ・ ・ ・   ガンオン 2 な ・ ・ ・ それ 以降 の シリーズ 。   シェア として は 一応 世界 な ん だ が 何せ 日本 の クソゲー です から ね ・ ・ ・ 無理 に と は 言い ませ ん よ 白人 。   macos 、 linux 系 、 pc 向け os に し た tron など で どう よ 。   デュアルブート し とけ こら あ ！ ！   pc 初心者 の 素人 は くる な ！ ！   これ で intel 、 amd 、 nvidia も 安泰 だろ う ・ ・ ・ 。   白人 で も basirisk 系 は いい か な ・ ・ ・ 理解 が ある から そこ は 。   それ 設定 です から ね ・ ・ ・ 支配 層 設定 。   俺 様 の レポート を 受け入れ て くれる 人 のみ で いい から ・ ・ ・ 。   神様 ごっこ し て いる 蓮 中 に は 飽き 飽き だ キリスト 教 。   この やろ う てめえ ・ ・ ・ 聖書 読め 旧教 。   ミサ 出 て いい 気 に なん な こら あ ！ ！   文盲 か よ 底辺 信者 ども 。   俺 様 ならびに 俺 様 の 勢力 に 手出し たら 許さ ん ぞ アヌンナキ と yhwh & jesus ＆ エンリル よ 。   悪魔 の 連中 とき たら ・ ・ ・ ・ 根性 フィルター 。', '共存 不可 な のに いつ まで やる ん だ こんな こと 。 。   イエス お前 ・ ・ ・ 責任 とれ よ 。   俺 様 、 お前 とか ヤクザ 基本 的 に 嫌い だ から エロ い 人 lilith と lilin 。   恫喝 か よ 山口組 の lilin 。   殺し ます よ ジェノサイド 。   しばらく 付き合えよ 木山 と 前川 、 馬場 くん ならびに ヒット マン たち 。   肉 に さ れる ぞ こいつ ら と 付き合っ て いる と amy 属 。   性癖 悪い の は 実は こいつ ら だっ た 阿弥陀 から の ・ ・ ・ ・ 。   まあ 、 こいつ ら の 中 でも 独立 し たい やつ も いる だろ う に 棲み 分け 。   安易 に 受け入れ ない ほう が いい 案件 。 。   どこ で キャッチ さ れる か わから ん ぞ よ 上級 天使 の 阿弥陀 と 素 戔嗚 & barvert & satan と jesus & japhkiel ＆ エンリル 。   窓口 ・ ・ ・ ・ すなわち 仕掛け て くる の barverit らしい お ブリ テン の クソジジイ 。 。   生き て ゆけ ない の は 無能 な 証拠 amy 属 すなわち 阿弥陀 と その 配下 の 天使 たち 。 。 。   いつ まで 神様 ごっこ を ・ ・ ・ イエス よ 。   精神 疾患 を 見直せ 阿弥陀 の 。', '結果 、 白人 女 は 大体 が 安産 型 故に 子供 作っ て 愛 を 語る スルッ と お産 ・ ・ ・ 。   そして 、 うん この よう に 公衆 便所 で 赤ちゃん 産ん で 流し ちゃっ た ぜ こら あ それ 殺人 罪 。   そう なら ない で なんとか 蘊蓄 垂れ流し て 中絶 許可 しろ 恫喝 バチカン と 法曹界 と 議会 へ 猛 アピール デモ 。   だって だって だって ！ ！ ！   でも ？   てめえ この やろ う ・ ・ ・   性癖 。   だっ たら ケツアナ で 遊ん だ る わ ！ ！   結果 、 ホモ 量産 。 w   この 馬鹿 っ たれ ！ ！ 白人 を 頂点 に 堕天使 。 ヤフェト 。   金髪 なら 何 やっ て も 許さ れる の か 恫喝 という 侵略 戦争 植民 地 化 。   こんな 女 連中 の ご 要望 答える 必要 ない ん じゃ ね 肉 。   性欲 処理 と 肉 と 奴隷 ＝ 愛 だって さ ・ ・ ・ 主観 的 。   これ が 愛 の 教え な の か 聖書 。 japhkiel & jesus とき たら エンリル 貴様 。 。 。   かつて 智 天使 barberit ＝ satan は 愛 の 天使 だっ た とか ・ ・ ・ 悪魔 。   悪魔 は 恋煩い ・ ・ ・ 病気 じゃ ね お前 ら amy 属 と 上位 天使 の 堕天使 ども 。   トカゲ 野郎 に 騙さ れ た 人類 と 天使 たち 。   ザーメン 臭え ぞ ！ ！ お前 。']"
1,59,1_sunday_コピペ_evening_なさい,"['sunday', 'コピペ', 'evening', 'なさい', '一遍', 'グノーシス', '年間', '付け', '写', 'キチガイ']","['聖書 コピペ 野郎 は 、 自称 裏 天皇 みたい な ガイジ に おべっか 使わ れ て 擦り寄っ て 来ら れ て も 嬉しい の か ね ？ w   だ と し たら 、 「 同病 相 憐れむ 」 って やつ だ な ！ www', '聖書 は 面白い よ   私 こそ キリスト だ と 言う 文 鮮明 みたい な の が 出る から 気 を 付け なさい と   普通 に 書い て ある から ね   統一 壺 カルト を 信じ ながら キリスト教 を 名乗っ てる 人 たち って 聖書 読ん で 無い でしょ', ""wow. amazing that a christian who knows nothing about me will preach to me about reading the bible. i was raised in a very conservative christian home. church every wednesday evening, sunday school, sunday main service and sunday evening service every week. church camp, vacation bible camp, baptism, you name it, i did it. and every step of they way from a young age i witnessed hypocrisy everywhere. from my father who physically abused his children and wife, but showed up on sunday to perform his role as church deacon speaking in tongues - such a great actor he was - to the assistant pastor who bought us beer at age 14 and showed us pornos, to the church camp counselor who gave me weed for the first time. hypocrites all. keep your bible. i've raised two successful young women who are kind, compassionate and don't slaughter innocents on the side of the road. spare me your preaching and go give callie your sermon.""]"
2,55,2_trump_america_white_evangelical,"['trump', 'america', 'white', 'evangelical', 'donald', 'evangelicals', 'conservative', 'continue', 'group', 'night']","[""i agree bill, and i think right-wing evangelicals should be the first in line to reap the positive benefits of super negative experiences. chances are, after trump gets done grabbing america by the pussy, lots of americans will be looking at the group that most single-handedly brought donald trump into a position to really stick it to america. it's no surprise to me that a sex abuser like trump would be so heartily supported by right-wing evangelicals. there are so many of them amongst that group. it's no wonder they identify with him."", 'i don\'t think so - as i said, i was most comfortable with kasich, but voted for cruz given that i wanted to send a message to the party.  trump will cross my line at some point i am sure, but i personally would prefer pence to him any day, but the fact trump chose pence, gives me hope that he may one day change. you seem like a rational person,  albert mohler has a series called ""the briefing"" i listen to daily and did through the entire election cycle - he gave trump no quarter and openly said he did not see how any evangelical could vote for trump (which i did not),\n\n i am  however going to honor the office and authority until i cannot any longer, when is that don\'t know but i am going to cut him some slack, he may learn something about shooting his mouth off. who knows - he has already defied all logic in just winning. if you listened to some of mohlers archives i believe you would gain some more insight and take comfort in knowing there are some rational christians in this country.', ""the christians who have cast their lot with donald trump have made a faustian bargain with the devil, and it will surely come back to haunt them. trump is a christian in name only, and the christians who lavished him with their votes and continue to lavish him with their support would realize this if only they would open their eyes and ears to the truth that he's a complete charlatan. but that will never happen in their hermetically-sealed echo chamber. and so they will continue to delude themselves as they willfully cast a blind eye on his abuses of power, his utter disdain for the poor and needy whom jesus championed, his blatant favoritism for his own billionaire class over everyone else, and of course his demonization of everyone who is not white and christian. people who actually read the gospels have no problem figuring out what jesus christ would make of donald trump, which makes me wonder if these trump-supporting christians are reading from a completely different book.""]"
3,50,3_笑话_接触_修道院_现实,"['笑话', '接触', '修道院', '现实', 'enjoy', '找', '小男孩', '男女', '搞', '問題']","['可以 看看 《 十日谈 》 ， 一大堆 教会 笑话', '修女 笑话 \n 你 是 指神 🐔 吗', '修女 笑话 基本 就是 纯粹 的 炫 压抑 笑话']"
4,47,4_実在_evidence_物理_logical,"['実在', 'evidence', '物理', 'logical', '人間', 'rome', 'original', 'testament', 'prophets', '布']","['no offence, but calling them ""bronze age"" prophets and referring to their prophecy as superstition is only labelling.  that isn\'t an argument.  consider it this way - say, for the sake of argument, that you were someone who lived 2000 years ago, and saw everything that is written in the bible about jesus.  say that you saw the blind made to see, cripples made to walk (and leap) and the dead raised.  there would be no question that you would have to believe.  consider then, what evidence could you leave behind for those who had _not_ seen?\n\ncertainly, this evidence is not _proof_ in the logical, mathematical sense, but it _is_ evidence.  dismissing it is as impossible is a philosophical _choice_, made a priori, without proof.\n\ni find it convincing.  i choose to believe.  that is no less reasonable or logical a choice than the alternative.', ""the bible. a collection of chosen books/stories and poetry (poets in those days were called prophets) by the authority of emperor constantine, who, as the northern general of rome, decided to sack it and seize power by the sword some 300 years after the presumed 'mythical like story,' and declared christianity to be the official religion of rome and the cross to be the official symbol. 300 years. it is also believed that constantine murdered his own wife and son. he got his soldiers to follow him into sacking rome by convincing them that he saw a vision in the sky of a cross and that it was a direct message from god too him.\n\nyet another one, claiming to have direct access to god, just like today, and yesterday, and tomorrow. oh boy, the power of superstition and the fomenting of dire scenarios unless you repent and accept the superstition as fact and ignore the true reality that intelligent humans are fully capable of logical reasoning and moral righteousness free of superstition."", '>> 84   違う 。 全く 話 が わかっ て ない 。   クリスチャン にとって は 人物 イエス の 存在 が 証明 さ れ た 方 が 望ましい 。   しかし 、 あらゆる 古代 語 、 考古学 の 研究 者 が 史料 を 調べ 尽くし て も 実証 でき ない 。   新 史料 が 発見 さ れる まで は 諦める しか 無い 。   従って 、 クリスチャン は 実証 でき ない もの の 聖書 から 読み取れる 範囲 で 信仰 を する しか ない 。   という 状況 の こと を 言っ て いる 。   結論 として は 、 イエス は 実在 の 人物 で ある こと は 証明 でき ない 。   古代 の 言葉 に 素養 の ない 人 たち が いくら 調べ て も 見つける こと は 不可能 だろ う 。   一 次 資料 を 調査 でき ない 人間 が 、 日本語 に 翻訳 さ れ た もの を 読ん だ って 、   同じ 結論 に 至る だけ 。   それら すら 読みこなせる か 怪しい もの だ が 。   しかも 、 人物 が 「 イエス ・ キリスト 」 で ある か の よう な 基本 中 の 基本 的 な 認識 すら 間違っ て いる 。   一体 そこ に どんな 正しい 議論 が 成り立ち うる の か な 。   自由 と おっしゃる が 、   それ は 21 世紀 の 現在 に 、 「 お 空 は 丸い 天井 です よ ！ お 星 様 は 天井 の 穴 です ！ 」 と いう くらい   ただ の 好き 勝手 と 言う 意味 に しか なら ない 。   真っ 暗闇 の 限り ない 迷路 を 彷徨 う だけ だ 。   まったく 筋 の 悪い 話 だ と 忠告 し て いる の だ よ 。   vip とか なん j とか の 板 で バカ 話 として トン デモ 論 やる の は 止め ない が 。']"
5,43,5_神棍_弱_光_保护,"['神棍', '弱', '光', '保护', '请', 'act', '特', '玩意', '用心', '就行了']","['神棍 ...', '當時 的 神棍 ？', '好 吧 ， 神棍 ！ ！ ！ ！']"
6,40,6_安倍_統一教会_広告塔_関係,"['安倍', '統一教会', '広告塔', '関係', '自民党', '議員', '晋', 'ズブズブ', '支配', '事件']","['山上 の 犯罪 認定 は 別 に し て   あの まま 安倍 晋 三 の 自民 支配 続い て いれ ば   自民党 議員 の ほぼ 全員 統一教会 の 支配 影響 下 に なっ た   あの 事件 時点 で すでに 自民党 議員 の ４ 割 は 統一教会 と 選挙 協力 互助 関係 だっ た   創価学会 支配 の 公明党   統一教会 支配 の 自民党   という 宗教 政党 支配 が   延々と つづい た   あの 事件 なけれ ば   今 の 総理 大臣 は   100 % 萩生田 総理 大臣 だっ た', '安倍 個人 だけ で なく 安倍 周辺 の 安倍 に 近い 政治 家 が 統一教会 と ズブズブ この上なかっ た 、 安倍 の 秘書 で 議員 に なっ た 奴 は 信者 だっ た ん だっ た か な ？', 'まあ   安倍 晋 三 と 統一 教会 に 関係 あっ た って 立証 さ れ た し   自民党 と 統一教会 も ズブズブ だっ た って 立証 さ れ た ね']"
7,38,7_孩子_宽恕_基督徒_罪人,"['孩子', '宽恕', '基督徒', '罪人', '做', '自杀', '站', '恶心', '更', '北京']","['胡扯 八道 ！ 我们 之所以 信仰 上帝 相信 我们 是 神 的 儿子 耶稣基督 重价 赎回 的 前提 是 我们 承认 自己 是 罪人 ， 每 一个 人 都 是 上帝 创造 的 有神 的 形象 在 人 里面 ， 基督徒 居然 转发 这些 自以为是 的 人 所发 的 诋毁 信仰 的 微博 还 说 人家 说 的 对 实在 让 我 伤心 ， 让 我们 怎么 给 不信 的 人 做 见证 ？ 神爱 罪人 也 爱 不 认识 神 恩典 的 人 基督徒 更要 学习', 'exactly...no one is helping her by encouraging lawless behavior..and not owing up to the consequences of your own behavior..or making excuses for sin.....the problem is a lot of people dont understand the word sin anymore..they think everything goes..and its all love love love..and no trust and obey...as scripture teaches...christ and scripture never taught us to defy authority or have dis respect for another country that is not ours..or to be a victim and think we deserve special treatment when we clearly broke a reasonable law that she could have easily gotten here a long time ago and been a citizen by now had she not wilfully re entered the country after being stopped in the airport..i have no sympathy and i dont understand church people who are enabling this. its not wonder we have an overlflow of lawless entitled youth and millennial in our country if their parents..pastors and church fold are teaching them they dont really have to obey the law and make excuses for wrong doing.', '一个 婴儿 生命 的 丧失 ， 凶手 韩磊 所谓 女友 出来 告白 后 ， n 多 基督徒 著名 知识分子 出来 说 ： ＂ 宽恕 他 吧 。 ＂ 刑不上 大夫 到 了 另 一个 群体 中 就 变成 了 ＂ 刑不上 基督徒 ? ＂ 除了 基督 ， 谁 又 有 赦罪 的 权柄 ? 除了 受害人 ， 谁 又 可妄举 宽恕 的 权力 ? 你们 表现 拥有 ＂ 高贵 的 仁慈 ＂ 时 ， 想一想 失去 孩子 的 母亲 。']"
8,37,8_教_殺す_悪い_殺し,"['教', '殺す', '悪い', '殺し', '犠牲', '馬鹿', '繰り返し', '実験', 'キリスト教', '邪教']","['キリスト 教 は 皆んな で 一 人 を 犠牲 に する キリスト 実験 を やっ て い て 、   クリスチャン が 複数 殺さ れ た こと が ある 。   何 という 愚か な 宗教 だ 。', '人類 史上 最も 人 を 殺し てる の が キリスト 教 だ し な   まぁ もっと 言え ば ユダヤ 教 と その 分派 全部 だ けど   キリスト 教 が 一番 酷い', 'キリスト 教   殺す の は ストライキ です 。']"
