term,freq,doc_freq,pmi_max,pmi_partner,tfidf,degree,betweenness,eigenvector,examples,freq_norm,pmi_max_norm,tfidf_norm,degree_norm,betweenness_norm,eigenvector_norm,score
说,651,418,6.065423561492604,抽成,3.522956308514161,0.030078822129684712,0.025201787123841864,0.009481132606556749,互联网小狗中世纪贵族流行喝处女血治病教皇英诺森八世花钱买三个童男血灌进喉咙妄图续命更恶心St磨成粉当补药埃及进口木乃伊粉末一度黄金还贵中世纪饥荒惨烈记录藏修道院羊皮卷里教会改成异教徒野蛮1315年欧洲饥荒佛兰德斯地区圣阿尔班斯编年史只敢父母食z四个_字带批判反思说下雨安徒生自传里写场景19_世纪丹麦有人守绞刑架面包蘸死刑犯血吃医学罪犯血能驱邪血馒头操作鲁迅笔下药跨时空呼应英国人爱尔兰操作更狠吃爱尔兰人st烧掉大部分记录16_17世纪英国贵族爱尔兰士兵t骨磨成_粉当成治疗癫痫神药一块带苔藓t骨能卖11先令相当于普通人半年收入掩盖野蛮销毁档案爱尔兰吃_R历史成基督教文化里吃_R神圣圣经旧约里亚伯拉罕差点儿子烤献给上帝歌颂信仰典范中世纪_欧洲教会禁止普通人吃_R默许圣徒骸骨治病圣人头发指甲神药卖更讽刺第一次十字军东征时基督徒士兵迈阿拉城吃掉穆斯林st随军教士声称这是异教徒震慑教皇发文理解萨格说吃不吃R好吃哪一块 || 欧洲历史中世纪黑暗中世纪历史黑暗说不折不扣食人族 || 木鹿知府说葡萄牙人不吃明朝记载错明朝没错,1.0,0.54048544813612,0.3972804938263243,1.0,1.0,1.0,0.6583540549955392
金_牛犊,5,1,11.22217736371885,看站,8.867680047876354,0.00026026174895895304,3.146234885111572e-05,0.00011670573846493158,世俗昏睡中警醒忠心_跟随耶稣将来人体_芯片强制植入启示录兽印预言心灵闭塞看不到启示录里芯片特意听见书上预言作见证有人预言加添神写书上灾祸加在身上书上预言有人删去神必书上所写生命树圣城删去分经文应证敌_基督推行_人体芯片瞎说内容基督徒便是主耶稣斥责五个昏睡童女末世时分灯里主耶稣忠诚跟随灯油当一天和尚撞一天钟昏沉度日世俗_苟且分一副渴望罪恶奴役丑陋嘴脸当敌基督_推行强令接种_芯片命令全球施行昏睡基督徒乃是第一个争着抢敌_基督接种_芯片昏睡不知警醒基督徒昏睡不肯醒来上帝任由昏睡叫醒上帝交给敌_基督任由敌_基督体内中芯片敌_基督奴隶任由敌_基督奴役任由敌_基督折磨死后接种_芯片基督徒灵魂耶稣丢地狱烈火里永永远远燃烧永远隔绝上帝面敌_基督地狱硫磺烈火里活活焚烧惨痛至极永永远远昏沉度日世俗_苟且分一副渴望罪奴役嘴脸基督徒听到发生扎心事实依旧忠心_跟随耶稣依旧昏沉度日依旧世俗_苟且分依旧渴望罪奴役人体_芯片全球强令接种害怕_接种芯片买东西害怕_接种芯片工作害怕_接种芯片导致配偶离婚害怕_接种芯片导致举报害怕时乃是父亲儿子送到死地乃是婆婆媳妇争斗不休凡为名生命_生命凡为名生命_生命手扶犁向后看不配作门徒一句_话敌_基督上帝筛子上帝要用敌_基督筛子筛尽基督教糠摩西当年上帝站摩西后边金_牛犊站金_牛犊看站金_牛犊以色列下场金_牛犊站以色列大地猛烈震动大地裂开大缝金_牛犊以色列吞到大地开口中大地合开口惟剩摩西站队安然无恙谨记谨记上帝震动震动天选边站队天势跟着震动想到发生那场全球天地大灾动昏睡中警醒世俗_苟且中爬_快信靠耶稣人体_芯片全球强制植入千万别人体_芯片全球强制植入之际再信耶稣_信耶稣敌_基督屠杀掉脑袋信_耶稣不用屠杀信_耶稣不用掉脑袋豪迟疑信仰耶稣毫不犹豫信靠耶稣毫不犹豫跟随_耶稣,0.007680491551459293,1.0,1.0,0.008652657601977752,0.0012484173720105397,0.01230926127794298,0.6528826052531144
全球_国家,5,1,10.934495291267071,财力,8.867680047876354,0.000446162998215348,0.00011883042178162865,0.00015296013895631054,撒旦发动第一次世界大战目标无神论苏俄兴起无神论苏俄兴起无神论苏俄之外无神论国家对抗美国主导基督教世界19171918撒旦发动第二次世界大战目标犹太复国势力巴勒斯坦建立以色列犹太国19391945撒旦发动第三次世界大战目标伊斯兰_势力犹太复国势力战争全球_国家卷入全球_国家耗费财力精力最终全球_国家满目疮痍全球_国家陷入无政府主义状态敌_基督便状态应运而生这场世界大战伊斯兰_势力胜出全球_国家结归伊斯兰_势力掌控敌_基督便背景统治全球圣经_记载全球跪拜敌_基督国敌_基督敌_基督杀头处死将来伊斯兰词生活方方面面上帝_独生儿子耶稣基督再度降临以先伊斯兰中救世主敌_基督先到来作用耶稣收割地上庄家耶稣扬尽谷物中糠吡未来基督徒做好伊斯兰_势力屠杀圣经_记载杀人身体杀人灵魂怕当怕乃是杀人身体权柄灵魂丢地狱_里那才怕对象魔鬼只能杀人身体动人灵魂基督徒忍耐忍耐得胜圣经对敌基督_屠杀全球基督徒敌_基督下场作出记载动刀必死刀信徒忍耐伊斯兰_势力基督徒动刀要死上帝刀动刀必死刀基督徒接受屠杀无奈动摇耶稣信仰接受屠杀无奈动摇耶稣信仰直信方可得胜,0.007680491551459293,0.9743648613697862,1.0,0.014833127317676142,0.004715158540054903,0.016133108279756555,0.6451464006756792
电波_信号,5,1,10.934495291267071,相连,8.867680047876354,0.00037180249851279004,7.285309594308269e-06,0.000122113580736682,未来接种人体兽印芯片敌_基督杀死传令大声呼叫说各方各国各族有令传听见角笛琵琶琴瑟笙各样乐器声音俯伏敬拜尼布甲尼撒王所立金像俯伏敬拜必扔烈火窑中各方各国各族人民听见角笛琵琶琴瑟各样乐器声音府伏敬拜尼布甲尼撒王所立金像圣经以理书章节到节段圣经经文展示将来也许五六年敌_基督强令全世界自主奴植入_芯片植入_芯片释放电波_信号植入_芯片听从电波_信号指示权柄赐给兽印权柄赐给芯片植入_芯片操纵电波_信号电波_信号体内芯片相连电波_信号植入_芯片做做植入_芯片机器人听从电波释放信息忠心信_耶稣提基督徒类型基督徒选择植入_芯片说接种_芯片敌_基督掌控全球威严说接种_芯片处死新世纪秩序不容未接种_芯片选择接种_芯片讨论接种_芯片讨论忠心_跟随耶稣面临接种_芯片考验忠心_跟随耶稣面临接种_芯片考验接种_芯片将来上帝丢硫磺火湖里敌_基督永永远远受痛苦火刑痛苦哀嚎永生永世出敌_基督推行_人体芯片上帝放出警告警告接种疫苗上帝睁只眼闭只眼疫苗接种妨碍信_耶稣拜偶像上帝对敌基督_推行人体_芯片严厉拜偶像总悔改信_耶稣机会唯独敌_基督推行_人体芯片上帝红线谁触碰这条红线再也不会有信耶稣机会灵魂便必死无疑身体折磨身死死后地狱_里烧身死永永远远,0.007680491551459293,0.9743648613697862,1.0,0.012360939431396786,0.0002890790862770238,0.012879640629879327,0.6446519630984233
三个_儿子,5,1,10.934495291267071,后代_挪亚,8.867680047876354,0.000334622248661511,9.499569110245947e-05,0.00012122344314467146,中国远房_表哥耶稣_信耶稣思考中华民族是从无神论说猴子进化中国知识头脑里中华民族祖先起源于中国土地中国_祖先北京猿人云南元谋猿人上推非洲第一个南方古猿中国土地中国_祖先北京猿人南方元谋猿人乃是非洲第一个南方古猿后裔非洲迁移_中国这片_土地落脚定居问中国基督徒中国_祖先问中国是从观念中国炎黄子孙黄帝_炎帝中国_祖先黄帝_炎帝生于五千年前黄帝_炎帝生一路探索便圣经黄帝_炎帝祖先挪亚挪亚洪水淹没全世界全世界包括动物死光_不剩遍布世界各地人类传过来说亚当挪亚那场灭世洪水挪亚一家八口之外全人类死光_不剩圣经_记载洪水淹到喜马拉雅山顶高出几千米记载全人类挪亚一家八口之外死光_不剩挪亚遍布中国这片_土地死光_不剩中国挪亚_后代挪亚三个_儿子儿子三个_儿子兼具后代_挪亚妻子三个_儿子之外生养_后代挪亚三个_儿子生养_后代里女人生养_后代婚配也许混乱挪亚活六百多岁三百多岁两三百年存活于世时间还会女人生养_后代女人一是挪亚妻子二是挪亚三个_儿子生养_后代之中女人三是挪亚妻子生儿子生养_后代之中女人中国_祖先一群一群是从丝绸之路从西迁移羌人周人秦人一群是从海路迁移苗迁移中昆仑山昆仑山位于便是挪亚方舟停泊地方格鲁吉亚亚美尼亚座亚拉腊山圣经_记载确切迁移地点乃是示拿平原巴别伊拉克两河流域圣经里记载天下人聚居一处天下人语言聚居距离亚拉腊山南不远处示平原带头人聚居示平原说建造一座超高塔人口住这座超高塔里不用分散地方中国全世界所有人发源地便是示拿地伊拉克两河流域建造通天高塔不合上帝心意上帝心意乃是人类遍居世界各地管理世界各地全人类聚居地方上帝变乱语言上帝安排四面八方迁移一部分迁移_中国西北中国北方迁移_中国东北迁移_中国西南迁移_中国东南迁移_中国中部湖南湖北一代迁移_中国北部一带首领黄帝迁移_中国中部一带首领炎帝两人便华夏人文始祖来源伊拉克两河流域示拿巴别上推便是格鲁吉亚亚美尼亚亚拉腊山美国人问中国_祖先犹太人问中国_祖先说出说中国_祖先美国祖先犹太人祖先挪亚上帝_独生儿子_耶稣上帝_独生儿子_耶稣挪亚_后代挪亚_后代挪亚_后代以色列挪亚_后代中国挪亚_后代挪亚_后代一家人_中国上帝_独生儿子_耶稣一家人_中国以色列_一家人上帝_独生儿子_耶稣以色列_一家人上帝_独生儿子_耶稣中国一家人_中国上帝_独生儿子_耶稣一家人_中国以色列_一家人上帝_独生儿子_耶稣以色列_一家人上帝_独生儿子_耶稣中国一家人确切的说中国以色列远房亲戚中国上帝_独生儿子_耶稣远房亲戚上帝_独生儿子_耶稣以色列近房亲戚出生_以色列上帝_独生儿子_耶稣血统起源挪亚中国血统起源挪亚上帝_独生儿子_耶稣出生_以色列中国这片_土地妨碍上帝_独生儿子_耶稣中国血缘远房亲戚好像定居远房表妹定居以色列地理阻隔阻断俩血缘表亲关系上帝_独生儿子_耶稣出生_以色列而能阻断中国上帝_独生儿子_耶稣血缘_亲戚关系中国本来上帝_独生儿子_耶稣血缘远亲关系信_耶稣岂理所当然耶稣外星人中国半点血缘关系信_耶稣一件可耻耶稣外星人包括中国在内全世界血缘关系亲戚关系_信耶稣可耻耶稣上帝_独生儿子地球半点关系外星人地球血缘_亲戚关系信_耶稣信外星人信_耶稣乃是信中国远房亲戚中国耶稣远房亲戚上帝_独生儿子出生_以色列以色列骄傲当作上帝唯一子民瞧不起以色列之外特别瞧不起中国耶稣_以色列全世界全世界耶稣_血缘亲戚关系耶稣_以色列血缘_亲戚关系耶稣_中国血缘_亲戚关系,0.007680491551459293,0.9743648613697862,1.0,0.011124845488257108,0.0037694029647837904,0.012785755476179973,0.6444047443097954
敬重,6,1,10.752173734473116,妻儿,8.867680047876354,0.00037180249851279004,0.00018803217099534292,0.0001826869078771793,更穿越孔子首创陪审团判案孔子审断案件时邀请案件看法人来参会说纷纷发表案件看法听取各方意见孔子_说听从某人看法正确孔子鲁司寇断狱讼皆进众议问曰子奚若某以皆曰夫子曰某子几是说发现一件_事西方各国宗教非理性反人性道路狂奔儒家思想早2500年前共性理性_人性三个阶段回答儒家宗教宗教相比迷信宗教儒家早就第三个阶段理性宗教人道宗教第二阶段衡量合适更高纬度低纬度定义分析发现孔子代表中国文明低纬度宗教吊打一遍讨论孔子不配圣人我勒个想想孔子世界宗教界碾压级人物不配圣人配请问批判孔子蜉蝣生物孔子顶上去穆罕默德耶稣人站一列资格中国否定孔子心理作祟证明西方宗教中国_文化厉害脊梁唤醒民智胳膊肘往外拐佛家道家第四阶段天道宗教儒释道吊打全人类一百年中国内部持续抹黑外部精神殖民两股合力中国基督教国家不想说聊儒家孔子中国待见我来逐个分析错中国儒家文化儒家早一百年前名存实亡原因中国人才敢肆无忌惮辱骂孔子换角度伊斯兰教国家敢网上骂穆罕默德基督教国家敢骂耶稣群起而攻之生命危险儒家边缘化程度一厢情愿孔子影响中国几千年历史包括社会现象负责中国实际上课本中几句话三人行必有我师学而时习网络仇恨孔子文章中国孔子古人二西方讲自由_平等一件_事西方社会理性_人性阶段伏尔泰卢梭带来成果1618_世纪传教士儒家思想翻译回国培养启蒙学家详细分析请置顶文章三孔子开历史倒车恢复周礼先周礼子_曰古之政爱人治爱人礼为古人治理政事爱人最为爱人施行周礼礼记君子礼以坊德刑以坊淫命以坊欲君子用礼来道德过失用刑邪恶子_曰夫其行己物谓之成身物合天道孔子_说做_事合乎常理越过界限说成就逾越常理合乎天道礼记礼庶人信息礼作用越界以此道德过失最终爱人目的懂礼庶人礼作用权力阶层孔子想做权力关进礼教笼子里不让滥用权力危害社会孔子礼崩乐坏社会开药方周礼国家乱乱权力受监督制约讲为政以德讲好义讲失其道时代只能想到礼换成法依法治国权力关进法治笼子孔子讲法法冷血残酷王法法家依法治国法治一毛钱关系请问思想开倒车超前民法凌驾于皇权思想依然儒家提出17_世纪王船山四儒家歧视女性孔子_说从前夏商周三代圣明君主治理政事敬重妻子道理妻子祭祀宗祧主体儿子传宗接代敬重君子妻儿敬重敬这件_事敬重最为亲人后代敬重敬重伤害亲人伤害亲人伤害伤害支属随之灭绝孔子家语大婚解五儒家培养伪君子扭曲人性接触几个说出这番话家伙长得藏副躯壳里鬼教堂_里释放出来东西,0.009216589861751152,0.9581183210697373,1.0,0.012360939431396786,0.00746106496620064,0.019268468806231103,0.63919608873995
古篆,6,1,10.752173734473116,字形,8.867680047876354,0.000334622248661511,7.563117897945278e-05,0.00014471342242853462,批评孔子事件没读懂孔子_说学贤没读懂孔子孔子古_篆字古_篆字尚音表义功能跟隶变后尚义表音字衔接孔子一点关系甲骨文战国古篆尚音表义模式古_篆字偏旁部首形声字字分开形状分开读音同音字建全表达同音事物适应语言表达功能古_篆字时期文章假借字学而时习说乎两句话说读音无论怎样解释猜想今字就读学传时习生不算税平古_篆字时说只读税碎音读悦音古篆时期悦字形古篆生字古篆平古篆字小篆时期天分形状组音字古篆时期天字兼组音功能,0.009216589861751152,0.9581183210697373,1.0,0.011124845488257108,0.003001024435600552,0.015263305391220556,0.6389488699513222
团子,5,1,10.529030183158907,推举,8.867680047876354,0.000334622248661511,7.191104362665506e-05,0.0001424615840116808,团子世界剧情_里推举菲比团子当主座漂子同意团子世界团子模拟漂子守岸团子真的说活动剧情主线很难说编剧想法,0.007680491551459293,0.9382341627569638,1.0,0.011124845488257108,0.002853410485267707,0.015025798069015552,0.6317589997953077
毫米,5,1,10.529030183158907,长身,8.867680047876354,0.000334622248661511,6.598682659742469e-05,0.00010361515497157378,哈尔科夫反击战德军辉煌作战时间1943_年月19日月14日作战地点哈尔科夫作战国家德国苏联作战将领曼_施坦因1887年_11月24日出生于德国柏林1973年_月11日卒西德巴伐利亚州德国陆军元帅1906年服役1914年毕业军事学院参加第一次世界大战参加入侵比利时东普鲁士波兰南部1935年任陆军总参谋部作战部长1938年上层人事变动被贬18师师长次年参加动员南方_集团军群参谋长翌年参加波兰入侵1941年_月11集团军司令克里木作战1942年_月列宁格勒地区德军总指挥奉命攻占列宁格勒未果歼灭苏一集团军1942年_11月顿河集团军_群司令试图解救合围斯大林格勒集团军未能得逞1943_年月南方_集团军群司令库尔斯克会战中失败1944年_月解除职务作战中坦克摩托化部队配合空军实施速战速决闪击战作战兵力德军_装甲集团军辖个军苏军坦克_集团军4069集团军曼_施坦因献计1942年_11月苏德战场南翼苏军德国陆军集团军侧翼掩护部队发动钳形攻势两天猛攻打垮斯大林格勒两侧罗马尼亚军队合围德国集团军苏德战场战略转折德军处境不利德军担忧清醒冷静曼_施坦因苏军抓住机会缺乏深远攻击德军_南翼补给线目的作战人马紧紧围住集团军机械化部队攻击矛头击打德军_南翼脆弱交通线补给线截断德军_南翼后路部队补给线唯一渡口第聂伯河铁路桥苏联红军以坎纳攻击德国人左翼占领这座桥梁地区德军压迫黑海岸边德军_南翼毁灭德军一点办法曼_施坦因一点想到力挽狂澜办法德军死守斯大林格勒大规模机动歼灭南线苏军曼_施坦因德军统帅部一条走向胜利道路肯放弃夏季攻势中占领地区无论如何守得住危机演变成胜利目的顿河集团军_群A集团军_群兵力时间东部正面部撤出来后撤顿河下游顿涅茨河西岸转用第聂伯河下游地区调用兵力包括缩短两个集团军_群正面部队假设哈尔科夫敌人追击撤退中德军切断我军第聂伯河渡口时部队攻击敌军侧翼大规模撤退转变成合围歼击作战目标追击驱赶黑海岸边歼灭曼_施坦因想最终采纳希特勒希特勒心想攻占斯大林格勒讨厌放弃撤退字眼拒绝实质放弃战略胜利机会曼_施坦因想着计划1943_年月_日斯大林格勒合围圈中德军停止抵抗在此之前挽救合围圈中集团军曼_施坦因不顾薄弱左翼打开一道通往斯大林格勒空中走廊保卢斯愚忠违逆希特勒坚守命令不肯率领部队突围这样一来顿河集团军_群三个作战一是拯救集团军一是保护高加索地区德军交通生命线优势敌军围歼1943_年月希特勒迫于形势终于暂时放弃征服高加索战略曼_施坦因计策A集团军群从高加索撤退月_日希特勒终于南线德军危险处境同意撤出顿涅茨盆地面对哈尔科夫失守希特勒大发雷霆曼_施坦因夺回该城曼_施坦因希特勒提出大胆想法暂时不去理会哈尔科夫沃罗涅日_方面军集中兵力吃掉冒进苏军_西南方面军城外逼近苏军回过头去击溃哈尔科夫方向苏军夺占该域曼_施坦因作战方案大胆希特勒想想同意胸有成竹曼_施坦因入侵德军中优秀陆军元帅作战方案深思熟虑胸有成竹是从三个第一分析敌我处境苏军正面侧面德军包抄正面进攻哈尔科夫库尔斯克苏军沃罗涅日_方面军侧面包抄苏军_西南方面军表面德军不利实际上这支苏军突击集团敌军纵深两翼暴露两支强大德军集团拥有包括党卫队_装甲军在内德军精锐装甲部队这一不利处境苏军并未意识苏军将领乐观德军冬季反攻丧魂落魄红军追击一路逃第聂伯河反突击说曼_施坦因此前南线德军撤退引诱苏军孤军深入远离后勤基地目的苏军冬季反攻顶漫天风雪冬季初春泥泞道路推进600700公里沿途道路桥梁破坏殆尽后勤供应基地机场远远跟上战斗部队进攻速度1943_年月下旬三个_月恶战苏军部队损耗缺乏物资补给空中支援进军第聂伯河缺乏军队腹地苏军_西南方面军情况糟糕第三德军兵力增强使曼施坦因更反击本钱西欧东线地段调来部队装备南集团军_群月18日曼_施坦因南方_集团军群一共拥有30个师月_日东线德意志军队495辆_坦克月28日增加902辆919辆_坦克修理输送过程_中月_日东线坦克强击火炮总数更是2374辆一半左右南方_集团军三个曼_施坦因希特勒提出作战方案希特勒同意方案曼_施坦因紧急制定作战计划德意志装甲_集团军党卫装甲_军兵力克拉斯诺格勒进攻西南_方面军苏军集团军右翼4857装甲_军攻打巴浦诺格勒切断红军退路德意志集团军装甲40集团军党卫队维京师步兵333师共个师兵力袭击西南_方面军快速兵团波波夫集群进攻成功德军_装甲集团军掉头北上肯普夫战役集群一道重兵吃掉恰尔科夫西南地域沃罗涅日面军左翼集团夺回哈尔科夫制定作战方案接着就是增强兵力斯大林格勒一战德军损失增强兵力德意志竭力补充弹药物资西线调来72个师预备队167师部属波尔塔瓦15师部属第聂伯罗彼得罗夫斯克命令两个师月20日至22日到达指定地点哈尔科夫战役_中突击团德军_装甲集团军一共拥有个军国防军5748装甲_军原属兰茨战役集群党卫军装甲_军拥有党卫队希特勒师德军师骷髅师党卫队_装甲军实力最为强大三个师名义装甲掷弹兵师装甲师编有坦克团拥有装甲师奢望虎_式重型坦克哈尔科夫反击中拥有虎_式重型坦克部队德意志国防军日耳曼师摩托化步兵师走向失败胜利月19日希特勒南方_集团军群部队反攻宣称德军边界一千多公里地方德军未来命运希特勒部下反攻中要勇敢沉着忠于职守苏军_西南方面军集团军灾难说德军党卫队_装甲军德军_装甲步兵师骷髅装甲步兵师苏军_西南方面军集团军薄弱侧翼发动出其不意猛烈攻击德国空军航空队俯冲轰炸机缺乏空中支援苏军阵地狂轰滥炸德军_装甲集群虎_式坦克引导发动凶猛冲击参战苏军士兵坦克前留影坦克战中苏德战场称雄T34坦克惨重损失苏军坦克装备76毫米坦克炮根本无法穿虎_式坦克102毫米厚正面装甲德军用于增强防护IV号_坦克正面装甲四百米外无可奈何德国虎_式坦克88毫米坦克炮IV号_坦克长身75毫米火炮一千五百米距离轻易击毁T34苏军标准45毫米反坦克炮更是奈何德军坦克德军强大装甲部队很快苏军集团军阵地打开30多公里缺口缺口德国党卫队德军师击溃苏军近卫军军高速向南推进100多公里面对德军反击苏军未曾料想到可谓仓促应战德军却是有备而来更增强作战信心月21日苏军_西南方面军占领曼_施坦因司令部扎波罗热该地失守德意志军队战线割裂危险但曼施坦因胸有成竹反击作战这支苏军正好落入圈套中月22日德国装甲_集团军所属两个军4857装甲_军发动进攻很快党卫队_装甲军回合巴浦洛格勒切断苏军集团军交通线德军40装甲_军油料红军波波夫集群发出致命一击激战德军苏军_西南方面军反击战中击溃集团军近卫团军波波夫集团编成八个军十个步兵师五个特种旅兵力严寒天气德军苏军优势未能严密包围圈村庄之间面对德军步步紧逼苏军月27日起撤退月_日己经退过北顿涅茨河河上结薄冰红军通行如此一来哈尔科夫地域作战红军沃罗涅日_方面军德军装甲部队侧翼威胁之下沃罗涅日_方面军左翼三个集团军坦克_集团军4069集团军德军14个师进攻包括装甲师党卫队_装甲步兵师摩托化步兵师步兵师沃罗涅日_方面军方向坦克70辆德军坦克350辆里沃罗涅日_方面军供应基地远200公里之外面对情况戈利科夫将军月_日被迫下令全线进攻转为全线防守月_日德军_装甲集团军沃罗涅日_方面军坦克_集团军发起猛攻进攻顺利强大德军面前苏军付出损失苏军拼死抵抗德军每前进一步艰难月_日曼_施坦因下令突破口改苏军69集团军坦克_集团军结合部隶属肯普茨战役集结群劳斯军投入中隶属劳斯军日耳曼师虎_式坦克发挥很大作用该师月日到20日中摧毁苏军269辆_坦克损失虎_式坦克_辆号_坦克12辆号_坦克辆月10日德军终于突破性进展苏军防线打开60多公里宽口子苏军无力堵住缺口月11日德国装甲_集团军部队己经逼近哈尔科夫步兵320师配合不顾伤亡哈尔科夫北面迂回切断苏军退路装甲48军则从东面对哈尔科夫攻击别尔戈罗德方向己经炮弹苏军40集团军承受德国劳斯军猛攻月12日党卫队攻入哈尔科夫苏军发生激烈巷战两天包围苏军坦克_集团军苏军统帅部只能命令航空集团军利用夜航飞机集团军补给月15日守卫该城苏军1719步兵旅179坦克旅放弃无谓抵抗向东突围月16日党卫队_装甲军进驻哈尔科夫战役_中德军一共打死40130苏军俘虏12430击毁红军技术兵器包括567辆_坦克1072门火炮实际上德国损失技术兵器党卫队_装甲军在结束时该军坦克不到总数40仅仅德军师损失77辆_坦克强击火炮日耳曼摩托化步兵师1943_年月底坦克95辆月23日该师剩下号_坦克辆号_坦克39辆喷火坦克_辆损失辆虎_式坦克坦克总数下降22辆德军哈尔科夫战役_中胜利稳定南方_集团军群阵地暂时东部战线崩溃替曼施坦因赢得统帅名声苏德战争进程局部胜利战术胜利战略胜利扭转斯大林格勒战役德军败退局面更阻止战线过长兵力匮乏局面,0.007680491551459293,0.9382341627569638,1.0,0.011124845488257108,0.002618339178613195,0.010928562996779302,0.6317589997953077
迁移_中国,8,1,10.464491662021336,湖南,8.867680047876354,0.0005205234979179061,0.0003312524400470803,0.00027581851683835396,中国远房_表哥耶稣_信耶稣思考中华民族是从无神论说猴子进化中国知识头脑里中华民族祖先起源于中国土地中国_祖先北京猿人云南元谋猿人上推非洲第一个南方古猿中国土地中国_祖先北京猿人南方元谋猿人乃是非洲第一个南方古猿后裔非洲迁移_中国这片_土地落脚定居问中国基督徒中国_祖先问中国是从观念中国炎黄子孙黄帝_炎帝中国_祖先黄帝_炎帝生于五千年前黄帝_炎帝生一路探索便圣经黄帝_炎帝祖先挪亚挪亚洪水淹没全世界全世界包括动物死光_不剩遍布世界各地人类传过来说亚当挪亚那场灭世洪水挪亚一家八口之外全人类死光_不剩圣经_记载洪水淹到喜马拉雅山顶高出几千米记载全人类挪亚一家八口之外死光_不剩挪亚遍布中国这片_土地死光_不剩中国挪亚_后代挪亚三个_儿子儿子三个_儿子兼具后代_挪亚妻子三个_儿子之外生养_后代挪亚三个_儿子生养_后代里女人生养_后代婚配也许混乱挪亚活六百多岁三百多岁两三百年存活于世时间还会女人生养_后代女人一是挪亚妻子二是挪亚三个_儿子生养_后代之中女人三是挪亚妻子生儿子生养_后代之中女人中国_祖先一群一群是从丝绸之路从西迁移羌人周人秦人一群是从海路迁移苗迁移中昆仑山昆仑山位于便是挪亚方舟停泊地方格鲁吉亚亚美尼亚座亚拉腊山圣经_记载确切迁移地点乃是示拿平原巴别伊拉克两河流域圣经里记载天下人聚居一处天下人语言聚居距离亚拉腊山南不远处示平原带头人聚居示平原说建造一座超高塔人口住这座超高塔里不用分散地方中国全世界所有人发源地便是示拿地伊拉克两河流域建造通天高塔不合上帝心意上帝心意乃是人类遍居世界各地管理世界各地全人类聚居地方上帝变乱语言上帝安排四面八方迁移一部分迁移_中国西北中国北方迁移_中国东北迁移_中国西南迁移_中国东南迁移_中国中部湖南湖北一代迁移_中国北部一带首领黄帝迁移_中国中部一带首领炎帝两人便华夏人文始祖来源伊拉克两河流域示拿巴别上推便是格鲁吉亚亚美尼亚亚拉腊山美国人问中国_祖先犹太人问中国_祖先说出说中国_祖先美国祖先犹太人祖先挪亚上帝_独生儿子_耶稣上帝_独生儿子_耶稣挪亚_后代挪亚_后代挪亚_后代以色列挪亚_后代中国挪亚_后代挪亚_后代一家人_中国上帝_独生儿子_耶稣一家人_中国以色列_一家人上帝_独生儿子_耶稣以色列_一家人上帝_独生儿子_耶稣中国一家人_中国上帝_独生儿子_耶稣一家人_中国以色列_一家人上帝_独生儿子_耶稣以色列_一家人上帝_独生儿子_耶稣中国一家人确切的说中国以色列远房亲戚中国上帝_独生儿子_耶稣远房亲戚上帝_独生儿子_耶稣以色列近房亲戚出生_以色列上帝_独生儿子_耶稣血统起源挪亚中国血统起源挪亚上帝_独生儿子_耶稣出生_以色列中国这片_土地妨碍上帝_独生儿子_耶稣中国血缘远房亲戚好像定居远房表妹定居以色列地理阻隔阻断俩血缘表亲关系上帝_独生儿子_耶稣出生_以色列而能阻断中国上帝_独生儿子_耶稣血缘_亲戚关系中国本来上帝_独生儿子_耶稣血缘远亲关系信_耶稣岂理所当然耶稣外星人中国半点血缘关系信_耶稣一件可耻耶稣外星人包括中国在内全世界血缘关系亲戚关系_信耶稣可耻耶稣上帝_独生儿子地球半点关系外星人地球血缘_亲戚关系信_耶稣信外星人信_耶稣乃是信中国远房亲戚中国耶稣远房亲戚上帝_独生儿子出生_以色列以色列骄傲当作上帝唯一子民瞧不起以色列之外特别瞧不起中国耶稣_以色列全世界全世界耶稣_血缘亲戚关系耶稣_以色列血缘_亲戚关系耶稣_中国血缘_亲戚关系,0.01228878648233487,0.9324831824395236,1.0,0.017305315203955503,0.013144005955581725,0.029091304624049828,0.6316734948669745
