frame_type,verb,count,frame_zh
cognitive_manipulation,brainwashed,3,认知操纵/洗脑
cognitive_manipulation,follow,3,认知操纵/洗脑
cognitive_manipulation,brainwashing,2,认知操纵/洗脑
cognitive_manipulation,deceiving,2,认知操纵/洗脑
cognitive_manipulation,influence,2,认知操纵/洗脑
cognitive_manipulation,lead,2,认知操纵/洗脑
cognitive_manipulation,promise,2,认知操纵/洗脑
cognitive_manipulation,teach,2,认知操纵/洗脑
cognitive_manipulation,buy,1,认知操纵/洗脑
cognitive_manipulation,confuse,1,认知操纵/洗脑
cognitive_manipulation,deceive,1,认知操纵/洗脑
cognitive_manipulation,forbid,1,认知操纵/洗脑
cognitive_manipulation,guide,1,认知操纵/洗脑
cognitive_manipulation,indoctrination,1,认知操纵/洗脑
cognitive_manipulation,lie,1,认知操纵/洗脑
cognitive_manipulation,manipulated,1,认知操纵/洗脑
cognitive_manipulation,plant,1,认知操纵/洗脑
cognitive_manipulation,recruit,1,认知操纵/洗脑
cognitive_manipulation,remember,1,认知操纵/洗脑
cognitive_manipulation,support,1,认知操纵/洗脑
cognitive_manipulation,transform,1,认知操纵/洗脑
cognitive_manipulation,understand,1,认知操纵/洗脑
cognitive_manipulation,warn,1,认知操纵/洗脑
dehumanization,contaminate,1,非人化/病理化
dehumanization,swamp,1,非人化/病理化
economic_exploitation,defrauding,1,经济剥削
economic_exploitation,exploit,1,经济剥削
economic_exploitation,exploiting,1,经济剥削
economic_exploitation,exploits,1,经济剥削
economic_exploitation,pay,1,经济剥削
institutional_rot,ordain,4,制度性腐败
institutional_rot,silence,4,制度性腐败
institutional_rot,shelter,2,制度性腐败
institutional_rot,cover ups,1,制度性腐败
institutional_rot,gag,1,制度性腐败
institutional_rot,normalize,1,制度性腐败
institutional_rot,protect,1,制度性腐败
institutional_rot,remove,1,制度性腐败
moral_accusation,assault,4,道德指控/伪善
moral_accusation,corrupt,3,道德指控/伪善
moral_accusation,corruption,3,道德指控/伪善
moral_accusation,crucify,3,道德指控/伪善
moral_accusation,abuses,2,道德指控/伪善
moral_accusation,rebuke,2,道德指控/伪善
moral_accusation,abandon,1,道德指控/伪善
moral_accusation,blame,1,道德指控/伪善
moral_accusation,choose,1,道德指控/伪善
moral_accusation,condemn,1,道德指控/伪善
moral_accusation,cross,1,道德指控/伪善
moral_accusation,err,1,道德指控/伪善
moral_accusation,experience,1,道德指控/伪善
moral_accusation,hate,1,道德指控/伪善
moral_accusation,oppressed,1,道德指控/伪善
moral_accusation,oppresses,1,道德指控/伪善
moral_accusation,oppression,1,道德指控/伪善
moral_accusation,prefer,1,道德指控/伪善
moral_accusation,stab,1,道德指控/伪善
moral_accusation,witness,1,道德指控/伪善
other,believe,18,其他
other,agree,12,其他
other,read,9,其他
other,like,7,其他
other,teach,7,其他
other,call,6,其他
other,hear,6,其他
other,hope,6,其他
other,remember,6,其他
other,care,5,其他
other,consider,5,其他
other,love,5,其他
other,speak,5,其他
other,support,5,其他
other,suspect,5,其他
other,wonder,5,其他
other,elect,4,其他
other,follow,4,其他
other,live,4,其他
other,meet,4,其他
other,mention,4,其他
other,pray,4,其他
other,state,4,其他
other,understand,4,其他
other,worship,4,其他
other,apologize,3,其他
other,bless,3,其他
other,disagree,3,其他
other,doubt,3,其他
other,fear,3,其他
other,guess,3,其他
other,hate,3,其他
other,include,3,其他
other,mean,3,其他
other,miss,3,其他
other,point,3,其他
other,set,3,其他
other,start,3,其他
other,thank,3,其他
other,win,3,其他
other,write,3,其他
other,admire,2,其他
other,assure,2,其他
other,back,2,其他
other,break,2,其他
other,can,2,其他
other,commit,2,其他
other,describe,2,其他
other,expect,2,其他
other,explain,2,其他
other,express,2,其他
other,forget,2,其他
other,happen,2,其他
other,identify,2,其他
other,ignore,2,其他
other,institute,2,其他
other,listen,2,其他
other,marry,2,其他
other,move,2,其他
other,pay,2,其他
other,practice,2,其他
other,provide,2,其他
other,raise,2,其他
other,refer,2,其他
other,respect,2,其他
other,suggest,2,其他
other,wait,2,其他
other,walk,2,其他
other,welcome,2,其他
other,work,2,其他
other,’m,2,其他
other,abide,1,其他
other,accompany,1,其他
