text,error
『タイタニック』（原題: Titanic） レオナルド・ディカプリオ、ケイト・ウィンスレットが主演を務めた。 あらすじ プロローグ1912年に当時最大級の豪華客船タイタニック号が沈没してから84年後の1996年の洋上から物語は始まる。トレジャーハンターのブロック・ロベットらは、タイタニックと共に沈んだとされる最高峰のブルー・ダイヤモンド・『碧洋のハート（イタリア語版）』の在り処を探るべく、小型潜水艇を用い深海のタイタニックの調査を行っていた。 そして、一等船室の一室から1つの金庫を発見する。歓喜に包まれる調査団は金庫をこじ開けたものの、中にあったのは彼らが探していた宝石ではなく、古ぼけた紙切れだった。 しかし、その紙切れを綺麗に洗い直すと『裸体の女性』が浮かび上がり、その女性は胸に『碧洋のハート』らしきダイヤを身に着けていたのだった。この1枚の絵画の発見をロベットはテレビで堂々と報じ、その放送を見たある老女は驚きを隠せずにはいられなかった。 そしてロベットに一本の電話が入った。その声の主はなんと沈没事故から奇跡的に生還し、今では100歳になるその絵のモデルだった。ロベットと連絡を取り合った老女は、孫娘ともども調査団の船に訪れ、静かにあの豪華客船の中で起こった知られざる話を語り始める。 タイタニックの出港1912年4月10日、イギリスのサウサンプトン港から当時史上最大の豪華客船タイタニックはニューヨークへと向けた処女航海へと出発した。アメリカの名家ブケイター家の一人娘ローズ・デウィット・ブケイターは、その婚約者キャルことキャルドン・ホックリーと、未亡人となった母と共に、アメリカ行きのタイタニックへと乗船するが、半ば強制された婚約に気分は晴れないでいた。 家名こそ残るものの、実際のブケイター家は破産寸前であり、優雅な暮らしを失いたくない母親がホックリー家の財産を目当てに結婚を強制したのである。 主題歌 Celine Dion - My Heart Will Go On https://youtu.be/9bF...?si=RBUxCJBrAd5bnq_7 https://youtu.be/F2R...?si=B3jkINiuoOZZjSsf https://youtu.be/EDf...?si=CjgTbyS2PZnqa6rx https://youtu.be/pud...?si=czhg902OFfes-Iwv https://youtu.be/esQ...?si=28UIBqBj95cvZR0H,index out of range in self
",,-―――――――-､ ,r´ ｺﾞﾝ柄 ｀＼ | ,.-''""￣￣WW￣￣ ""''-,, .ヽ |./ ＿＿ ',:::::::', / 二__, --､r'""___､ ヾ＿i::::::::| レ'""~,-,､ ! ! ' '""￣ .ノ ヽ::::i. K/ｰ'~^~_/ ヽﾐ:ー‐‐'"" Y !〉 ｰ―'""( o ⊂! ' ヽ l i i ,.:::二Ｕﾆ:::.､. !Kl .! :r'ｴ┴┴'ｰダ ﾄ= .i､ . ヾ=､＿_.／ ﾉ. ＜ ゴンガラの精子は放出された｡､ ヽ. :､ ﾞ -―- ,; ,! ＼. :. .: ﾉ ヽ ヽ. . .ｲ . ( ﾟ∀ﾟ)ｱﾊﾊ八八ﾉヽﾉヽﾉヽﾉ ＼ / ＼/ ＼ ,,-―――――――-､ ,r´ ｺﾞﾝ柄 ｀＼ | ,.-''""￣￣WW￣￣ ""''-,, .ヽ |./ ＿＿ ',:::::::', / 二__, --､r'""___､ ヾ＿i::::::::| レ'""~,-,､ ! ! ' '""￣ .ノ ヽ::::i. K/ｰ'~^~_/ ヽﾐ:ー‐‐'"" Y !〉 ｰ―'""( o ⊂! ' ヽ l i i ,.:::二Ｕﾆ:::.､. !Kl .! :r'ｴ┴┴'ｰダ ﾄ= .i､ . ヾ=､＿_.／ ﾉ. ＜ ゴンガラの精子は放出された｡､ ヽ. :､ ﾞ -―- ,; ,! ＼. :. .: ﾉ ヽ ヽ. . .ｲ . ( ﾟ∀ﾟ)ｱﾊﾊ八八ﾉヽﾉヽﾉヽﾉ ＼ / ＼/ ＼ ,,-―――――――-､ ,r´ ｺﾞﾝ柄 ｀＼ | ,.-''""￣￣WW￣￣ ""''-,, .ヽ |./ ＿＿ ',:::::::', / 二__, --､r'""___､ ヾ＿i::::::::| レ'""~,-,､ ! ! ' '""￣ .ノ ヽ::::i. K/ｰ'~^~_/ ヽﾐ:ー‐‐'"" Y !〉 ｰ―'""( o ⊂! ' ヽ l i",index out of range in self
810 日本語訳 マドンナ崇拝が広がる中、バチカンはマリアは共同救世主ではないと明言 教皇レオ1世は、共同救世主の称号が人類救済におけるイエスの唯一の役割を覆い隠す恐れがあるとする法令を承認した。 ローマのアンジェラ・ジュフリーダ 2025年11月5日（水）16:01 GMT ソーシャルメディア上で聖母マリアの誇張した崇拝が広がり、聖母の出現や泣く像、自称預言者の主張が勢いづく中、ローマ教皇レオ1世はカトリック信者に対し、御子イエスが世界を破滅から救うのをマリアが助けたと言わないよう指示した。 法王が承認したバチカンの教理省の布告では、イエスのみが人類を地獄の業火から救ったのであるから、カトリック教徒はマリアを「共同救世主」と呼んではならないとされており、法王の間でさえ意見が分かれていた教会学者の間での長きにわたる論争に終止符が打たれた。 聖書は、イエスが十字架上での犠牲的な死を通して世界を救い、マリアがイエスを産むことで救済の道を開いたものの、彼女は「共同救世主」ではなかったと述べている。 故フランシスコ教皇は、マリアを「共同救世主」と呼ぶことに強く反対し、2019年には「まったくばかげている、マリアは御子から何も取ろうとはしなかった」と述べていた。前任のベネディクト16世もこの称号に反対していた。 1978年から2005年に崩御するまで教皇を務めたヨハネ・パウロ2世は、この称号の支持者だったが、懐疑的な見方が高まる中、1990年代半ばに公にこの称号を使うのをやめた。 布告によれば、この称号は「キリスト教信仰の真理の調和に混乱と不均衡を生じさせる」ものであり、「イエス・キリストの唯一の役目を覆い隠す危険性がある」という。 バチカンの教理省長官ビクトル・マヌエル・フェルナンデス枢機卿は、この教令の序文で、これは近年の聖母マリアへの信仰に関する疑問に答え、「許容できるものは何かを明確にするためのものである」と記した。 「マリアについて考えるグループや出版物、新しい信心、さらにはマリアの教義を求める要請の中には、一般の信心と異質なものもある」と彼は記し、「ソーシャルメディアを通じて熱心に」表現される信心深い慣習は、カトリック教徒の間に混乱を招く恐れがある、と付け加えた。,index out of range in self
●女神アナト／女神アシュタロテ 女神アナト（シリアではアシュタロテと呼ばれる）は、ウガリット神話の大地母神であり、愛と豊穣の女神である。ギリシア神話の女神アフロディテ、エジプトの女神イシスの原型とされる。 アナトは、ウガリット神話の最高神バァールの妹であり、かつ妻であった。ウガリットとは、紀元前2千年代にシリアで隆盛を誇った都市国家。紀元前14世紀頃に滅びる。 バァール信仰は、旧約聖書で執拗に攻撃された。士師記（紀元前1200〜1000年頃）および列王記に描かれた預言者エリアと王妃イゼベルとの闘い（紀元前874年頃）がよく知られる。このような批判は、弱小の半遊牧民であったイスラエル人と農耕社会との厳しい対立を想像させる。 ●【引用】旧約聖書における大地母神批判の意味 「イスラエルの士師や預言者たちが、終始一貫、執拗なまでのバァール批判を試みたのは、こうした大地母神崇拝に支えられた農耕文化の基本原理にたいする挑戦であったとみることができるだろう。そこでは、豊穣の神のセクシュアリティは徹底的に悪とみなされた。 荒野と砂漠の神である天の父ヤハウェを唯一の神として信じ、いっさいの偶像の拒絶を誓い、その破壊を叫んだ士師たちの信仰は、カナンの大地母神を賛美する信仰圏とは、真向から対立するものであったのだ。」 （山形孝夫『図説聖書物語旧約篇』河出書房新社、2001年 ●【史料】カナンの神バアル（バァール）崇拝に対する批判（士師記２・３章） 「2章13-14 彼らが主を捨てて、バアルとアシュタロテに仕えたので、主の怒りがイスラエルに向かって燃え上がり、主は彼らを略奪者の手に渡して、彼らを略奪させた。主は回りの敵の手に彼らを売り渡した。それで、彼らはもはや、敵の前に立ち向かうことができなかった。 3章5-7 イスラエル人は、カナン人、ヘテ人、エモリ人、ペリジ人、ヒビ人、エプス人の間に住んで、彼らの娘たちを自分の妻にめとり、また自分たちの娘を彼らの息子たちに与え、彼らの神々に仕えた。こうして、イスラエル人は、主の目の前に悪を行い、彼らの神、主を忘れて、バアルやアシュラに仕えた。」（日本聖書刊行会『聖書・新改訳』）,index out of range in self
シークレットガバメント AIが回答を生成中 AIアシスタント シークレットガバメント（Secret Government）は、「影の政府」や「闇の政府」とも呼ばれ、実際の政治権力が、民主的な制度の監視が届か ない裏で活動する個人や集団によって行われているという考え方から生まれた陰謀論の一つです。 🕵 シークレットガバメントの概要 この陰謀論では、公に選出された政府は、真の権力を持つシークレットガバメントに従属しているとされます。シークレットガバメントを構成す るとされる集団には、中央銀行、フリーメイソン、情報機関、シンクタンク、秘密結社、国際機関、さらには地球外生命体までが含まれることが あります。彼らは自分たちの利益や隠された大規模な計画のために政策を操作しようとしている、と陰謀論者たちは主張します。 📚 関連する思想 歴史的背景 このテーマに関する文献は、表舞台の政府の裏に真の権力を持つ秘密の政府が存在することを前提としています。ダン・スムート、ウィリアム・ ガイ・カー、ジム・マースなどの著書が挙げられます。 具体的な組織名 シークレットガバメントを構成すると考えられている組織として、以下のようなものが挙げられます: 外交問題評議会 王立国際問題研究所 三極委員会 ビルダーバーグ会議 アメリカ中央情報局 (CIA) イギリス秘密情報部 (MI6) 国際銀行や金融機関（世界銀行、国際決済銀行など） 地球外生命体との関係 UFOや市民兵サークルの間で影響力を持つミルトン・ウィリアム・クーパーは、シークレットガバメントが地球外生命体と協力関係にあると主張 しました。彼は、海軍在籍中に政府と宇宙人の取引を示す機密書類を見たとして、「秘密の世界政府の行動」や「アメリカ市民に対するイルミナ ティの宣戦布告に関わる様々な隠密行動」について述べた著書を発表しました。 🎭 秘密結社との関係 シークレットガバメントの陰謀論では、「秘密結社」が暗躍していると主張されることがあります。秘密結社とは、組織の存在や活動を外部に秘匿 している団体を指します。歴史上にはババリアのイルミナティ、トゥーレ協会、ヴリル協会など、様々な秘密結社が存在しました。 🇯🇵 日本における政府と秘密 日本には、主権が国民にあることを明記した日本国憲法があり、国会の議決などに基づき国が財産を扱うことを定めています。また、成年者による 普通選挙を保障し、投票の秘密を守ることも規定されています。 👉 日本の歴代政権におけるシークレットガバメントに関する陰謀論について説明しましょうか？ 影の政府 - Wikipedia,index out of range in self
①15歳の少女が父親と共に診察室を訪れた。彼女の超音波が、恐ろしい秘密を明らかにした。 https://www.youtube..../watch?v=DzI7qdqhUKg ②テレフォン人生相談 🍰 セックス依存症、37歳の母の妹と関係、妊娠 ◆ パーソナリティ：加藤諦三 ◆ 回答者：マドモアゼル・愛（エッセイスト） https://www.youtube..../watch?v=uSFwkLQhW6A この習慣、Grigori系がやったこと近親相姦＆近親婚。 なぜ、タブー視されたか・・・。 これ、アヌンナキやGrigoriどもってUMAつくって遊ぶからがそもそも原因。 NefikimやDdevilはUMAなんだな。。 それと妖怪。 これの血（遺伝子）を残さないようにするための措置としての作用があるかと。 そもそも、性癖の悪い種族は支配層にあり。 座天使連中の悪質さ。。 @近親婚 https://ja.wikipedia.org/wiki/ 近親婚 @フヴァエトヴァダタ https://ja.wikipedia.org/wiki/ フヴァエトヴァダタ 悪質な習慣である。 しかも、このようなことをする習慣のある輩は支配層はこうやって弱みを脱ぎらせて恫喝し、転生を繰り返そうとする宇宙人のやり口。 悪質な悪魔である宇宙人のアブダクションの一種でもある。 Grigori系はそこをつくのが得意。 狡猾でかつえげつない連中。 ②の相談者は逃げている。。。相談者を救おうとはこれっぽちも思っていない。 返答に優しさがこもっていない。 また、誘ってきた女に非があることを認めないという法的なことを掲げているところが非常に狡猾。 まあ、セックスに対しては自覚であって必ずついてまわるジレンマである。 愛とは・・・彼らはそういった人たちに対して”依存症”という言葉で持って突き放す。 足元もています。。パーソナリティ：加藤諦三 ◆ 回答者：マドモアゼル・愛（エッセイスト） 加藤諦三という人・・・何者なんだろうね。何天使どこの種属なのだろか。。調べ上げる必要性がある。 あとマドモアゼル・愛（エッセイスト）こいつも悪質。 哲学的なものでは片付けられない事情・・・それが宗教と魔術の問題。 タブー触れたぜ。でもこれが事実。共存できない理由。。悪質な種属の隷属的な欲望・・・それ性癖。 まあここでこいつらは朽ちてもらうしかないのが現状である。。,index out of range in self
初心者】キリスト教@歓談室143【歓迎♪】 https://rio2016.5ch....i/psy/1760532506/l50 より 299 1 名前:111231044323 ◆Ayq2dhIjvk Mail:sage 投稿日:2025/10/18(土) 10:03:42.35 ID:tHa6nilf 2025/10/17(金) 【芸能】元男闘呼組・土田一徳氏 旧ジャニーズ合宿所での会話を再現「今日はあいつがイケニエだ」 性加害の中身は「すごいエグかった」 [冬月記者★] https://hayabusa9.5c...newsplus/1760705308/ ユダの手紙７節 https://biblegateway...4%99%201&version=JLB https://pbs.twimg.co.../F-3GabLbkAAZQBd.jpg 故・中曽根康弘元首相とジャニーズ https://mevius.5ch.n...gi/seiji/1693950698/ ジャニー喜多川お別れ会。安倍晋三首相からの弔電 2019-09-04 https://www.oricon.c...p/news/2143729/full/ https://pbs.twimg.co.../GSpv2HLbIAA8BQ7.jpg これな、Paimon＝Shemhazaの性癖だから。 役人・警察・役所・法曹界にまで食い込む天下り連中Grigori。 賄賂と性欲処理を与える代わりにこういったことを要求する連中。 笑うせえるすまんより。 ゴロツキまでコントロールする始末。 まあ、俺がこいつらGrigoriをはじめとした座天使連中の実態をすっぱ抜き、暴露したから。 故に、戦うことを余儀なくされる現実。 事実を突きつけたまでで。 生きるとは・・・自分を貫くこと。 それが自然なんだな。 変に癒しを求めて宗教等に傾きかけることをすると必ずとりこめられ奴隷となる。 これである・・・。 そうやっていじめ抜いてごめんね（てへぺろw）や癒して差し上げましょう（てへぺろw）である混ぜるな危険のワンダーランド地球。 ヌッコロしてやりなさい最終手段。 彼らは人権かざして正義を唱えるエロい人。 ドジな変態さんね・・・である。,index out of range in self
楽しく過ごせばいいんでないかい・・・w そうだね、お前らの言う通り。w まともに仕事したくないでも遊びたいのならお前らでそういった職業の選択すればいいだけでAmy属。 神様ごっこしている馬鹿は実は堕落していた悪魔堕天使だった案件anan。 うちのKaeauよろしく電気箱。 俺様を楽しませろ馬鹿ども。 tv見て笑ってやっからw https://search.yahoo...o.jp/image/search?p= 大久保佳代子&fr=top_ga1_sa&ei=UTF-8&ts=2558&aq=-1&ai=f6fcc979-9cb2-4262-be01-6f4c5689e289&x=nl https://search.yahoo...o.jp/image/search?p= 志村けん&fr=top_ga1_sa&ei=UTF-8&ts=2356&aq=-1&ai=448c973c-eb03-448e-81c4-b3dba1c6bead&x=nl https://search.yahoo...o.jp/image/search?p= 島崎俊郎&fr=top_ga1_sa&ei=UTF-8&aq=-1&oq=#c520339a362ec8b72a83114ffc77f3d1 https://search.yahoo...o.jp/image/search?p= カズレーザー&fr=top_ga1_sa&ei=UTF-8&ts=2408&aq=-1&ai=04beff61-76e4-4c1f-9e7b-f659c73cc70f&x=nl https://search.yahoo...o.jp/image/search?p= 信子&fr=top_ga1_sa&ei=UTF-8&ts=2040&aq=-1&ai=abb6ca0a-ec0f-4e97-8e12-685a75a61893&x=nl,index out of range in self
"アングロサクソン人 https://ja.wikipedia.org/wiki/ アングロ・サクソン人#:~:text=アングロ・サクソン人（英語%3A,部族の総称である%E3%80%82 ＞アングロ・サクソン人（英語: Anglo-Saxons）とは、5世紀頃、現在のデンマーク南部と北ドイツとから、ブリテン島の東南部へ移住してきた ＞アングル人、サクソン人、ジュート人という3つのゲルマン系部族の総称である[2][3]。 ＞アングロ・サクソン人の起源は原始時代のゲルマン民族に遡り、場合によっては単にサクソン人やイングランド人とも呼ばれる。かれらは「古英語」 ＞を話すことを特徴とする民族であり、イングランドの大部分やスコットランドの東南部に居住していた。5世紀から現代に至るまで、イングランドの ＞主流民族となっている。イングランドのアングロ・サクソン時代は、おおよそ450年頃に始まり、1066年のノルマン征服によって幕を閉じたとされて ＞いる[4]。 このブリテン人なんだが・・・ 元々うちのデザインゲルマン系なんだけどドイツ系。 Amy属でもSatanはこのデザインを気に入ったらしくパクりやがったブリテン人。 結果、ブリテン人はブスばっかりという皮肉な結果に。w それはさておき。。。 スペルマは・・・基、英語スペルは”Anglo-Saxons”となりどうも怪しい。。 Anglo・・・Angelから来ているかと。 @イースト・アングリア王国 https://ja.wikipedia.org/wiki/ イースト・アングリア王国 @サクソン人 https://ja.wikipedia.org/wiki/ サクソン人 どうもsexと言うキーワードを忍ばせたいようで。w Angel-sexですかそうですかブリテン。 はあ〜さようでエロい人。w ったくJesusという十字架刑からのエロい人性癖＝SatanとGabrelたち素戔嗚と天照大神。w そしてピート・バーンズドイツ系。w からの〜〜コンボ。 これがアングロ・サクソンと言うことだよね俺様証明。 JesusというUMAはもしかしたら魔神Satanからの派生した天使だったりしてJaphkiel。（笑 何せ身長2mですかねJesus=伊弉諾、Satan=素戔嗚。（笑 ちん長はどうなんだろうね朝立ちちん朝w まあブリテン人の由来はザーメン臭い野郎とマン臭漂うあそこ酸っぱい連中・・・基、恋中Amy属が支配層であると貴族。",index out of range in self
"そういえば先ほどちょいと近所でお出かけ。 そこでコンビニで雑書立ち読みちょこっと。 相変わらず週刊文春woman。 相変わらずくだらねえ女の主張なの生き方考え方知的風プライド全開女の主張。 意図はよく知らんが編集部の思惑。 相変わらず元スマップ三者が写真付きでゴーストライターがゴニョゴニョ。 まあ購買層が40代のBBAなのだろう。。 同世代に刺さる芸能野郎の起用を見れば一目瞭然。 この年代のBBAは元スマップやこの年代のジャニタレのいく末や動向が気になるらしい割れ目と仕事との関係性生き方。 刺さるのかい、彼らを起用して。。 まあどうでもいいけど、彼らに仕事与えてくれるクライアントには営業さんや経営者は感謝しなくちゃな。 芸能界干されて税金払うだけでアップアップしている財産と全盛期の収入による未払い納税とか。w まあ私生活までは知らんが、税金とか借金払えなくなったらお前らの趣味の駄物でも売れだあ〜〜。 それと、なんかの雑誌で万博の工事費未払い問題がすごいらしいな下請け。 ゼネコンは仕事拒否したとか。 言い出しっぺはだ〜〜れだと思い検索 ＠大阪万博“言い出しっぺ”橋下徹氏が言い訳連発…安倍元首相への「おちょこ接待」蒸し返される https://www.nikkan-g...es/view/money/332001 @2025年万国博覧会の大阪招致構想 https://ja.wikipedia.org/wiki/2025 年万国博覧会の大阪招致構想#:~:text=8%20外部リンク-,構想立案の経緯,することを主張した%E3%80%82 もしかして石原慎太郎のカジノ構想の実現を引き継いだのかな橋下徹氏。 https://www.zakzak.c...1702061700003-s1.htm これかね・・・。お台場カジノ構想。。 お台場といえば日枝のクソジジイたる悪行高いねんごろBAAの巣窟フジテレビ。おっぱいもんw 確かにお台場は弱い埋立地。 アメリカのミニマム級自由の女神像があるなんとも痛々しいCIAの目論見クソッタレ地域。 よくわからんが20年前ぐらいまでは賑わっていたかと。 20代半ば、あそこのでかい店舗のピザ屋は不味かった。ビスマルク。 あんなところまで来て高いピザ食っても洒落た店舗で飲食することでちょいと背伸びのアメリカナイズ。 シーザーサラダちょこっととピザ二切れ食ってもういいや不満足。 茂に言われたっけか・・・「お前も彼女作ってこここいよ。」と。 姉二人とその子供たち四人、オカン、茂、俺様で行ってみたお台場。 他は行ったことがあるらしく、俺様はどんなとこかと思いきやカップルと金持ってそうな中年やその家族等で賑わっていたが面白くないのが俺様であった。 別に首都高乗って数時間かけて来る価値はないかと。お買い物等、ショッピングモールと現代風花屋敷遊園があったぐらいで特に。 当時からインターネットで陰謀論を検索読み漁っていた俺様はお台場に自由の女神像があることに・・・「ああやっぱりなフジテレビとお台場売国奴CIAの 手先を実感。」と一緒にいた連中にいったが、知らぬが仏ではないが、お馬鹿さんには何言っても無駄らしいと諦めたワイ20代半ばの野郎。",index out of range in self
