Text,True_Hate,Pred_Hate,Error_Type
上 帝 粒 子 真 不 像 个 科 学 名 词 ， 倒 像 哲 学 名 词 。 不 过 它 对 于 ， 最 后 一 种 未 被 发 现 的 基 本 粒 子 ， 也 是 解 释 物 质 质 量 之 谜 的 最 重 要 粒 子 来 说,1,0,漏报(FN)
一 修 女 搭 上 神 父 的 车 ， 神 父 禁 不 住 伸 手 摸 修 女 雪 白 大 腿 ， 修 女 问 ： 神 父 ， 你 记 得 圣 经 129 条 写 着 什 么 吗 ？ 神 父 脸 红 急 忙 收 手 ， 回 到 教 堂 后 迫 不 及,1,0,漏报(FN)
【 诡 异 】 金 正 日 酷 爱 列 车 出 行 ， 去 中 俄 访 问 都 是 警 备 森 严 的 长 长 列 车 ， 行 踪 不 定 ， 密 不 外 传 。 谁 料 想 ， 其 人 结 局 竟 然 也 会 病 逝 在 出 行 的 神 秘 列,1,0,漏报(FN)
上 帝 吐 的 ？ 挺 圆 滴 。,1,0,漏报(FN)
曾 经 根 基 建 立 在 圣 经 上 的 荣 耀 之 国 啊 [ 衰 ] / / @ 远 牧 师 : 美 国 最 值 得 羡 慕 的 不 是 它 的 自 由 和 民 主 ， 而 是 它 的 自 由 和 民 主 赖 以 健 康 生 存 的 基 督,1,0,漏报(FN)
我 以 前 喜 欢 送 朋 友 圣 经 / / @ 杨 兴 权 律 师 : 好 好 爱 惜 圣 经 ， 看 看 自 己 的 圣 经 多 久 没 读 了,0,1,误报(FP)
上 帝 太 忙 ， 管 不 过 来 。 南 方 公 园 / / @ 彼 亦 一 是 非 : 回 复 @ 风 一 般 的 男 纸 : 跟 薛 兆 丰 一 样 ， 居 然 用 上 帝 都 设 计 好 了 人 还 有 啥 用 的 逻 辑,1,0,漏报(FN)
热 死 ， 一 同 事 在 电 梯 里 看 圣 经 ， 人 家 那 觉 悟 呀 ～,0,1,误报(FP)
@ 上 海 人 李 : : 文 明 是 物 质 性 的 、 生 存 的 、 基 于 欲 望 的 ； 文 化 是 精 神 性 的 、 存 在 的 ， 基 于 心 灵 的 。 中 世 纪 的 黑 暗 ， 文 革 式 的 野 蛮 ， 既 剥 夺 欲 望,1,0,漏报(FN)
上 帝 粒 子 听 起 来 确 实 不 像 一 个 科 学 术 语 ， 而 更 像 是 一 个 哲 学 术 语 。 但 它 非 常 适 合 最 后 一 个 未 被 发 现 的 基 本 粒 子 和 解 释 物 质 质 量 之 谜 的 最,1,0,漏报(FN)
