title,floor,author,time,main_content,lzl_replies,link
欢迎加入大西洋教,1,大西洋神教-大主教,未知,加入大西洋神教，可以免费获得限量版玩偶一个,,https://tieba.baidu.com/p/10157742715?pid=152779917589&cid=0#152779917589
欢迎加入大西洋教,2,大西洋神教-大主教,未知,这是我们伟大的大西洋神,,https://tieba.baidu.com/p/10157742715?pid=152779917589&cid=0#152779917589
欢迎加入大西洋教,3,大西洋神教-大主教,未知,本教的宗旨是建立一个人人都喜欢大西洋的世界,,https://tieba.baidu.com/p/10157742715?pid=152779917589&cid=0#152779917589
欢迎加入大西洋教,4,,未知,"身为大西洋教教主你怎么能忘了强调大西洋的全名
大西洋•宇宙真理",,https://tieba.baidu.com/p/10157742715?pid=152779917589&cid=0#152779917589
欢迎加入大西洋教,5,孤独先生7,未知,西哈！！！,,https://tieba.baidu.com/p/10157742715?pid=152779917589&cid=0#152779917589
欢迎加入大西洋教,6,一一得,未知,等老大真出了周边时真能免费送吗！我对大西洋一心一意！,,https://tieba.baidu.com/p/10157742715?pid=152779917589&cid=0#152779917589
欢迎加入大西洋教,7,懒得取名字7u7,未知,大西洋～,,https://tieba.baidu.com/p/10157742715?pid=152779917589&cid=0#152779917589
新人有个疑惑,1,化吉连03,未知,我听说蓝洋教育比东吴专转本要出名，但是我搜了一下两个教育机构的现状，关于蓝洋的帖子少的可怜，但是关于东吴的确很多。在这我有个问题想问一下，蓝洋是否存在控制舆论的行为？总之我翻了那么多帖子没有一个说蓝洋坏话。,,https://tieba.baidu.com/p/10145237025?pid=152763688679&cid=0#152763688679
新人有个疑惑,2,白泽*,未知,没听说过,,https://tieba.baidu.com/p/10145237025?pid=152763688679&cid=0#152763688679
新人有个疑惑,3,Embark·苏,未知,白羊计算机？,,https://tieba.baidu.com/p/10145237025?pid=152763688679&cid=0#152763688679
