annotation_id,annotator,average_prob,christianity_related,created_at,hate_speech,id,lead_time,model_votes,sampling_strategy_tag,text,updated_at
3277,1,0.7289340694745382,0,2026-02-15T12:37:24.641250Z,0,17637,1.97,1/2,uncertain_or_low_confidence,"\""求好不可太快\"",说的好,因为欲速则不达啊. //@铁血华夏中国人:[good] //@孔庆东: 会唱《东征将士出征歌》吗？",2026-02-15T12:37:24.641279Z
6131,1,0.9206254084904988,1,2026-03-14T10:30:17.127176Z,0,18204,37.311,1/2,uncertain_or_low_confidence,#家庭乐#俄罗斯东正教圣母大教堂，不仅是旧金山的一处地标，也是美国西海岸的俄罗斯东正教会中心。拥有三个唱诗班，一个正统学院，和一个俄罗斯高中。在这个神圣而庄严的建筑内部，各种精致的壁画将其装饰得金碧辉煌，让人叹为观止的同时也肃然起敬。,2026-03-14T10:30:17.127189Z
602,1,0.8249532183011373,0,2026-02-02T12:39:54.360704Z,0,17777,2.617,1/2,uncertain_or_low_confidence,"魅力无限的LA在等你!当我在 @洛杉矶旅游局 中文网站发现#格罗夫购物中心#时,就按耐不住内心的激动,想去感受无与伦比的精彩.福音来了,现在分享洛杉矶故事还有机会赢取洛杉矶免费游,小伙伴还等什么?猛截这里 http://t.cn/8sUwvHb",2026-02-02T12:39:54.360721Z
5386,1,0.8104666074117025,0,2026-02-26T02:02:45.833077Z,0,18019,2.043,1/2,uncertain_or_low_confidence,#第二十三届全国图书交易博览会#接力出版社隆重推出――秦文君老师的最新力作“小鸟公主”系列，预计在今年暑假与小朋友们见面！！！@山下之风 @编辑胡金环 @六丑花范 @爱姬平不了身 @上帝的大板儿牙 @詹小悦Jocelyn,2026-02-26T02:02:45.833096Z
7816,1,0.8293109734853109,0,2026-03-23T10:55:25.501135Z,0,17209,3.214,1/2,uncertain_or_low_confidence,苏宁易购本地生活频道又推出新业务――订餐服务，首批上线试运营的商户包括棒约翰、吉祥馄饨等，覆盖北上广深宁等１０个城市，支持餐到付款服务，这是宅男宅女们的福音，美食随叫随到。更多商户正在陆续进驻中，敬请关注苏宁易购本地生活频道。http://t.cn/zHCCc90,2026-03-23T10:55:25.501151Z
3431,1,0.768984059492747,0,2026-02-15T12:57:42.043280Z,0,18854,2.916,1/2,uncertain_or_low_confidence,师傅领进门，修行在个人。教会徒弟，饿死师傅，谁都留一手，好多老祖宗的好东西到现在不已然失传了。,2026-02-15T12:57:42.043296Z
4129,1,0.8786378701527914,0,2026-02-18T06:04:50.817151Z,0,15288,1.565,1/2,uncertain_or_low_confidence,回复@传媒从业者刘斌:福音！！～～！！ //@传媒从业者刘斌:通知函下午已统一发到我们这里了，明天统一下发。,2026-02-18T06:04:50.817173Z
7136,1,0.782328208287557,0,2026-03-19T12:24:04.986886Z,0,17599,2.76,1/2,uncertain_or_low_confidence,新教皇�上任就遇到最大危�！到底是���奇�大？�是教皇�魔能力�大？我�拭目以待,2026-03-19T12:24:04.986917Z
4402,1,0.7497542897860209,0,2026-02-18T12:24:50.591020Z,0,18814,1.524,1/2,uncertain_or_low_confidence,"回复@�晓薇�:14年前的\""新浪摄影\"",公开<天穹>一天点击率过万-----那时的中国,有电脑能上网的,都是\""土豪\""先锋... //@�晓薇�:天穹这张很喜欢！！！看到过。上帝开了一扇窗。",2026-02-18T12:24:50.591042Z
7880,1,0.8049242496490479,0,2026-03-23T10:58:53.781170Z,0,19018,3.502,3/0,consistent_hate_high_conf,中国法律根本没有在这件事上给出任何依据。女性职业不作为是否违背意志的评判标准，84年的《解答》已经说的很清楚了。所以请问诸位到底在谈强奸是否构成，还是在谈强奸造成的伤害？还有检察院难道不是以轮奸罪起诉的吗？那是最严重的强奸。现在关于有什么公开审判材料吗？,2026-03-23T10:58:53.781188Z
6298,1,0.8571508526802063,1,2026-03-14T11:14:44.249839Z,0,17262,3.992,2/1,uncertain_or_low_confidence,《圣经》上所罗门王说，人的一生不过七、八十年，其中所矜夸的，不过是劳苦愁烦，我们便如飞而去；如果不甘如此，从现在开始，请挖掘心中的渴望，找出你的梦想 //@oxpoo8:让我们珍惜一切吧，共度美好时光。转发,2026-03-14T11:14:44.249851Z
7267,1,0.7477409839630127,0,2026-03-19T12:33:36.372999Z,0,19169,1.005,0/3,consistent_non_hate,//@以色列旅游局: 地中海一望无边的蓝,2026-03-19T12:33:36.373020Z
4241,1,0.8037243286768595,0,2026-02-18T11:06:30.448006Z,0,15795,5.041,2/1,uncertain_or_low_confidence,去中国银行换欧元，一个人总盯我看，于是心里惴惴，盛传中行给哈马斯提供外汇，那兄弟不会是以色列摩萨德的间谍，把我当成巴勒斯坦人了吧？虽然长得有点像，但我一口京片子啊,2026-02-18T11:06:30.448029Z
7268,1,0.9768152236938475,0,2026-03-19T12:33:44.429986Z,0,16197,7.872,1/2,uncertain_or_low_confidence,#maias新品欣赏#【经典单品之大衣】伯利恒的阳光：2000多年前，有一个圣婴在伯利恒降生，他的名字叫“耶稣”。从此，这个世界有了宁静的阳光，有了平安的祝福……羊毛薄呢面料，简约利落的中长款羊毛大衣，穿上它最适合徜徉在冬日的暖阳中。,2026-03-19T12:33:44.430009Z
6233,1,0.8001683553059896,0,2026-03-14T11:02:32.028081Z,0,16700,4.348,2/1,uncertain_or_low_confidence,英国某学校到女儿所在学校交流，酷爱面塑的女儿被老师挑中参加教英国孩子捏面塑活动。课上，许是女儿捏的不错，带队的两位老师也凑到女儿这组，并让女儿教会了入门的小辣椒。内心自豪的女儿回家后跟我汇报的时候，还假装委屈的说：别人都是教一个同学，我的任务最重，还教了两位老师。[偷笑],2026-03-14T11:02:32.028101Z
6960,1,0.8073776563008627,0,2026-03-19T11:41:58.781238Z,0,16639,1.372,2/1,uncertain_or_low_confidence,深圳假发票假币真是猖獗，顿顿吃饭收到假发票是家常便饭，朋友教会了我识别假发票的方法，每次给发票时，都说换一张吧，服务会面不改色，没有一句废话的帮换，没有一点羞愧之情。但气人的是，我们入住的@深圳华强广场酒店 ，今天在办理退房时，退回的押金900元里居然有一张假币！,2026-03-19T11:41:58.781260Z
