text,model_votes,average_prob,sampling_strategy_tag
https://x.com/tachib.../1829781737364459963 このお笑い芸人のいうことたいてい外れてるよね 去年の裁判もほとんど敗訴ｗｗｗ,5/0,1.0,consistent_hate
>>431 アホなの？,5/0,1.0,consistent_hate
創造主を甘く見すぎなのだ。,0/5,0.8,consistent_non_hate
【忘れないから】 サビの後はこの1行だけ。 歌詞すべての中でタイトルがそのまま出てくるのはここだけです。 もちろん歌詞全体に、君を忘れないという思いは溢れています。 それでも『忘れないから』はここに1回しか出てきません。 君に届くようにGACKTさんが歌います。忘れないよりも忘れたくない君への思い。 1度だけの「僕は忘れない…」をささやく声はGACKTさんの愛で満たされています。,0/5,0.8,consistent_non_hate
がんばるなぁ,0/5,0.8,consistent_non_hate
✝,0/5,0.8,consistent_non_hate
岡本太郎の“言霊”を現代に甦らせた『タローマン』 藤井亮監督が語る型破りな特撮ドラマの舞台裏,0/5,0.8,consistent_non_hate
さあ 大和の女神に成りたい天女らよ。輪(和)を見せよ。,0/5,0.8,consistent_non_hate
https://youtube.com/...?si=0qxNj91YZz80vagl,0/5,0.8,consistent_non_hate
>>53 亀ちゃんの甲羅で 守られているのだ！,0/5,0.8,consistent_non_hate
UP,0/5,0.8,consistent_non_hate
https://animal-liber...net/issue/slaughter/,0/5,1.0,consistent_non_hate
"（ ,_ﾉ` )y━･~~~うむ",0/5,0.8,consistent_non_hate
天のチチの大いなる輪(和)を示せ,0/5,0.8,consistent_non_hate
津波 伊達でんこ〜,0/5,0.8,consistent_non_hate
☆ (´￣ω￣｀)うむ,0/5,0.8,consistent_non_hate
目から水が…(´;ω;｀),0/5,0.8,consistent_non_hate
あっ・・・,0/5,0.8,consistent_non_hate
>>3 🙅,0/5,0.8,consistent_non_hate
さ,0/5,0.8,consistent_non_hate
お早うございます。 今日も寒いね、冬の服で厚着をしています。,0/5,0.8,consistent_non_hate
その後のひよこ組プレー? https://www.bing.com...DE2E85E4&FORM=VAMGZC,0/5,0.8,consistent_non_hate
＞大好きなお兄ちゃん 泣かせるぜ... 立派なお兄さんや,0/5,0.8,consistent_non_hate
・,0/5,0.8,consistent_non_hate
ユリウス曆 2025年 6月(August) 22日(月曜日),0/5,0.8,consistent_non_hate
youtu.be/1C_UEgNJF00?t=1825,0/5,0.8,consistent_non_hate
https://i.imgur.com/GJAiZ8Z.jpeg https://i.imgur.com/lQ9IXdD.jpeg https://i.imgur.com/QavQsbh.jpeg,0/5,0.8,consistent_non_hate
