text,model_votes,average_prob,sampling_strategy_tag
建议去看看四五六世纪，在罗马国家境内的基督教教派争端，少不了皇帝有型得大手，然后你就知道为什么了。,2/1,0.8017560839653015,uncertain_or_low_confidence
厂🐶被安排星期天上班不上的话就是打旷工，旷工一天扣三天,1/2,0.7393803199132284,uncertain_or_low_confidence
早苗的符卡，［大海分开之日］和［摩西之奇迹］不就出自圣经吗？虽然是旧约,1/2,0.7674817442893982,uncertain_or_low_confidence
12年足球生涯，10年都在养伤，早该退役了,2/1,0.7758337457974752,uncertain_or_low_confidence
？不是，命运之轮是和国王出走的呀，他们现在是被教会除名的状态,2/1,0.7150354782740275,uncertain_or_low_confidence
"幽灵圣斗士钢铁圣斗士的风格跟圣斗士不搭，钢铁圣斗士一股高达味。85后画风虽说很有年代感，但跟圣斗士的风格其实不搭，感觉并不像星座战士，反倒一股荒野角斗士的感觉，完全一股北斗神拳那味，北斗神拳倒是特别适合这种画风，可以体现末世风格，但圣斗士配这种画风有些不伦不类。
而且造成很多战力崩坏和逻辑崩坏，卡西欧士的哥哥和萨尔娜的妹妹都被打死，他们居然不去找星矢复仇，却还为他牺牲。小强们的常态战力日常被削，原作中在黄金十二宫之前，只有星矢是经常受虐后开挂，冰河、瞬、一辉的很多战斗都是很轻松打赢对手，紫龙也只是日常残血才导致一些战斗艰难。动画版强行让其他小强常态陷入苦战。漫画一辉打白银也是人狠话不多，出手果断干净，动画把一辉整的有些出手磨磨唧唧。
要说这段剧情真正原创好的还是给小强加入日常的戏份",2/1,0.8361391027768453,uncertain_or_low_confidence
就现在的普通的，也能流利说普通话，或者家乡话,1/2,0.8760395447413126,uncertain_or_low_confidence
死神打戏纯胡闹比海贼王还差劲,2/1,0.8822585741678873,uncertain_or_low_confidence
"威尼斯转拜拜，东正，玩到1520，有君堡罗马安条克，但没有传教士加成，只有一个基础的和一个信仰守护者的。
我查了一下好像是开局前切剧本导致的。
现在传教好慢，传的还没吃的快，意大利都没传完。但打到这个时间我也不想重开了。有没有万能的8u有解决方法？或者有没有加传教士的控制台代码？
谢谢喵
巴西尔二世镇楼",2/1,0.8274116317431132,uncertain_or_low_confidence
差俩洞,1/2,0.8360456824302673,uncertain_or_low_confidence
胡扯也要有个限度，阐教只收人族和先天灵物？阐教三代最厉害的弟子杨戬收了路边野怪金毛童子，请问金毛童子是个什么灵物？元始天尊亲自指点姜子牙去收龙须虎，龙须虎又是什么出身？天赋差到神道都成不了的姜子牙，砍柴的农民武吉又是什么精英？阐教有名有姓的弟子大多天皇时期修道，大概率都是人类，哪有什么先天灵物，截教的先天生灵可比阐教多多了，金灵圣母的徒弟余元都在天皇成正果，比阐教十二弟子修行还早，金灵圣母只能更早，赵公明三霄见过开天辟地，张口就是先有吾党后有天，才是标准的先天之灵，混淆是非颠倒黑白这块还是某些洪荒流选手厉害,2/1,0.8079636693000793,uncertain_or_low_confidence
"大家别上当了！西方自证的西两河古埃及古波斯古希腊古罗马全是西方文创产品与迪士尼乐园一样！！
①欧洲400年前无文字！利玛窦中国札记中利玛窦自述1598年首倡创作对汉字注字的欧洲表音文字（头条，石兵突击，条友置顶文章）！欧洲400年前全是故事会！
②（个人首提）实际上西方己通过罗塞塔石碑成功破译证实了古两河古埃及古波斯古希腊古罗马全是三百年内（1755/2025）的文创产品！托马斯杨+商博良以读音相同+字母对应表破译法证明古埃及语古希腊语创作完成于1799年！是1755年后英语的次级语言！
③（个人首提）美国总统华盛顿被西医用杀鸡杀猪式放血疗法治死证实了达芬奇/哈维等发现及证明人体血液循环系统是伪造的！也证实了文艺复兴以及达芬奇米开朗基罗等人全是1799年之后伪造！
④十进位值制是科学之祖，科学之根，科学之门。各种进制，位值制均为中国古代发明创造，无十进位值制将无科学。而西方自证西元1791年前无十进位值制。故欧洲西元1791年前无科学。均为抄袭和模仿或伪造！",1/2,0.8279818495114645,uncertain_or_low_confidence
因为耶稣这种角色是周公和孔子,1/2,0.9035071730613708,uncertain_or_low_confidence
我就是可能语言能力比较强，恰好把对方给辩倒了吧,1/2,0.7873034079869589,uncertain_or_low_confidence
xnyscswfjb……刻在所有人脑门上,1/2,0.7591079076131185,uncertain_or_low_confidence
神奇的发型，真的会有人造这玩意当主力吗，估计只有矛厂会有人用，拿去造矛卖钱,2/1,0.7226829330126444,uncertain_or_low_confidence
所以说篮网三巨头还是热火三巨头厉害,1/2,0.851952314376831,uncertain_or_low_confidence
兄弟们，最近体验了禁忌修女，体验方面来讲，相比大tun少了些撞击感，但少出来的让他有了更多的可玩性，可以有很多玩法，个人感觉通道的刺激度算是中高刺激，个人实战用了15分钟就被拿下了,1/2,0.787477970123291,uncertain_or_low_confidence
这个dlc根本就配不上亨利的落幕！太敷衍了，做的好点你卖钱都行，这哪是dlc！这就是原来游戏的支线！,2/1,0.7786145210266113,uncertain_or_low_confidence
你猜诛仙要是这样，会被喷成啥样,2/1,0.819171150525411,uncertain_or_low_confidence
那不知道为啥也给基督教加多出来的等级图标，难道是以后神权制能用得上吗,2/1,0.7516407171885172,uncertain_or_low_confidence
准确来说儒教，叫他不能算是一个准确意义上宗教在汉朝之前，其实还是有传教士的，但在汉朝之后，这种东西逐步被改造为依附于国家体系，维护国家体系的运转模式，儒教就已经和中原政权用铁链锁死在一起，已经没有办法通过正常模式了，只能通过中原王朝对外部的征服，屠杀，文化灭绝，才能让儒教以沐浴王化名义进行传播，到由于王朝周期律和国境线的变动，实际上不太行，只能做到断断续续，传播力大幅度锐减，转而变成了维护社会稳定的基石,1/2,0.8219602108001709,uncertain_or_low_confidence
"#全球诺贝尔奖获得者有多少信仰上帝？
根据现有数据1901-1996年间639名诺贝尔奖得主中，有619人明确表示“有神论”信仰上帝，信仰者占比约92%。这一数据来自盖洛普调查，覆盖300年间300位科学家，其中262位著名科学家中92.4%信神。
典型案例：爱因斯坦、牛顿、伽利略等科学家均公开表达对上帝的信仰。爱因斯坦认为宇宙的精密运行需要某种力量来维持秩序，这种力量被视为神的体现。",1/2,0.8100855350494385,uncertain_or_low_confidence
负责跟上帝公式唱反调,1/2,0.860791802406311,uncertain_or_low_confidence
"没人说瓦四不是逆天啊
他爹把神罗皇位都送他嘴边了，他靠硬实力吐出来，你哪怕开把ck3想通过正常手段吃下神罗皇位都没这么轻松",2/1,0.7940275073051453,uncertain_or_low_confidence
其实龙虾会发出声音 听身辨位就挺好找的,1/2,0.8478283882141113,uncertain_or_low_confidence
其实战锤的阿拉比远征原型更多参考伊比利亚收复失地运动……而不是东征耶路撒冷的十字军，中古世界里占据希腊和拜占庭位置的大概是高精,2/1,0.8129947781562805,uncertain_or_low_confidence
金象水的程度比金鸡还夸张，狄仁杰通天帝国连金鸡都水不出来的影后,2/1,0.7694208025932312,uncertain_or_low_confidence
再来个近身不穿裙的，不知道发不发出,1/2,0.7333488066991171,uncertain_or_low_confidence
弘光改信搬救兵这一块,1/2,0.8648751576741537,uncertain_or_low_confidence
牛魔,2/1,0.7992582122484843,uncertain_or_low_confidence
"之前光辉哈卡玛一次，维尼罗卡航天城一次，以及这次的命运之轮一次，平息这次事件后，你们说空花要不要对机械教会进行一次讨伐?明明没怎么管过他们，却三番两次的被找事，再不揍他们一顿有点说不过去吧？
而且机械教会已经证明了，他们就是该被人类灭亡的敌人",2/1,0.6665647625923157,uncertain_or_low_confidence
我去逆天了，这b韬光养晦十一年，给我儿子谋杀了我这大器天成的儿子啊早知道当初斩草除根似的,2/1,0.8755998412768046,uncertain_or_low_confidence
四十三年，望中犹记，烽火扬州路。,2/1,0.8320674697558085,uncertain_or_low_confidence
有也够自己送上门来了@龙煌༒ @✌🏻大佐 @哪里有人钓鱼不带头盔,1/2,0.8119398156801859,uncertain_or_low_confidence
莫塔里安，何时来的？,1/2,0.7126970291137695,uncertain_or_low_confidence
没有契约精神,2/1,0.6526442368825277,uncertain_or_low_confidence
还有就是我没有任何教派😂,1/2,0.7610965172449747,uncertain_or_low_confidence
