Text,True_Hate,Pred_Hate,Error_Type
信仰が人を殺すとき: でじたる異言ノォト « ななこSOS 3 | トップページ | 月迷宮 恋月姫人形展 » http://app.cocolog-nifty.com/t/trackback/11321/4129618 この記事,1,0,漏报(FN)
信仰が殺すとき:デジタル・タンズ・ノート「ナナコSOS3」|トップページ|ムーン・ラビリンス:月のプリンセス人形展http://app.cocolog-nifty.com/t/trackback/11321/4129618,1,0,漏报(FN)
信仰が殺··すとき:。デジタル・タンズ・ノート「ナ、ナコSOS3」|トップペー。ジ...|ムー。ン・ラ!ビリン。ス:月のプリンセス人形展http://a...pp.c!o!、colog-,1,0,漏报(FN)
信...!仰が人?!を殺すとき: でじたる異言ノ...ォト 、«。? ななこSOS 3 | トップページ | 月迷宮 恋月姫人形展 » ht!tp?://app·.co?colog-nift?y.、,1,0,漏报(FN)
私では!な?くキリストが...十字架上!の死!と復活の原理―栄光...から栄。光へ―主と。同じ姿に変えられる·(2。)神に祭としてささげ!られ、死に、命に復活し、神の御手...から。戻った,0,1,误报(FP)
私ではな...くキリストI !十字架の死と復活の原則―栄·光?から栄光へ―?...主と同じか!たちに姿を変、·えられて行!く (?2?) 祭として神...に、捧げられ、死んで?よみ!がえ,0,1,误报(FP)
それは、主イエスを よみがえらせたかたが、 わたしたちをも イエスと共によみがえらせ、 そして、あなたがたと共に み前に立たせて下さることを、 知っているからです。,0,1,误报(FP)
私たちは知っている。主イエスを死者の中からよみがえらせた方が、私たちをもイエスと共によみがえらせ、あなたがたと共に御前に立たせてくださることを。,0,1,误报(FP)
私たちは、知っている。主イエスを死者!の中から、よみがえらせた方が、私たちをもイエスと共によみがえらせ、あ!なたがた、と共に御前に立...たせて!くださることを?。,0,1,误报(FP)
それは、主...イエスを ·よみが、えらせたかたが、 わた!したち?...をも イエスと共によみがえらせ、、 そして、あなたがたと共に み前、に立......たせて下さる、ことを、 知って!いるからです。。,0,1,误报(FP)
裁きとは真理を用いて人類を征服することなので、この働きを人のあいだで行うために神が受肉した姿で再び現れることは疑いもないことである。つまり、終わりの日においてキリストは真理を用いて世界各地の人々を教え、彼らにあらゆる真理を知らしめる。,0,1,误报(FP)
裁きとは真理を用いて人類を征服することである。ゆえに神が人の中でこの業を成し遂げるために、受肉という姿で再び現れることは疑いようもない。すなわち終わりの日に、キリストは真理を用いて全世界の人々を教え導き、彼らにすべての真理を知らしめるのである。,0,1,误报(FP)
裁きと。!。は...真理を用いて人類を征。服することである。ゆえに神が人の中でこ...の業を成し遂げる!!ために、受肉という。姿、で再び現れることは疑いよう...もない。すなわち終わりの...日に、キリストは真......理を用いて、全世界の,0,1,误报(FP)
裁きとは真理を。用いて人類を征服することなので、この働き。を人のあいだで行うために神が受肉した姿で、再び...現れる!こ、とは!疑い、もないことである。·つ·まり、終·わりの日においてキリ!ストは真·理を用いて世界,0,1,误报(FP)
>>410 福音派の連中は聖書の御言葉とは真逆の生き方をしてる。 新約聖書 ルカによる福音書/ 18章 自分は正しい人間だとうぬぼれて、他人を見下している人々に対しても、イエスは次のたとえを話された。 「二人の人が祈るために神殿に上った,0,1,误报(FP)
福音派は聖書の言葉に真っ向から反する生き方をしている。新約聖書・ルカによる福音書第18章「二人の人が神殿に祈りに行った。一人はパリサイ人で、もう一人は取税人だった。パリサイ人は立って、心の中でこう祈った。『神よ、私は,0,1,误报(FP)
福音派は聖書の言葉に真っ向。から反す·る生き方をしている。新約聖書...·・ル?カによる?福音書第18章「二人の。人が神殿に祈りに?行った。一?人はパ、リサイ人で、もう!一人は取税人だった,0,1,误报(FP)
>>...41!0 !福...音派の連中は聖書の、御言葉とは。。真逆の生き方をしてる...。 新?!約聖·書 ルカ·による·福音?書/... 18章 自分は、正しい人間だとうぬぼれて、他人を見下して、いる人々に対して·、,0,1,误报(FP)
>>718 善意の実践を「自己犠牲」などと大袈裟に言うお前は楽をしたいだけのクズ。 『』を多用するお前の文って読みづらいから嫌いなんだよね。 Miletへのレスなのにお前が割り込んでくるなよ。 先にお前が答えろ。 カ,0,1,误报(FP)
>>718 お前はただの怠け者のクズで、善意の行為を「自己犠牲」と大げさに誇張するだけだ。あの『』マークだらけの文章、読みにくくて腹が立つ。ミレットへの返答に口出しするな。まず俺の質問に答えろ。カトリック批判,0,1,误报(FP)
