text,method,group_id,hate_speech,christianity_related,annotation_id,annotator,average_prob,created_at,id,lead_time,model_votes,sampling_strategy_tag,updated_at
﻿ 日本人にとって、イエスとは誰なのか 漁師さんの本音 | 月刊いのちのことば Previous:ブック・レビュー 夫婦ともに学ぶことができる Next: 時代を見る目 255 希望ある明日に向かって [3]　未来を創る国際協力,original,0.0,0,1,5201,1,0.4457979003588359,2026-02-24T13:37:19.760401Z,19182,11.567,1/5,uncertain_or_low_confidence,2026-02-24T13:37:19.760426Z
日本人にイエスとは誰か？漁師の真実の気持ち｜月刊いのちのことば前の記事：書評：夫婦で共に学ぶ次の記事：時代を見る255：希望に満ちた明日へ［３］国際協力による未来の創造,BT_DeepL_EN,0.0,0,1,5201,1,0.4457979003588359,2026-02-24T13:37:19.760401Z,19182,11.567,1/5,uncertain_or_low_confidence,2026-02-24T13:37:19.760426Z
日本人にイ、エス·...とは誰？か？漁師の真実の気持ち｜月！刊いのちのことば前？·の記事：書？評：夫婦で共に学ぶ...次の記！事：、時代を見る255：希...望に満ちた明·？日へ［３］国際協·力による未来の創造,BT_DeepL_EN_AEDA,0.0,0,1,5201,1,0.4457979003588359,2026-02-24T13:37:19.760401Z,19182,11.567,1/5,uncertain_or_low_confidence,2026-02-24T13:37:19.760426Z
、﻿ 日本人にと...って、イエスとは誰なのか 漁、師さんの本音 | 月。刊いのちの？こと。ば P、revious:ブック...・レ。ビュー 夫·婦ともに学ぶことができる Nex？t: 時代を見る目！ 255 希望あ。る明日に向·かって [？3]　未！来を創·る国際協力...,AEDA_Only,0.0,0,1,5201,1,0.4457979003588359,2026-02-24T13:37:19.760401Z,19182,11.567,1/5,uncertain_or_low_confidence,2026-02-24T13:37:19.760426Z
イエスの時代の陰謀と現代の陰謀：陰謀に怯えるべきでない根拠: 雲の柱・火の柱　アウトロー神学者の終末世相診断 << ケムトレイルの内部告発動画 | TOP | ペットは死後どうなるのか >> なかなか説得力のある記事ですね。 Posted by 大和の苫屋 at 2010年08月01日 22:38 お久しぶりです。有り難うございます。栄光在主。 Posted by モトイ at 2010年08月02日 06:48,original,1.0,1,1,2013,1,0.4187148511409759,2026-02-12T13:21:16.285577Z,19188,6.772,2/4,uncertain_or_low_confidence,2026-02-12T13:21:16.285597Z
イエスの時代の陰謀と現代の陰謀：なぜ陰謀を恐れるべきでないのか：雲の柱と火の柱 ― 異端神学者の終末論診断 << ケムトレイル内部告発者動画 | TOP | ペットの死後の行方 >> なかなか説得力のある記事だ。 大和のトマヤ 2010年8月1日 22:38投稿久しぶりですね。ありがとうございます。主の栄光あれ。本井 2010年8月2日 06:48投稿,BT_DeepL_EN,1.0,1,1,2013,1,0.4187148511409759,2026-02-12T13:21:16.285577Z,19188,6.772,2/4,uncertain_or_low_confidence,2026-02-12T13:21:16.285597Z
...イエ？スの時代の陰謀と。現代の陰謀：なぜ陰謀を恐！れるべき。でないのか：雲の柱と、火の柱 ―· ！異端神学者の。終末論診断 ？。、<< ケムトレイル·内部告発者動·画 | TOP ·|！ ？ペットの死後の行方 >>· なかなか説？、得力？のある記事だ。 大和のトマヤ 2010年8月1！日 22:？38投稿久しぶり！ですね。ありがとう。ご...ざいます。主の栄光あれ·。本井 2010··年8月2日 06:48投稿,BT_DeepL_EN_AEDA,1.0,1,1,2013,1,0.4187148511409759,2026-02-12T13:21:16.285577Z,19188,6.772,2/4,uncertain_or_low_confidence,2026-02-12T13:21:16.285597Z
イエスの時？代。の...陰謀と現代の陰謀：陰。？謀に怯えるべ、きでない根...拠: 雲。の柱・火の...柱　アウ·トロ！ー神学者の終末世相診......断 <<... ケムトレイルの内...部告発動画 | TOP | ペット·は死後どうなるのか >>！ なか·...。なか説得力のある記事で？すね。 Pos。...ted by 大。和の苫屋 a·t 2010！年08？月01日 22:38 お久しぶりです。有り難、うございま、す。栄光！在主。 P。osted by モトイ at 2010年08月0。2·日 06:48,AEDA_Only,1.0,1,1,2013,1,0.4187148511409759,2026-02-12T13:21:16.285577Z,19188,6.772,2/4,uncertain_or_low_confidence,2026-02-12T13:21:16.285597Z
日本キリスト教団　行人坂教会: 信仰は冠す coronat fides << ６月第４主日礼拝 | TOP | 木が歩いているような…【マルコ8：22〜26】 >>,original,2.0,0,1,2599,1,0.4154010613759358,2026-02-14T05:51:21.610881Z,19189,4.873,2/4,uncertain_or_low_confidence,2026-02-14T05:51:21.610909Z
日本キリスト教会 一坂教会：信仰はすべてを冠する coronat fides << 6月第4主日礼拝 | TOP | 木々が歩いているかのように…［マルコによる福音書8:22-26］ >>,BT_DeepL_EN,2.0,0,1,2599,1,0.4154010613759358,2026-02-14T05:51:21.610881Z,19189,4.873,2/4,uncertain_or_low_confidence,2026-02-14T05:51:21.610909Z
日本キ...リス·ト教会、 一坂教？会：信仰は！すべてを冠する。 coronat fides << 6月第4？主日礼。拝、 ··| TOP | 木！々が歩いているかのよ...うに…...［マルコによる福音書8:2、2-2·6］ 。>>,BT_DeepL_EN_AEDA,2.0,0,1,2599,1,0.4154010613759358,2026-02-14T05:51:21.610881Z,19189,4.873,2/4,uncertain_or_low_confidence,2026-02-14T05:51:21.610909Z
日本キ。リスト教団　行人坂教会: 信仰は冠。す cor？...onat fides！ << ６月第４主日礼拝 | TOP | 木が歩いているような…【マ...ル！！？コ8：22...·〜26】 >>,AEDA_Only,2.0,0,1,2599,1,0.4154010613759358,2026-02-14T05:51:21.610881Z,19189,4.873,2/4,uncertain_or_low_confidence,2026-02-14T05:51:21.610909Z
主日礼拝メッセージ要約『捕らわれからの解放』（イエス・キリストの生涯　その42）(2018.11.4) - いとすぎキリスト教会 愛知県 春日井市,original,3.0,0,1,1724,1,0.5774637262026469,2026-02-11T04:44:42.248378Z,19192,3.85,1/5,uncertain_or_low_confidence,2026-02-11T04:44:42.248397Z
日曜礼拝メッセージ要約：『束縛からの解放』（イエス・キリストの生涯 第42部）（2018年11月4日）－愛知県春日井市糸杉キリスト教会,BT_DeepL_EN,3.0,0,1,1724,1,0.5774637262026469,2026-02-11T04:44:42.248378Z,19192,3.85,1/5,uncertain_or_low_confidence,2026-02-11T04:44:42.248397Z
日曜礼拝メッセージ要約：『束縛からの解放』（？イ？、エス・？キリストの、生涯 第。42部）（2018年11月4日）－愛·知県春日井市糸杉キリスト教。会,BT_DeepL_EN_AEDA,3.0,0,1,1724,1,0.5774637262026469,2026-02-11T04:44:42.248378Z,19192,3.85,1/5,uncertain_or_low_confidence,2026-02-11T04:44:42.248397Z
主日礼、拝メッセージ要約『捕らわ·れ、からの解放』（イエス・キリストの生涯　その42！）(2018.11.4) - 。いとすぎキリ？スト！教会 愛知県！ 。春！、日井市,AEDA_Only,3.0,0,1,1724,1,0.5774637262026469,2026-02-11T04:44:42.248378Z,19192,3.85,1/5,uncertain_or_low_confidence,2026-02-11T04:44:42.248397Z
真のお父様に帰ろう！『三代王権･サンクチュアリ教会』: 19年5月22日 韓国語説教＜後編＞ 堕胎権利はサタン主義。医学も聖書も、受精の時から人◆文亨進二代王 堕胎権利はサタン主義。医学も聖書も、受精の時から人,original,4.0,0,1,1571,1,0.444267600774765,2026-02-10T14:43:34.544753Z,19195,5.169,2/4,uncertain_or_low_confidence,2026-02-10T14:43:34.544771Z
真の父に帰れ！『三代王権・聖所教会』：2019年5月22日 韓国語説教＜第2部＞中絶の権利は悪魔主義である。医学も聖書も受胎の瞬間から人間と認めている。◆ムン・フンジン 第二代王中絶の権利は悪魔主義である。医学も聖書も受胎の瞬間から人間と認めている。,BT_DeepL_EN,4.0,0,1,1571,1,0.444267600774765,2026-02-10T14:43:34.544753Z,19195,5.169,2/4,uncertain_or_low_confidence,2026-02-10T14:43:34.544771Z
真の父に帰れ！『、三代王権・聖所教会...』：2019年5月22......日 韓国語説教＜第2？部＞中絶の、権利は悪魔主義である。医学·も聖書も受胎の瞬間から人間と認めている...。◆ムン・フンジ。ン 第二代王中絶の権利は、·悪！魔主義である、？、。医学！も聖書も受胎の瞬...間から人間...と認めてい。る。·,BT_DeepL_EN_AEDA,4.0,0,1,1571,1,0.444267600774765,2026-02-10T14:43:34.544753Z,19195,5.169,2/4,uncertain_or_low_confidence,2026-02-10T14:43:34.544771Z
真の。お父様に帰ろう！『三代王権･サンクチュ？アリ教会...』: 19年5月22、日 韓国！語説教＜後編＞ 堕胎権利、はサタン！·主義。医学も聖書も、受精。の時から人◆文？亨進！二代王 堕胎権利·はサタン主義。医·？学·！！！も聖書も、受精の時？か？ら人,AEDA_Only,4.0,0,1,1571,1,0.444267600774765,2026-02-10T14:43:34.544753Z,19195,5.169,2/4,uncertain_or_low_confidence,2026-02-10T14:43:34.544771Z
"神の右にいますキリスト | 成宗教会 投稿日: 2018年6月24日 2018年7月7日 投稿者: 投稿者 カテゴリー説教 タグエフェソの信徒への手紙, エフェソの信徒への手紙1章, エフェソの信徒への手紙1章20-23節, 詩編, 詩編110篇, 詩編110篇1節 過去の投稿前 主は天に昇られた 次の投稿次 ２０１８年７月号",original,5.0,0,1,1412,1,0.4076543847719828,2026-02-08T07:43:27.622326Z,19208,10.265,3/3,uncertain_or_low_confidence,2026-02-08T07:43:27.622343Z
"神の右におられるキリスト | 清陵教会投稿日: 2018年6月24日投稿日: 2018年7月7日投稿者: 著者カテゴリー: 説教タグ: エペソ人への手紙, エペソ1章, エペソ1:20-23, 詩篇, 詩篇110篇, 詩篇110:1 前の記事: 主は天に昇られた 次の記事: 2018年7月号",BT_DeepL_EN,5.0,0,1,1412,1,0.4076543847719828,2026-02-08T07:43:27.622326Z,19208,10.265,3/3,uncertain_or_low_confidence,2026-02-08T07:43:27.622343Z
"神の、右におられる、キリスト | ！清陵教会投稿日: 2018年6。月24日投稿日·: 20·18年7月7日投稿者: 著。者カテゴリー: 説。·教タグ: エペソ人への手...紙, エペソ1章, ！！エペソ1。:2、0-23, 詩篇, 詩、篇110篇, 詩篇1、10:1 前の記事:·。 主は天に昇られた 次の記事: 2018年7月号",BT_DeepL_EN_AEDA,5.0,0,1,1412,1,0.4076543847719828,2026-02-08T07:43:27.622326Z,19208,10.265,3/3,uncertain_or_low_confidence,2026-02-08T07:43:27.622343Z
"神の右に·いますキリスト | 成宗教...会 投稿日: 2018、年6...月。24日 2、018年...7月7日 投稿者: 投稿者 カテゴリー説。教 タグ。エ？フェソの信徒への手紙,！ エフェソの信徒への手紙1章, 、エフェソの信徒への手紙1章20-23節, 詩編, 詩、編110篇, 詩編110篇1節 過去の投稿前 主は天に昇ら？れた 次の投稿、次 ２０！１？８年７月号",AEDA_Only,5.0,0,1,1412,1,0.4076543847719828,2026-02-08T07:43:27.622326Z,19208,10.265,3/3,uncertain_or_low_confidence,2026-02-08T07:43:27.622343Z
>>18 どうでも良いけどね キリスト者の目的は邪悪なる悪霊の栖雲居士を 撃ち破る事ではありません。又それで神の栄光 が現れるわけでもありません。 何を言っているんですか、スレ乱立の責任を取っ てね,original,6.0,1,1,1833,1,0.4284685750802358,2026-02-11T14:09:05.969989Z,19225,15.431,2/4,uncertain_or_low_confidence,2026-02-11T14:09:05.970008Z
>>18 どうでもいい。キリスト教徒の目的は邪悪な悪魔・修雲光司を倒すことではない。そうすることで神に栄光がもたらされるわけでもない。何を言ってるんだ？このスレッドを大量に立てた責任を取れ。,BT_DeepL_EN,6.0,1,1,1833,1,0.4284685750802358,2026-02-11T14:09:05.969989Z,19225,15.431,2/4,uncertain_or_low_confidence,2026-02-11T14:09:05.970008Z
>>18 どうでもいい。キリスト、？。教...徒の目的は、邪悪な悪魔・修...雲光司。？を！？倒すことではない。そうすることで、...神に栄光がもたらされ...るわけでもない。何を言ってるんだ？·こ。。のスレ·ッドを大量に立てた責任を取れ。,BT_DeepL_EN_AEDA,6.0,1,1,1833,1,0.4284685750802358,2026-02-11T14:09:05.969989Z,19225,15.431,2/4,uncertain_or_low_confidence,2026-02-11T14:09:05.970008Z
>>18 ·どうでも良いけどね キリスト...者の目的は邪悪？！なる悪·霊の栖雲居士！を 撃ち破る事ではあ·りません？！。又それで神の栄·光 が現れるわけ·でもありません！。 何を言っているんですか、スレ乱立。の責任を取っ てね...,AEDA_Only,6.0,1,1,1833,1,0.4284685750802358,2026-02-11T14:09:05.969989Z,19225,15.431,2/4,uncertain_or_low_confidence,2026-02-11T14:09:05.970008Z
神を知る態度 - 小海キリスト教会 礼拝メッセージ ＜神を知る態度＞　使徒acts 17:10～15 ダビデは、詩篇で神様に対する自分の正直な心のうちを告白しています。すべてを知っておられる神様に隠し事は無用です。ありのままの思いを父なる神様にぶつけましょう。神様は、本気でご自身を知りたいと願う者にご自身の本当の姿を現してくださいます。ヨハネ14 : 8～10参照 koumi2016 2017-09-10 16:00 « 宣教の情熱 王なるイエス »,original,7.0,0,1,5007,1,0.4240666727224986,2026-02-24T03:52:44.245933Z,19226,6.532,2/4,uncertain_or_low_confidence,2026-02-24T03:52:44.245954Z
神を知る心構え - コウミキリスト教会礼拝メッセージ＜神を知る心構え＞使徒言行録17:10-15ダビデは詩篇において、神に対する誠実な心を告白しています。すべてをご存知の神の前に、何かを隠す必要はありません。 父なる神に真実な思いを注ぎ出しましょう。神は、ご自身を知ろうと切に願う者に、ご自身の真の性質を現されます。ヨハネ14:8-10参照。koumi2016 2017-09-10 16:00 « 使命への情熱：王であるイエス »,BT_DeepL_EN,7.0,0,1,5007,1,0.4240666727224986,2026-02-24T03:52:44.245933Z,19226,6.532,2/4,uncertain_or_low_confidence,2026-02-24T03:52:44.245954Z
神を知る心構え - コ。ウミキリス？ト教会礼拝メッセージ＜神を知る心構え＞使徒言、行·録17:10-1·5ダビデは詩篇において、神に対する誠実な心を告白して！います。すべてをご存知の神...の前に、何！かを隠、す必要はありません。 父なる神に真実な思いを...注ぎ、出しましょう。神？は、ご自身を知ろうと！切·に願う者！に、ご自身の！真の性質を現されます。ヨハネ、14·:8·-10参照。koum！。。i？2016 2017-09-10 1！6:00 « 使命への情熱：王である？イエス »,BT_DeepL_EN_AEDA,7.0,0,1,5007,1,0.4240666727224986,2026-02-24T03:52:44.245933Z,19226,6.532,2/4,uncertain_or_low_confidence,2026-02-24T03:52:44.245954Z
、神を·知る態度 - 小海·キリスト教会 礼拝メッセージ ＜...神·を知る態度＞　使徒acts 17:1？0～15 ダビデ！は、詩篇で？神様に対する自分の正直な心のうちを告白しています。す、べてを知っておられる神様に隠し·事は無用です。ありの、ま、まの思いを父なる神様にぶつけましょう。·神様は、本気でご、自身を知りたいと願う者に？ご自身の本当の姿を。現してくださいます。ヨハネ14 : 8...～10参照 koumi2！016 20？17-09-10 1。6:0、0 « 宣教の情熱 ...王なるイエス »,AEDA_Only,7.0,0,1,5007,1,0.4240666727224986,2026-02-24T03:52:44.245933Z,19226,6.532,2/4,uncertain_or_low_confidence,2026-02-24T03:52:44.245954Z
きょうのことば　『永遠のいのちなる主』－召天者記念礼拝ー: 中ぶんなの日記 « 時には自分大事で | トップページ | おざなりを反省 » 2012年11月18日 (日) 教会 | 固定リンク http://app.f.cocolog-nifty.com/t/trackback/461668/47887083 この記事へのトラックバック一覧です： きょうのことば　『永遠のいのちなる主』－召天者記念礼拝ー:,original,8.0,0,1,1542,1,0.5862727165222168,2026-02-10T14:37:56.151397Z,19232,2.927,2/4,uncertain_or_low_confidence,2026-02-10T14:37:56.151410Z
今日の言葉：「主、永遠の命」－故人追悼礼拝：中分の日記 « 時には自分を優先して | トップページ | 表層性を省みる » 2012年11月18日(日) 教会 | 固定リンク http://app.f.cocolog-nifty.com/t/trackback/461668/47887083 このエントリーのトラックバック: 今日の言葉：「永遠の命である主」― 故人追悼礼拝：,BT_DeepL_EN,8.0,0,1,1542,1,0.5862727165222168,2026-02-10T14:37:56.151397Z,19232,2.927,2/4,uncertain_or_low_confidence,2026-02-10T14:37:56.151410Z
