annotation_id,annotator,average_prob,christianity_related,created_at,hate_speech,id,lead_time,model_votes,sampling_strategy_tag,text,updated_at
2969,1,0.4280590812365214,1,2026-02-15T01:58:31.126255Z,1,20748,9.026,3/3,uncertain_or_low_confidence,"校門前での聖書配布にクレーム？ | もーちゃんの部屋 << なおも続くネグレクト親娘に治療法は？ | main | ビンボー万歳！ >> at 13:15, もーちゃん, 希望の光 at 13:15, スポンサードリンク, - url:http://shalomochan.jugem.jp/trackback/1599",2026-02-15T01:58:31.126286Z
4508,1,0.4313873549302419,1,2026-02-19T01:56:24.152524Z,1,22258,2.031,1/5,uncertain_or_low_confidence,キリスト教の崩壊聖書。。,2026-02-19T01:56:24.152551Z
1833,1,0.4284685750802358,1,2026-02-11T14:09:05.969989Z,1,19225,15.431,2/4,uncertain_or_low_confidence,>>18 どうでも良いけどね キリスト者の目的は邪悪なる悪霊の栖雲居士を 撃ち破る事ではありません。又それで神の栄光 が現れるわけでもありません。 何を言っているんですか、スレ乱立の責任を取っ てね,2026-02-11T14:09:05.970008Z
6784,1,0.5795599122842153,1,2026-03-18T15:09:32.243814Z,1,20988,39.704,4/2,uncertain_or_low_confidence,天から選ばれないと キリスト教じゃないのに みんなアホでバカだよな 何故にこんなキチガイが集団なんだろな 自分から人間に生まれるのに もっと巨大な力が働いてるからだ 洗礼受けたから聖書に詳しいから 何故にその力を手に入れて 救いに近いと勘違いしてるんだろうな 預言者やイエスレベルじゃないと救いじゃないんだよバカども気付け アホども,2026-03-18T15:09:32.243831Z
3876,1,0.456434150536855,1,2026-02-18T03:54:24.660295Z,1,21704,14.305,3/3,uncertain_or_low_confidence,聖書のイエスのエピソード 結局は全てが 理解できない奴に何かを教える それはスゲー手間だという そんな話だよね まあ奇跡だけは普通では無い それは物理的だから理解できるみたいな 精神的な理解度は正直いって無いよな 俺は理解できるし選ばれているから良かった,2026-02-18T03:54:24.660322Z
3806,1,0.2238493263721466,1,2026-02-18T03:40:15.993057Z,1,20873,3.552,3/3,uncertain_or_low_confidence,勿論言わずもがなで壺は超汚染銭ゲバクソカルトなのは間違いないし 取り潰して今後全面活動禁止しろって個人的見解ではあるがｗ 山上による暗殺なんてもってのほかだけど ただ、山上愚母って山上の伯父が弁護士で壺から寄付を返還させても 一向に懲りず戻った額をまた性懲りもなく寄進して元の木阿弥状態だったというし 宗教法人への寄進寄付額の制限は必要だけど、ここまで無自覚で感覚がぶっ壊れてると 果たしてそれで済むものか…？そりゃ壺の教義や体質が銭金至上主義で腐りきってるから潰すことに全く異論も躊躇もないがｗ でもさあ，壺が他の件のように程なくして痴呆症と診断された老女に漬け込んで誑かしてとか 脅迫強要や監禁や身の危険が及ぶとか諸々の壺による犯罪行為によるものならまだしも となるとまあ、宗教法人への個人への寄進寄付額の制限とか 家族の共有財産とかに対する無断処分使用の制限とかそのあたりも求められてくるけど 結局のところ山上愚母が自己の欲求や精神的充足快楽を満たす目的という結局は浪費目的の何物でもないってのが元凶だし 本人が自覚して反省し脱会と今後の改善克服を強く決意し努力しない限り そうなるとどうしても個人の権利とかの大幅な制限が不可欠で不可避となるわな 本人が納得した上でならいいけど、まず強く拒否るだろうし そうなったら家族親族が申し立てて後見人制度的にするにしても 医療、司法、行政の認定が不可欠だし、ふん縛って強制的に連れて行って医療機関でも果たして認定出るかどうか？ 壺とかのカルトのみならまだしも、改名してるしトンネルやダミー的にマネロンしても抜け道たくさんあるだろうし 全般的に資産の凍結とか使い道や額の大幅制限を課したりの範囲はどの程度か 認定とかはどこがして、後見人的にするには管理とかは誰がするのかとか 結構それはそれで特例にすると面倒くさいことになってはきそうではある カルトのみってだけじゃなく、他の浪費系とか博打や投資大損とかそういうのにも適用しろってなるかも 壺に関しては、まあ強化変則破防法的に反社組織認定すりゃ、反社に資金流入禁止なってストップはかけやすくなるだろうけどｗ,2026-02-18T03:40:15.993084Z
1745,1,0.4056985179583232,1,2026-02-11T04:46:47.634775Z,1,19498,11.813,2/4,uncertain_or_low_confidence,現代のキリスト教では人間イエスが存在したことは実証できないという立場から 信仰が成り立っているはずなんだが もし、イエスが実在した証拠がある！という事をいう神父・牧師が居たら注意したほうが良いね カルト化してるかもしれない,2026-02-11T04:46:47.634800Z
2590,1,0.4239954153696696,1,2026-02-14T05:47:16.362594Z,1,19711,13.768,2/4,uncertain_or_low_confidence,>>81 wwwwwwwwwwwwwwwwww なんで泡沫カルト団体の洗脳を受けた末端信者が、キリスト教スレでキリスト者を仕切ろうとすんの？,2026-02-14T05:47:16.362617Z
1359,1,0.5648312071959177,1,2026-02-08T07:27:42.545628Z,1,21623,183.259,2/4,uncertain_or_low_confidence,子供の育児放棄を屁とも思わない山神母親はまさに母親の姿をしたキラーマシーンに映ったことだろう 統一教会と萩生田隆一を地獄に送ることができるのは我々しかいない！！ 高市を地獄へ！萩生田小泉竹中を叩き潰せ！！,2026-02-08T07:27:42.545639Z
4954,1,0.4915478726228078,1,2026-02-23T14:10:06.845594Z,1,20397,5.969,1/5,uncertain_or_low_confidence,そもそも聖書の神が悪魔。冗談抜きで それが事実だから人を苦しめた者ほど富を蓄え賞賛される世の中になった。,2026-02-23T14:10:06.845613Z
