annotation_id,annotator,average_prob,christianity_related,created_at,hate_speech,id,lead_time,model_votes,sampling_strategy_tag,text,updated_at,augment_method,group_id
4194,1,0.8055607477823893,1,2026-02-18T06:10:11.294968Z,1,17052,4.802,1/2,uncertain_or_low_confidence,最近，在上海的一家肯德基，我也遇到了两个孩子，他们声称在学习圣经，想给我讲圣经故事。现在孩子学习圣经很流行吗？,2026-02-18T06:10:11.294999Z,BT_English_Sim0.96,61
4194,1,0.8055607477823893,1,2026-02-18T06:10:11.294968Z,1,17052,4.802,1/2,uncertain_or_low_confidence,最近，在上海的一家肯……？德基。，我也遇到了两个孩子，他们声称在学；习圣，经。，想给我讲圣经故事。现在孩子学习圣经很流行吗？,2026-02-18T06:10:11.294999Z,BT_English_AEDA,61
4191,1,0.6646157701810201,1,2026-02-18T06:10:03.313803Z,1,16108,95.696,1/2,uncertain_or_low_confidence,有人说：任何一本在书腰上写着“仅次于圣经”的书，都不值得一读。,2026-02-18T06:10:03.313823Z,BT_English_Sim0.96,87
4191,1,0.6646157701810201,1,2026-02-18T06:10:03.313803Z,1,16108,95.696,1/2,uncertain_or_low_confidence,有人说：任何，一……本在书腰；上写着“仅次于圣经”的书，都不值得一读。,2026-02-18T06:10:03.313823Z,BT_English_AEDA,87
1177,1,0.8406208952267965,1,2026-02-05T14:01:40.816600Z,1,18899,3.044,1/2,uncertain_or_low_confidence,尽管他们都信仰同一个神，只要争夺的是解释权，实际上，主要是内部教派在争夺解释权。,2026-02-05T14:01:40.816618Z,BT_English_Sim0.86,85
1177,1,0.8406208952267965,1,2026-02-05T14:01:40.816600Z,1,18899,3.044,1/2,uncertain_or_low_confidence,尽管他们都；信仰同一个神，只要争夺的是，。解释权，实际上，主要？是内部教派在争夺解释权。,2026-02-05T14:01:40.816618Z,BT_English_AEDA,85
2370,1,0.9327759544054668,1,2026-02-13T10:08:52.131944Z,1,18241,2.338,2/1,uncertain_or_low_confidence,从创世记开始，上帝就开始咒诅这个，咒诅那个。,2026-02-13T10:08:52.131955Z,BT_English_Sim0.94,20
2370,1,0.9327759544054668,1,2026-02-13T10:08:52.131944Z,1,18241,2.338,2/1,uncertain_or_low_confidence,从创世记开始，上帝就·开始咒诅这个，咒诅那个。！……,2026-02-13T10:08:52.131955Z,BT_English_AEDA,20
877,1,0.7059843937555949,1,2026-02-03T00:17:37.579915Z,1,15852,5.425,1/2,uncertain_or_low_confidence,⏰ 这不是一个宗教国家，它与上帝无关。,2026-02-03T00:17:37.579933Z,BT_English_Sim0.97,0
877,1,0.7059843937555949,1,2026-02-03T00:17:37.579915Z,1,15852,5.425,1/2,uncertain_or_low_confidence,⏰ 这不是一个宗教国家；，它与上！帝无关。,2026-02-03T00:17:37.579933Z,BT_English_AEDA,0
675,1,0.850700298945109,1,2026-02-02T12:47:17.874352Z,1,16884,6.123,2/1,uncertain_or_low_confidence,有些人，像上帝一样，审查着那些熬夜早起的人发布的每一条微博帖子。他们是失眠者。,2026-02-02T12:47:17.874370Z,BT_English_Sim0.92,56
675,1,0.850700298945109,1,2026-02-02T12:47:17.874352Z,1,16884,6.123,2/1,uncertain_or_low_confidence,有些人，像上帝一样，审查着那些；熬夜早起的……人发布的每一条微博帖子。他们是失眠者！。,2026-02-02T12:47:17.874370Z,BT_English_AEDA,56
5651,1,0.8384869893391927,1,2026-02-28T05:35:50.042674Z,1,18675,2.674,1/2,uncertain_or_low_confidence,江湖骗子！,2026-02-28T05:35:50.042693Z,BT_English_Sim0.82,57
5651,1,0.8384869893391927,1,2026-02-28T05:35:50.042674Z,1,18675,2.674,1/2,uncertain_or_low_confidence,江湖。骗子！,2026-02-28T05:35:50.042693Z,BT_English_AEDA,57
2480,1,0.9165486296017964,1,2026-02-13T12:49:04.791437Z,1,18741,2.829,1/2,uncertain_or_low_confidence,闽南人相信圣经！,2026-02-13T12:49:04.791460Z,BT_English_Sim0.97,62
2480,1,0.9165486296017964,1,2026-02-13T12:49:04.791437Z,1,18741,2.829,1/2,uncertain_or_low_confidence,，闽南人相信圣经！,2026-02-13T12:49:04.791460Z,BT_English_AEDA,62
5444,1,0.6716495354970297,1,2026-02-26T02:25:27.942665Z,1,18642,107.33,2/1,uncertain_or_low_confidence,本来我不相信基督教是邪教。看了贴吧这些回复后，我确认了，百分百邪教。,2026-02-26T02:25:27.942684Z,BT_English_Sim0.95,14
