index,original,back_translated,path
23,現代のキリスト教では人間イエスが存在したことは実証できないという立場から 信仰が成り立っているはずなんだが もし、イエスが実在した証拠がある！という事をいう神父・牧師が居たら注意したほうが良いね カルト化してるかもしれない,現代キリスト教において、信仰は人間イエスの存在が経験的に実証できないという立場に基づくべきである。もし「イエスが実在した証拠がある！」と言う司祭や牧師がいるなら、注意すべきだ。彼らはカルト化しているかもしれない。,English
60,金の流れ 信者→教会→安倍派裏金,金の流れ：信者 → 教会 → 安倍派裏金,English
47,>>92 キリストがやったわけじゃないぞ ヤハウェのせい ヤハウェは普通に暴力的だぞ,>>92 キリストはやってない。ヤハウェのせいだ。ヤハウェはただ暴力的だ。,English
74,キリストを批判する前に まず自分を批判しろよ,キリストを批判する前に、まず自分を批判しなさい！,English
37,キリスト教の崩壊聖書。。,キリスト教の崩壊聖書。。,English
65,カトリックの人でまともな人にあったためしがないです。 マリア崇拝が一因していると思います。,まともなカトリック教徒に会ったことがない。マリア崇拝がその原因の一つだと思う。,English
9,高市早苗も統一教会のスパイだよ https://i.imgur.com/sNNYJ29.jpeg,高市早苗も統一教会のスパイだ。https://i.imgur.com/sNNYJ29.jpeg,English
0,>>802 お前は日本教の信仰に従って勝手に他の宗教の神を日本教の支配下にしてバカにしてるだろ。 全世界の仏教徒に謝れよ。,>>802 日本主義の信仰に従うお前は、他の宗教の神々を日本主義の支配下に恣意的に置き、愚弄しているのだろう？世界中の全ての仏教徒に謝罪しろ。,English
59,>>335 追記 中国はキリスト教も弾圧してる反キリスト 中国政府公認の教会よりも弾圧されてる地下教会のほうが正統性がある。 政府が司教を選ぶなんて駄目だろ。,>>335 追伸。中国もキリスト教を弾圧している、反キリストだ。政府公認教会よりも弾圧されている地下教会の方が、より正当性がある。政府が司教を選ぶのは間違っているのではないか？,English
6,統一教会批判するなら創価も批判しろよカス,統一教会を批判するつもりなら、創価学会も批判しろ、クズ。,English
2,統一教会は反日カルトだよ だから保守だ愛国だでバカをだます そして金は北朝鮮に送っていた つまり北朝鮮の組織なんだよ,統一教会は反日カルトだ。だから、保守や愛国のレトリックで馬鹿を騙す。そして、北朝鮮に金を送っていた。つまり、北朝鮮の組織だ。,English
34,奈良２区なら普通に高市なんだよな ずっと統一教会支援受けてただろう,奈良2区、普通は高市だろ？ずっと統一教会から支援を受けていたに違いない。,English
77,もし家畜小屋なら家畜の糞でぬかるんでる 飼葉桶も餌の食い残しや家畜の唾液でべとべとだったはず そんな状態のもとでイエスは生まれたということになる,もしそれが馬小屋であったなら、動物の糞で泥だらけだっただろう。飼い葉桶もまた、残り物の飼料と動物の唾液でべたついていただろう。それはつまり、イエスはそのような状況下で生まれたであろうということだ。,English
73,適菜氏がさまざまな著書で言いたいことも政治からグルメや音楽に至るまで私たちの思考や価値観の根本がキリスト病に毒されているということだと思えるけどなあ 単に読者がキリスト教を含む一神教信者たちを卑下して勝ち誇るのは理解が浅いというか、彼は自分の問題として受け止めるよう求めてるよ。,テキナ氏が政治からグルメ、音楽まで、彼の様々な著書で言いたいことは、我々の思考や価値観の根源がキリスト病によって毒されている、ということであるらしい。読者が単にキリスト教徒を含む一神教徒を見下し、嘲笑うだけでは浅い理解であり、むしろ彼はそれを我々自身の問題として受け入れるよう求めているのだ。,English
92,ロシアでは 統一協会は カルト宗教と認定されていて 禁止されています 中国でも同様で 統一協会は禁止されています フランスでも禁止されています 欧州のほとんどの国で 統一協会は禁止されているはずです 米国においては大量の献金によってなぜか 統一教会は活動できています,ロシアでは、統一教会はカルト宗教として認識されており、禁止されています。中国でも同様で、統一教会は禁止されています。フランスでも禁止されています。統一教会はほとんどのヨーロッパ諸国で禁止されるべきです。アメリカでは、なぜか統一教会は多額の寄付により活動できています。,English
75,大学進学の希望を絶たれた長男 信者の叔母 母の部屋に安倍元首相が表紙の旧統一教会の機関誌がありました。 殺意のめばえ やっと動機が見えてきたな,"大学進学の希望が打ち砕かれた長男。
信者の叔母。
母の部屋には、安倍元首相が表紙を飾る旧統一教会の雑誌があった。
殺意の芽生え。
ついに、動機が明らかになってきた。",English
81,教義を否定する一番の方法は「自殺をすること」深刻な宗教2世のメッセージ 旧統一教会への第9次集団交渉 2024年11月29日 https://news.yahoo.c...e8df08a482d6e8206258 https://pbs.twimg.co...t=jpg&name=4096x4096,"教義を否定する最善の方法は「自殺すること」。ある宗教の二世信者からの深刻なメッセージ。旧統一教会との第9回団体交渉。2024年11月29日
https://news.yahoo.c...e8df08a482d6e8206258
https://pbs.twimg.co...t=jpg&name=4096x4096",English
14,>>1 スパイ防止法も統一教会が長年、自民党その他のカルト政党に要求し続けてきたことだしな,>>1 反スパイ法も、統一教会が自民党や他のカルト政党に長年要求してきたことだよ。,English
42,>>1 日本のキリスト教会(カトリック教会も含む)は、 宗教を隠れ蓑にした反日極左団体。 たいへん ぁ ゃ ι ぃ。,>>1 日本のキリスト教会（カトリック教会を含む）は、宗教を隠れ蓑にする反日極左組織である。極めて胡散臭い。,English
84,>旧統一教会関連会社が北朝鮮に潜水艦を仲介 日本人信者の献金が北の兵器開発に使われていないか なんで右翼はこんな団体を擁護してんだよ,旧統一教会の関連会社が北朝鮮に潜水艦を仲介した。日本の信者の献金は北朝鮮の兵器開発に使われているのか？一体なぜ右翼はそんな組織を擁護しているんだ？,English
98,権力者に従うことは神に従うことと同じではない | 東方閃電 前へ：三自教会の牧師に対するクリスチャンの素晴らしい反論 次へ：中共の無神論洗脳に対するクリスチャンの反撃,"権力者に従うことは神に従うことではない | 東方閃電
前: あるクリスチャンの三自教会の牧師に対する素晴らしい反論
次: あるクリスチャンの中国共産党の無神論の洗脳に対する反撃",English
78,地の王と大淫婦 キリストと私の姉ですか。,地の王と大淫婦、キリストと私の妹？,English
19,新約聖書のヨハネ黙示録では、「臆病者は滅ぼされる」と警告している。 「中国に頭を下げろ」なんて言ってる臆病者は滅んだほうがよい。,新約聖書のヨハネの黙示録は警告している、「臆病な者は滅ぼされる。」中国にひれ伏せと言う臆病者は、滅ぼされた方がましだ。,English
8,御国が来ますように―天地の架け橋としてのキリストにある「新しい人」（２） 私ではなくキリストⅤ category：神の国の働き人 / *edit,御国が来ますように — キリストにある新人、天と地を結ぶ架け橋として (2) わたしではなく、キリスト V カテゴリー：神の国の働き人 ／ *編集,English
