cluster_id,original_en
0,"@DevinSenaUI David had a man killed so he could fuck his wife and God still said he was his fav. Eat shit, bigot."
0,"I see the followers of the Cheeto Jesus are very, very cross today!  It would appear they are snowflakes melting away under the krieg lights of Hollywood.  Can we give them a hunt camp they can retire to for  a few weeks while they get over their pain?  Help a conservative snowflake!  Give him his guns, a couple of big bottles of whisky and send them up to the hunt camp!!"
0,@faithfulgadolic @thehill Fuck Jesus. Fuck the Virgin Mother. Fuck the Holy Ghost. Fuck your Bronze Age Mumbo Jumbo. You sad sack of shit.
0,@Millie__Weaver Shove your bible up ur ass
0,@sleezygrills @shelbygraces Must be the wrong Bible.
1,"On that we agree.  Those Christian hypocrites should have been charged with accessory before, during and after the fact as applicable.  Last serial woman-murderer they caught in Iran they hanged him from a crane."
1,And where does the New Testament tell you to go around killing people who are not of your faith?
1,"The news in the past several centuries and history itself shows overwhelming proof that some Christians have murdered in the name of God. Be careful when your plant your head in the sand like that, it makes it very difficult to get oxygen."
1,"You leap, from division in the Church, to people being executed because of lack in trust in the Holy Spirit, in indeed a long one. 

There are too many cases, in history,  being in the wrong place at the wrong time could be an excuse for execution. Look at the Killing Fields of Cambodia.

However, your comment does not dispute what the emails revealed, & provide a basis as what has long been suspected, in the presidential candidate's inner circle. The emails provide the cold calculating long thought out plan on how to create confusion in the Church for political and or personal gain. 

As St. Paul notes about wolves in the flock. Some of these wolves, might & probably are, wearing  sheep's' clothing."
1,"What do you think capital punishment is, then? It is the cold-blooded, pre-meditated, calculated and methodical killing of a person. This is precisely the definition of many murders, perhaps most. The fruit, therefore, is no different.

If we have faith and trust in God's actual word, he will deal with our enemies. But what do we do? We turn to self-reliance, thereby tying God's hands and demonstrating our lack of faith and trust in the process. 

I am sorry to say this, but almost every line you've typed shows that you do not really believe in God, only in yourself. If you believed in him, truly believed, then you would obey HIS commandments rather than those of the Roman Catholic Magisterium which clearly contradict the clear teaching of Christ and are leading God-knows-how many away from the narrow path."
2,"Oh come on. I have been pretty critical of the harsh tenor (and frequently the views expressed) in these comboxes, which has led me to post much less frequently than I once did. But with some notable exceptions, I would be hard pressed to say that NCR is equivalent to Church Militant. That is hardly accurate. 

Again, I believe that the general quality & civility of these comments has decreased since the Presidential election - but on the whole, the tenor & vitriol found at Church Militant cannot be found here. Church Militant takes a shrunken understanding of the Catholic tradition & weaponizes it against good Catholics across the spectrum in a farcical attempt at mimicking something like Fox News. It is a marketing ploy."
2,"Thank God for balanced Catholic media like NCR, America, and Commonweal."
2,"Have you considered at all that it is (this) NCR's long-held position to offer ideas and thoughts and facts and opinions from a wide variety of perspectives within the progressive-liberal schools of Catholic/Christian experience, plus a few moderately conservative essays and articles thrown in to the mix?  I didn't find any of that in any of your comments, Josh, so I thought I would mention it."
2,"For sure, NCR has lost many of its most interesting and thoughtful writers. McClory and Kennedy are foremost in my mind. But there is also the bigger picture: By focusing narrowly on our religion, it must be admitted that there is just not that much going on. The snail's pace of the Catholic Church, the procrastination, the endless excuses for not doing anything, and the refusal to believe in a sophisticated, non-didactic education of the people in the pews are weighing down any attempt to be lively and vital. The solution might be to examine spiritual life issues more broadly and situate the Catholic approach within a more diverse and less parochial topic."
2,"Well, I don't find their reporting ""unhinged"", especially given that the secular press has had many of the same questions and findings. As do many Catholics and other folks as well...


On the other hand, I would guess that NCR isn't too pleased by the endless bucket of money that Crux has now at its disposal. But so that goes...."
3,"Well, we are a religion that is predicted on God fully, finally, and perfectly revealing Himself through His Son. The way this happened was that this Son took on human flesh and lived a real, concrete historical human life approx 2000 years ago. He spoke and did things which concretely revealed who God is and what He desires of humanity. 

Because of this, the starting point of Christian interpretation of everything is NEVER ""in light of today"" but always in light of Jesus Christ. Jesus Christ's words, deeds, and existence interpret today, tomorrow, yesterday 4000 years from now and 13.7 billion years ago.

Christ reveals the true nature of reality."
3,">> We need to get back to understanding our doctrines in terms of the attributes of God. ""He"" is not what many Christians think he is!

And that’s where all the trouble already begins:  There are as many flavours—well, almost—of Christianity as there are believers who label themselves thus (with over 30,000 *officially* recognised variants).  Each one asserts with absolute and unshakeable certainty their own understanding as the *only* correct one.  And, most curiously, they all work from the same source material.

Not at all what you’d expect from an omnipotent, omniscient, omnipresent source.

All of which points to the First (and apparently only) Law of Exe-/Eisegesis:  For every verse, there is an equal and opposite reverse."
3,"God is not a monster!  But God does not change the course of history for humans [and Jesus, with two natures, WAS human].  Jesus did not have to die to bring about his mission.  Just being born, and living among us, Jesus was effecting salvation.  You don't seem to understand what being HUMAN means.  Jesus valued people's expression of and living in faith.  He stated it many times, "" Oh, you of little faith,"" ""Woman, great is your faith."" Jesus had to place HIS faith in God.  AS A HUMAN BEING, Jesus did not know that he was going to die as he did.  He certainly became much more aware of it, and especially visualized it all in the Agony in the Garden.  He also placed his life and death in the hands of the Father.

God is not always angry at humans.  We've had too much theology implying or stating it in other words.  God does not demand blood and gore---not from Jesus nor from us.  Because of his faith, his love for God & for others, Jesus showed us the great love God has for us."
3,"Thank you for your comment rdp46

The Inviolate Word (Will) of God is not mere opinion 

The fullness of Gods inviolate Word is not enough for many, individually they would have more; wanting to be the arbitrators of His revealed inviolate Will, they would exhaust the treasures in Christ and then still demand more, they are comparable to a man filling a bucket with a hole in it, they retain nothing within the heart.

The Holy Spirit will enlighten the hearts of those who approach His Word/Will honestly, and they themselves will know the Mind of Christ the living Word of God within their own hearts

“For everyone who asks receives, and he who seeks finds, and to him who knocks it shall be opened”

kevin your brother
In Christ"
3,"Time to repost a response from a few days ago. ""You can safely assume that you've created God in your own image when it turns out that God hates all the same people you do."" Jack Phillips is overflowing with the love the New Testament teaches."
4,"I give a good amount to the charities I believe in.  That's what Jesus wanted us to do. 
 He did not advocate for government directed re-distribution of wealth.  And I'm sure, on this single point, 80% of Catholics agree with me."
4,"This tax plan is Austerity for the poor and Elderly.. This is the true face of our so called "" Christian Nation "" the hypocrisy is astounding as we abandon the most needy and elderly to cater to the Rich .. Our Christian Nation or so Conservatives keep saying . It's more like a welfare State for Super Rich which make our Nations True God , MONEY . As a matter of fact just take a hard look at the Residence of today's WHITE HOUSE . Our ALL AMerican love affair with cold hard cash and the lies we tell ourselves to justify that love affair is plain to see in America today . It makes one wonder just what GOD do we ask to "" BLESS AMERICA "" Because it's not the Christian God , he vowed POVERTY . It's Not the Hebrew God . Just what do we ask for in God's Blessing . A Equal Nation or a RICH ONE .. It makes a difference . Because a Bible in one hand and a Gun or Wad of Cash in the Other is NOT WHAT JESUS OUR CHRIST WAS ABOUT . At all in any way remotely like that  . He was a Poor Pacifist ."
4,"I already commented a minute ago about the interpretation of those ""gold-standard"" verses.
I had to laugh at the comment about faith costing. What hardships does a man like Jerry Prevo endure? He is one of the richest people in Anchorage. He lives behind a gate, drives fancy cars, flies in his own plane etc. 
Anchorage Christians assembly every Sunday in air-conditioned churches. They won't work on the Sabbath but ironically frequent restaurants where harried servers deal with their demands for usually a crappy tip and a religious tract. (Been there, done that.)
Faith costs? Not really.
Meanwhile I have a dear friend and her husband in a backwater, village in Africa. They built an orphanage with their own hands and have 147 children they care for. Every day is a struggle. Insects have damaged the corn and beans they planted and will salvage what they can and then start again. They suffer when they are sick. And yet they are the most joyful people I know. They know about real cost."
4,"Your Holiness Pope Francis,
May God grant you the peace, joy and comfort you bring to others.  
Like most Americans you are very concerned about the growing gap between the wealthy and the poor and you sharply criticize this growing economic inequality. You decry an “idolatry of money” in secular culture and warned that it would lead to “a new tyranny.” excesses of capitalism.  You  strongly criticized the economic theory that discourages taxation and regulation. You wrote in the papal statement “Some people continue to defend trickle-down theories which assume that economic growth, encouraged by a free market, will inevitably succeed in bringing about greater justice and inclusiveness in the world.  This opinion, which has never been confirmed by the facts, expresses a crude and naive trust in the goodness of those wielding economic power and in the sacralized workings of the prevailing economic system.  Meanwhile, the excluded are still waiting.”  Your life and words reflect Christ."
4,"It all makes sense now, doesn't it? The message of the gospel is wealth-building and when Jesus told one of his followers, ""Go, sell what you have, give the money to the poor, then come and follow me,"" he clearly meant, ""Get thee to Walmart and pick up some groceries and a really good sleeping bag and maybe a Colman stove."" And when he gave the sermon on the mount, he was having a real bad day because he didn't get paid. 

That's why he said, with sarcasm, ""Blessed are the poor."""
5,"That is an excellent question.  I suspect that it's more hopeful for those who want the Church to remain as is, but I may be mistaken."
5,"Let me rephrase that to better reflect reality: I would be intrigued in reading how you include yourself in ""We the church suffering servants live in a church ..."" when you completely DISAGREE WITH ME!"""
5,"I suspect that the term used in the VII docs of the Church as the People of God has caused more confusion with some of the laity, as is evident here. They have the mistaken notion that ""We Are Church"" and therefore the Church is ours to mold and change as ""we"" see fit. This is erroneous and dangerous thinking. They pit that erroneous idea against the equally erroneous notion that the Hierarchy is ""the Church"" and that the Hierarchy is full of "" old, white, males"" who are power hungry (true in many cases) seeking to ""keep women as second class citizens"". The truth is that the Church is God's and we are all members of her and NO One has the right to change anything according to our own preferences or feelings."
5,"Pandora,
There's certainly a lot of truth in what you say!  But I think it's important to recognize that the drop seems worse in the RCC, and that was the point I was trying (hoping) to address.  

From what I can tell, being Catholic has long (for many at least) had a strong cultural component.  I know as I grew up, my parents tried to form me in a way that relied heavily on what the church taught.  I was strongly encouraged, for example to be an altar boy, and to ""get involved"" in things church.  I doubt most nones were pushed in that direction.  And I also think it important that the church's leadership continues to ""double down"" instead of taking a second look at some of their man-made positions (like the blanket prohibition against ABC.) That rigidity just doesn't stand up to scrutiny, which tends to lead people to see the church as more ""cult-like"" than as an intellectual community bound together by common beliefs and shared values."
5,"In virtually every comment you make here you attack the Church and what it teaches, why? Because you consider your opinions on ecclesiology, morality, interpretation of Scripture, etc to be infinitely superior to what the Church teaches and has taught over the centuries.
The Church has always had problems from both without and within. The challenge from without has always been there from the days of the early persecutions and these have strengthened the Church, 'the blood of the martyrs ....' . Whilst secular society basks in moral relativism, the Church over the last 50 years has done nothing to counteract it, rather it has acquiesced in it.
The signs of the times indicate that most people want a life of ease, comfort and affluence and that traditional (Christian) morality has become a formidable obstacle to this end (God is missing but [certainly] not missed).
Anyone of us who disclaims responsibility for this acts like Pilate washing his hands of it."
6,"Thank you for this.  As someone pointed out in the comments following the original article, we DO have women priests and bishops currently, although they are ""outside"" of the official institution.  

Maybe the interim answer for all of us who see these sins of sexism and exclusion for what they are would be to get behind RCWP, support and encourage the brave women on their journeys, worship with them and embrace their path -- and leave the small-minded, closed-hearted men to their own devices.  After all, they'll do fine on their own (for one generation)."
6,"We can see that gender is a spectrum.  The faction that controls the Church is at one end of the spectrum for sure.  They discriminate against women and heterosexual males and anyone not like themselves.  Now it is time, not just to allow married male heteros to become priests, but to welcome women priests, and priests of all genders/orientations, all shades of the rainbow.  To allow married male priests, but to continue to discriminate against women and others would not be Christian.  I rather doubt that gender is the most important quality among the myriad qualities we each have.  Jesus put no emphasis on it.  Each person expresses his/her gender in a unique manner.  No two women are alike.  No two men.  No two priests are alike.  If you think all women are alike, then just marry any woman, it won't matter which one.  By the way, the women priests are Roman Catholic.  That is part of the name of their organization.  They are 'within the church.'  So editor, please honor that."
6,"""In the last month, the U.S. church saw this soul struggle played out when Bishop Thomas Paprocki of Springfield, Illinois, issued a diocesan policy that people in same-sex marriages cannot take Communion, get baptized, or even have a Catholic funeral, and that violations of the policy would be punished according to canon law. ""

The above is terrible but why then does this group of priests not notice that women called to priesthood are treated exactly the same way once they get ordained by RCWP?  

I don't respect this AUSCP group as they have been pushing gender segregation thru letters asking the pope to ordain married men only and only consider ordaining women to permanent deaconate.  Women should be given justice and their human dignity and value realized before married men  get to pick two vocations. 

I have brought this up to them and Future Church and Voice of the Faithful in the past and asked them why do they only care about men or boys - don't they know all abuse is evil?"
6,You've almost got it.  Women have the 'capacity' to be priests but that is distinct from the official line which is that the Church does not have the authority to validly confer ordination on women.
6,"“The church seems unable to pair its lofty language about the value of women with changes on the ground.”  
That’s commonly called “hypocrisy” and Christ condemned the Pharisees who sat 'in the seat of Moses’ for failing to back up their teachings and exhortations with the way they lived their lives.  Even discussing whether it’s ‘permissible’ to have women deacons betrays a deep prejudice against women.  We Catholics place great value on tradition, except the tradition of women deacons … we believe that in Christ there is neither male nor female, except when it comes to ordination and the deaconate … women are invaluable to the Church, so long as they know their place...  Such discussions about the permissibility of women deacons are the modern equivalent of a 19th century discussion about whether black people were ‘ready’ to become free men and women … the South didn’t want to free the slaves, and it appears our Church is reluctant to free women to fully serve in the Church …"
7,"""Amen I say unto you, Judge not, lest that you be judged. For the full measure that you mete out, shall be meted out to you... Thou hypocrite! First take the log out of thine own eye; and then shall you see clearly to cast out the speck from thy brother's eye."" Matthew 7. 
I note the lack of snark in the Lord's exhortation to us. 
Clearly as adults we make judgments about behaviors to avoid. The justice system renders judgments every day. What Christ is commanding, in my humble opinion, is to avoid condemnation of others in the smug attitude that we poor sinners are somehow morally superior to others. We are not. In other words, I need to keep my side of the street clean and worry less about the other side."
7,"Can't blame you for the sentiment.  He showed no mercy, and the Bible say's that those who show no mercy, will not receive any.  Nor shall any murderer enter the kingdom of heaven.  Harsh words, but I'm not the author, just repeating them."
7,"Thanks Jack, great coverage.  I understand Dr Boyd but believe he has the wrong set-up for this.  ""the atonement as punishment of Jesus by God the Father for human sins is not only an inadequate but a harmful view of what happened on Calvary.""  

The ""punishment of Jesus by God"" not completely Biblical, but only in that ""Jesus is God,"" so the dichotomy really doesn't exist. 

""To wit, that God was in Christ, reconciling the world unto himself, not imputing their trespasses unto them; and hath committed unto us the word of reconciliation.""  2 Corinthians 5:19

The 'responsibility' (punishment/ appeasement) for sin is God's, from beginning to end at Calvary. 

The appeasement involved is a satisfaction of Justice.   The principle of 'Justice' does not exist except in the heart and mind of God, not unless one is a Neoplatonist.   The Cross allowed God to be ""reconciled to us and fulfill justice "". . . that He might be just, and the justifier of him which believeth in Jesus.""  Romans 3:26"
7,"But God is also all-loving, and because of his all-loving nature, he sent Jesus for us to pay for our sins. But for those who are lost and not willing to accept Jesus's redemption at the cross, there must be justice."
7,"The dogmatic so-called Christians seem to miss the whole purpose of Christ's teachings. But it is pointless to point it out to them. They are stuck in the law instead of the fulfilment of the law which is love, which is Jesus. ""34 Then the King will say to those on his right, ‘Come, you who are blessed by my Father, inherit the kingdom prepared for you from the foundation of the world. 35 For I was hungry and you gave me food, I was thirsty and you gave me drink, I was a stranger and you welcomed me, 36 I was naked and you clothed me, I was sick and you visited me, I was in prison and you came to me.’--- Matthew 25"
8,"Try and see it from that public board's stance.

People forget that there wasn't a Catholic school there in the first place.  The Catholic board shut down their only school years ago, so the public school was the only functioning school in that district.  The public board made long term plans, around closures around amalgamation, plans that take YEARS to come to fruition, and then out of nowhere the Catholic board leaps BACK into a district they'd already abandoned, with a brand new school.

Why should the public board be happy that their budgets and long term plans just got shafted with an out-of-left-field move like this?  The Catholic board and those parents have the right, but they had to expect resistance.  The quotes in the piece where the Catholic board members are astounded that this became legal make me laugh.  Really?"
8,""" Plenty of non-Catholic parents send their kids to them because of the discipline, the academics, and even – horror – the values.""
 .
""Instead of trying to shut them down, we should be trying to figure out how they get such good results.""
. 
From: Who’s afraid of Catholic schooling? - Margaret Wente - The Globe and Mail - Aug. 16 2014"
8,Umm...ever heard of public Catholic schools?
8,"""Ironically, though, plenty of parents who choose to send their kids to Catholic schools – presumably because they offer better education – are now demanding to have their kids exempted from the Catholic part.""
 .
From: Who’s afraid of Catholic schooling? - Margaret Wente - The Globe and Mail - Aug. 16 2014"
8,"It is time to revoke the privileged position of Catholicism in the the funding of Canadian schools. Schools open to all students, respecting all students,  and serving the needs of all students."
9,"I see we are in complete agreement.  Those pesky social teachings, not to mention all that stuff about loving one's neighbor, doing unto others as you would have them do unto you, that we may disregard, as Faithful Catholics, we must focus more on the Rules, the Rituals, and Returning the Latin Mass."
9,Serious question that will help where I direct this conversation - are you a Catholic?
9,"That's the conservative version of cafeteria Catholicism. ""Catholic teachings that I disagree with are a matter for 'prudential judgment', those that I agree with are ALWAYS true."""
